Sample REF	4F8CD975-7A4D-43CD-A503-7ADE21803B47
p38_pT180_Y182-R-V	0.355654944
p53-R-E	0.268978096
p62-LCK-ligand-M-C	-1.343339567
p70S6K-R-V	-1.236697087
p70S6K_pT389-R-V	0.503563877
p90RSK-R-C	-0.52870095
p90RSK_pT359_S363-R-C	0.733739474
PAI-1-M-E	0.273153221
PARP_cleaved-M-E	3.988845844
Paxillin-R-C	-1.258495999
PCNA-M-C	0.390936486
PDCD4-R-C	0.338986341
PDK1-R-V	0.475527657
PDK1_pS241-R-V	-0.351766349
PEA15-R-V	0.660400667
PEA15_pS116-R-V	-0.168433935
PI3K-p110-alpha-R-C	-0.589945663
PI3K-p85-R-V	-0.440417947
PKC-alpha-M-V	-0.819236776
PKC-alpha_pS657-R-C	-1.249698597
PKC-delta_pS664-R-V	-0.24532335
PKC-pan_BetaII_pS660-R-V	-1.805818538
PR-R-V	0.138893638
PRAS40_pT246-R-V	0.243713665
PRDX1-R-V	0.111604829
PREX1-R-E	0.244572411
PTEN-R-V	-0.969859285
Rab11-R-E	0.667840194
Rab25-R-V	0.493497009
Rad50-M-V	-0.396434578
Rad51-R-V	1.3940659
Raptor-R-V	-0.470009797
Rb-M-E	2.562568616
Rb_pS807_S811-R-V	-0.196442822
RBM15-R-V	-0.816652637
Rictor-R-C	-0.771098235
Rictor_pT1135-R-V	0.636633285
S6-R-E	0.118640938
S6_pS235_S236-R-V	-0.694159452
S6_pS240_S244-R-V	-0.928176903
SCD-M-V	1.320361689
SETD2-R-E	5.572300726
SF2-M-V	-3.146352477
Shc_pY317-R-E	0.359390625
Smac-M-E	2.010765664
Smad1-R-V	-0.473109166
Smad3-R-V	0.166057819
Smad4-M-V	0.524250231
Snail-M-E	5.769027956
Src-M-V	0.00756592800000022
Src_pY416-R-C	0.115021146
Src_pY527-R-V	0.218672711
STAT3_pY705-R-V	0.0081321190000001
STAT5-alpha-R-V	-2.134921187
Stathmin-R-V	1.050723241
Syk-M-V	-0.0634812119999999
TAZ-R-V	0.629038693
TIGAR-R-V	0.129924259
Transglutaminase-M-V	-0.300820731
TFRC-R-V	-0.275809216
TSC1-R-C	-1.099104045
TTF1-R-V	-0.354472388
Tuberin-R-E	-1.66361667
Tuberin_pT1462-R-V	0.030146148
VEGFR2-R-V	-0.245876374
EPPK1-M-E	-2.239474533
XBP1-G-C	-0.885690464
XRCC1-R-E	0.600773422
YAP-R-E	0.483716923
YAP_pS127-R-E	0.643190547
YB-1-R-V	0.792283924
YB-1_pS102-R-V	0.128629729
JAB1-M-C	0.329643677
PARP1-R-V	0.622503363
A-Raf-R-V	0.739013703
ARID1A-R-C	-1.463154829
B-Raf_pS445-R-V	-0.282731659
Bcl2A1-R-V	1.021083283
BRD4-R-V	-0.515495188
c-Abl-R-V	0.932328871
Caspase-3-R-C	0.847863725
CD26-R-V	-0.218913244
Chk1_pS296-R-V	0.777846798
COG3-R-V	-1.342095662
DUSP4-R-V	0.0788157729999999
ERCC5-R-C	-0.987958801
IGF1R_pY1135_Y1136-R-V	0.637834105
IRF-1-R-C	-0.153198394
Jak2-R-V	-0.717063548
p16_INK4a-R-V	0.0033658860000001
SHP-2_pY542-R-C	-0.18134649
CDK1_pY15-R-C	0.383358366
