Sample REF	E6148D0A-62B4-45F2-AE2D-D127446E22A8
HSP70-R-C	0.422006187
IGFBP2-R-V	0.8090812065
INPP4B-R-V	-0.0928909349999998
IRS1-R-V	0.07926285
JAB1-M-C	0.0237512875000001
JNK_pT183_pY185-R-V	0.073561532
JNK2-R-C	-0.211316622
Ku80-R-C	-0.174564494
Lck-R-V	-0.1609769455
LKB1-M-E	-0.080207017
MAPK_pT202_Y204-R-V	-0.321202461
MEK1-R-V	-0.3589229635
MEK1_pS217_S221-R-V	0.0589288849999999
MIG-6-M-V	0.0966289345
Mre11-R-C	-0.118381851
MSH2-M-V	0.3249508115
MSH6-R-C	0.2168118205
mTOR-R-V	-0.4386373015
mTOR_pS2448-R-C	-0.2104437805
MYH11-R-V	-2.185387759
Myosin-IIa_pS1943-R-V	-0.14880328
N-Cadherin-R-V	0.0868196755
N-Ras-M-V	0.1591581915
NDRG1_pT346-R-V	-0.2911846085
NF-kB-p65_pS536-R-C	-0.2365973495
NF2-R-C	-0.2823777645
Notch1-R-V	0.180147805
P-Cadherin-R-C	-0.0350905465
p21-R-V	-0.5198208045
p27-R-V	-0.1408403065
p27_pT157-R-C	0.122676527
p27_pT198-R-V	0.0188476095
p38_MAPK-R-V	0.1479284995
p38_pT180_Y182-R-V	0.0302921845
p53-R-E	0.0065560800000002
p62-LCK-ligand-M-C	-0.0425861835
p70S6K-R-V	0.2219875275
p70S6K_pT389-R-V	-0.110446126
p90RSK-R-C	0.52703667
p90RSK_pT359_S363-R-C	0.285740179
PAI-1-M-E	0.1279094835
PARP_cleaved-M-E	-0.0439809820000001
PARP1-R-V	0.0509518725
Paxillin-R-C	0.4916686225
PCNA-M-C	0.0837296575
PDCD4-R-C	-0.4864758495
PDK1-R-V	-0.0539798335000001
PDK1_pS241-R-V	-0.057711993
PEA15-R-V	-0.0291259985
PEA15_pS116-R-V	-0.000176678
PI3K-p110-alpha-R-C	-0.036525511
PI3K-p85-R-V	-0.225016399
PKC-alpha-M-V	-0.1829567695
PKC-alpha_pS657-R-C	-0.135448221
PKC-delta_pS664-R-V	0.0973903039999999
PKC-pan_BetaII_pS660-R-V	-0.00849981800000001
PR-R-V	0.0019372505
PRAS40_pT246-R-V	0.000176678
PRDX1-R-V	-0.307430719
PREX1-R-E	-0.682146559
PTEN-R-V	-0.2104303065
Rab11-R-E	0.0345576
Rab25-R-V	-0.00648111799999994
Rad50-M-V	-0.219708441
Rad51-R-V	0.0555892125
Raptor-R-V	-0.2612909295
Rb-M-E	-0.074229252
Rb_pS807_S811-R-V	-0.123708579
RBM15-R-V	0.296293919
Rictor-R-C	-0.3013330465
Rictor_pT1135-R-V	0.0586610904999999
S6-R-E	0.309870515
S6_pS235_S236-R-V	0.4543645765
S6_pS240_S244-R-V	0.397225494
SCD-M-V	0.0133520739999997
SETD2-R-E	0.075714292
SF2-M-V	-0.1762947365
Shc_pY317-R-E	0.0125477114999999
Smac-M-E	-0.153669144
Smad1-R-V	0.0308599750000001
Smad3-R-V	0.0307601980000001
Smad4-M-V	0.105554187
Snail-M-E	-0.19009347
Src-M-V	-0.185747975
Src_pY416-R-C	-0.045567704
Src_pY527-R-V	0.0575760225
STAT3_pY705-R-V	-0.2488390845
STAT5-alpha-R-V	-0.605615178
Stathmin-R-V	0.211088637
Syk-M-V	-0.243713936
TAZ-R-V	0.043783838
TFRC-R-V	0.120069427
TIGAR-R-V	0.101852251
Transglutaminase-M-V	-0.1278325205
TSC1-R-C	0.2530540585
TTF1-R-V	-0.037627496
Tuberin-R-E	0.1621690405
Tuberin_pT1462-R-V	0.0284285545000001
VEGFR2-R-V	0.2876087635
EPPK1-M-E	0.9898707255
XBP1-G-C	-0.388870948
XRCC1-R-E	0.013114382
YAP-R-E	0.2916247095
YAP_pS127-R-E	0.1637161465
YB-1-R-V	-0.102029426
YB-1_pS102-R-V	0.314786683
A-Raf-R-V	0.068117585
ARID1A-R-C	0.3854320635
B-Raf_pS445-R-V	-0.088499483
Bcl2A1-R-V	0.1533342075
BRD4-R-V	0.00999880249999997
c-Abl-R-V	-0.02427948
Caspase-3-R-C	0.3598904295
CD26-R-V	-0.0586631020000001
Chk1_pS296-R-V	0.182528247
COG3-R-V	-0.094366653
DUSP4-R-V	0.6998310345
ERCC5-R-C	-0.1075668945
IGF1R_pY1135_Y1136-R-V	0.0186672015
IRF-1-R-C	-0.147657037
Jak2-R-V	-0.116511658
p16_INK4a-R-V	-0.192542715
SHP-2_pY542-R-C	-0.0401266810000003
CDK1_pY15-R-C	0.0671415245
