Sample REF	3038E498-4365-43D6-982E-45B997F2D9E2
FoxM1-R-V	-0.380895047
FOXO3a-R-C	0.1063382885
FOXO3a_pS318_S321-R-C	-0.1697718695
G6PD-M-V	0.331179223
GAB2-R-V	0.4796188375
GAPDH-M-C	0.2954597305
GATA3-M-V	0.1136894535
GSK3-alpha-beta-M-V	0.373395082
GSK3-alpha-beta_pS21_S9-R-V	0.200141532
GSK3_pS9-R-V	-0.40058374
HER2-M-V	-0.1549580675
HER2_pY1248-R-C	0.00805154499999999
HER3-R-V	0.1331110065
HER3_pY1289-R-C	0.157618395
Heregulin-R-V	0.00668164100000002
HSP70-R-C	-0.489853088
IGFBP2-R-V	-0.5924530015
INPP4B-R-V	0.0786835600000001
IRS1-R-V	-0.0848391329999999
JAB1-M-C	-0.1908340455
JNK_pT183_pY185-R-V	-0.00895422700000004
JNK2-R-C	-0.785363187
Ku80-R-C	0.324061954
Lck-R-V	-0.3206347525
LKB1-M-E	0.0414435280000001
MAPK_pT202_Y204-R-V	-0.423920238
MEK1-R-V	-0.1321629995
MEK1_pS217_S221-R-V	0.085748083
MIG-6-M-V	-0.0393913164999999
Mre11-R-C	-0.0775093639999999
MSH2-M-V	-0.0833544034999999
MSH6-R-C	0.00808428150000029
mTOR-R-V	-0.2060358885
mTOR_pS2448-R-C	-0.2821938175
MYH11-R-V	1.322228745
Myosin-IIa_pS1943-R-V	0.153248648
N-Cadherin-R-V	-0.1307902505
N-Ras-M-V	0.1217160835
NDRG1_pT346-R-V	-0.7141498935
NF-kB-p65_pS536-R-C	-0.6977404975
NF2-R-C	0.2851459815
Notch1-R-V	0.147809152
P-Cadherin-R-C	0.2033615365
p21-R-V	0.2423298915
p27-R-V	-0.0241801864999999
p27_pT157-R-C	-0.116977835
p27_pT198-R-V	0.2377099505
p38_MAPK-R-V	-1.1095519885
p38_pT180_Y182-R-V	-1.5152130985
p53-R-E	-0.131682193
p62-LCK-ligand-M-C	-0.3220856365
p70S6K-R-V	-0.5698394325
p70S6K_pT389-R-V	-0.310971909
p90RSK-R-C	-0.482707218
p90RSK_pT359_S363-R-C	-0.198412075
PAI-1-M-E	-0.6656764875
PARP_cleaved-M-E	0.0692054959999998
PARP1-R-V	0.0785103945
Paxillin-R-C	0.0180676045
PCNA-M-C	0.5471464465
PDCD4-R-C	0.8267159925
PDK1-R-V	-0.2845089565
PDK1_pS241-R-V	-0.861500645
PEA15-R-V	0.0789888665
PEA15_pS116-R-V	0.00634012000000006
PI3K-p110-alpha-R-C	0.06351689
PI3K-p85-R-V	-0.469540133
PKC-alpha-M-V	-0.8677844185
PKC-alpha_pS657-R-C	-1.242886667
PKC-delta_pS664-R-V	-0.030627838
PKC-pan_BetaII_pS660-R-V	-1.297206658
PR-R-V	0.1417378965
PRAS40_pT246-R-V	0.0936406440000001
PRDX1-R-V	0.151993692
PREX1-R-E	0.148014833
PTEN-R-V	-0.7893129375
Rab11-R-E	0.178721522
Rab25-R-V	-0.479638827
Rad50-M-V	-0.32986014
Rad51-R-V	-0.2783611295
Raptor-R-V	-0.0768590134999999
Rb-M-E	0.090618849
Rb_pS807_S811-R-V	-0.0583675140000001
RBM15-R-V	-0.721804211
Rictor-R-C	0.0751119095
Rictor_pT1135-R-V	0.0023500025
S6-R-E	0.388276484
S6_pS235_S236-R-V	-0.1819376105
S6_pS240_S244-R-V	0.060623875
SCD-M-V	0.117951368
SETD2-R-E	0.147797674
SF2-M-V	0.3387006755
Shc_pY317-R-E	-0.0176734265000001
Smac-M-E	0.134480648
Smad1-R-V	0.098703807
Smad3-R-V	0.250346355
Smad4-M-V	-0.0293759029999999
Snail-M-E	0.174410408
Src-M-V	-0.070098845
Src_pY416-R-C	-0.823148592
Src_pY527-R-V	-2.1706362155
STAT3_pY705-R-V	-0.7177483225
STAT5-alpha-R-V	-1.405156692
Stathmin-R-V	0.232349321
Syk-M-V	-0.404683241
TAZ-R-V	-0.052799064
TFRC-R-V	0.354260899
TIGAR-R-V	0.155216892
Transglutaminase-M-V	0.1024308795
TSC1-R-C	-0.3989116975
TTF1-R-V	-0.163643834
Tuberin-R-E	-0.4561219455
Tuberin_pT1462-R-V	-0.3197463785
VEGFR2-R-V	0.5440311465
EPPK1-M-E	-0.2083530045
XBP1-G-C	0.66601134
XRCC1-R-E	0.251785119
YAP-R-E	-0.0039197835
YAP_pS127-R-E	-0.5577609485
YB-1-R-V	0.228680049
YB-1_pS102-R-V	-0.022401058
A-Raf-R-V	-0.287939811
ARID1A-R-C	0.4479367115
B-Raf_pS445-R-V	-0.371112126
Bcl2A1-R-V	0.1117675835
BRD4-R-V	0.5022003315
c-Abl-R-V	0.177601677
Caspase-3-R-C	0.2196707975
CD26-R-V	-0.102979787
Chk1_pS296-R-V	0.0325758
COG3-R-V	-0.355012526
DUSP4-R-V	-0.1357125605
ERCC5-R-C	0.0534406725
IGF1R_pY1135_Y1136-R-V	-0.0744316575
IRF-1-R-C	0.155389557
Jak2-R-V	0.15803506
p16_INK4a-R-V	-0.227197663
SHP-2_pY542-R-C	-0.345117483
CDK1_pY15-R-C	-0.5803004095
