Sample REF	A445E718-6AA4-4DDE-9129-C5C7C2F605EA
MEK1-R-V	0.03857152725
MEK1_pS217_S221-R-V	-0.17969340125
MIG-6-M-V	-0.12208197375
Mre11-R-C	-0.15346795225
MSH2-M-V	-0.20633146575
MSH6-R-C	-0.52587396575
mTOR-R-V	0.16227378325
mTOR_pS2448-R-C	0.25595119325
MYH11-R-V	0.30515695875
Myosin-IIa_pS1943-R-V	-0.07131956725
N-Cadherin-R-V	-0.11838977475
N-Ras-M-V	-0.05507319975
NDRG1_pT346-R-V	-0.0559743907499999
NF-kB-p65_pS536-R-C	-0.13711110975
NF2-R-C	0.22332478625
Notch1-R-V	-0.23009077025
P-Cadherin-R-C	0.26941485325
p21-R-V	0.43292342525
p27-R-V	0.12327075725
p27_pT157-R-C	0.00255672774999982
p27_pT198-R-V	0.03833225325
p38_MAPK-R-V	-0.0952715867500001
p38_pT180_Y182-R-V	0.45694671625
p53-R-E	0.0874550917500003
p62-LCK-ligand-M-C	-0.00177683275000004
p70S6K-R-V	0.11381312925
p70S6K_pT389-R-V	0.20878043975
p90RSK-R-C	0.00259647774999999
p90RSK_pT359_S363-R-C	-0.21843064225
PAI-1-M-E	-0.41740523975
PARP_cleaved-M-E	0.13669232175
PARP1-R-V	0.61563575825
Paxillin-R-C	0.32252168325
PCNA-M-C	-0.0138455937500001
PDCD4-R-C	0.50418873825
PDK1-R-V	0.0387347832499999
PDK1_pS241-R-V	-0.05047031825
PEA15-R-V	0.11178457025
PEA15_pS116-R-V	-0.04440788225
PI3K-p110-alpha-R-C	0.05025966775
PI3K-p85-R-V	0.33938806275
PKC-alpha-M-V	0.16876250525
PKC-alpha_pS657-R-C	0.14471511475
PKC-delta_pS664-R-V	-0.0771774862500001
PKC-pan_BetaII_pS660-R-V	0.39268938575
PR-R-V	-0.01387704375
PRAS40_pT246-R-V	0.13328417175
PRDX1-R-V	-0.01476116525
PREX1-R-E	0.36847266675
PTEN-R-V	0.08951311425
Rab11-R-E	0.04991622975
Rab25-R-V	0.22755343275
Rad50-M-V	0.42577711875
Rad51-R-V	-0.41416424075
Raptor-R-V	0.11551968825
Rb-M-E	-0.06175193325
Rb_pS807_S811-R-V	0.21355167075
RBM15-R-V	0.0294385257500001
Rictor-R-C	-0.02634129975
Rictor_pT1135-R-V	-0.16716132675
S6-R-E	0.26979575375
S6_pS235_S236-R-V	0.48611578525
S6_pS240_S244-R-V	0.0623545387499999
SCD-M-V	0.10509463675
SETD2-R-E	-0.05199079125
SF2-M-V	0.44504952625
Shc_pY317-R-E	-0.00795123175000012
Smac-M-E	0.46947218575
Smad1-R-V	0.00174410174999995
Smad3-R-V	-0.06950040725
Smad4-M-V	-0.10869331425
Snail-M-E	-0.0284267302500001
Src-M-V	-0.47645386725
Src_pY416-R-C	-0.41415034925
Src_pY527-R-V	-0.33901947675
STAT3_pY705-R-V	0.44234757225
STAT5-alpha-R-V	0.29446090575
Stathmin-R-V	-0.16577897425
Syk-M-V	0.00381219474999972
TAZ-R-V	-0.21659250125
TFRC-R-V	-0.19017258725
TIGAR-R-V	-0.15467776125
Transglutaminase-M-V	-0.05086911975
TSC1-R-C	-0.13018395075
TTF1-R-V	-0.14974169525
Tuberin-R-E	-0.33428942775
Tuberin_pT1462-R-V	-0.0422454917499999
VEGFR2-R-V	-0.22444258575
EPPK1-M-E	1.01080111325
XBP1-G-C	-0.10398257725
XRCC1-R-E	-0.0251681762500001
YAP-R-E	-0.14505119475
YAP_pS127-R-E	-0.49148700975
YB-1-R-V	-0.39579319925
YB-1_pS102-R-V	-0.11451322925
A-Raf-R-V	-0.01159593725
ARID1A-R-C	-0.18126397075
B-Raf_pS445-R-V	0.24977279875
Bcl2A1-R-V	-0.27221938575
BRD4-R-V	0.11581201725
c-Abl-R-V	0.26921171075
Caspase-3-R-C	-0.0243882497500001
CD26-R-V	-0.0584867242500001
Chk1_pS296-R-V	0.01038042075
COG3-R-V	0.27134537475
DUSP4-R-V	-0.25150120175
ERCC5-R-C	0.23791289725
IGF1R_pY1135_Y1136-R-V	-0.22878114275
IRF-1-R-C	0.25084293575
Jak2-R-V	0.14879280675
p16_INK4a-R-V	0.0503448417500001
SHP-2_pY542-R-C	-0.22593212925
CDK1_pY15-R-C	0.23041213025
