Sample REF	519C1C72-9BC5-46CE-90A9-07FAC96049F2
mTOR-R-V	0.36372484325
mTOR_pS2448-R-C	0.16806892125
MYH11-R-V	-1.03354304625
Myosin-IIa_pS1943-R-V	-0.30277508625
N-Cadherin-R-V	0.05392757225
N-Ras-M-V	0.0491842662499999
NDRG1_pT346-R-V	-0.37024523875
NF-kB-p65_pS536-R-C	0.36141929925
NF2-R-C	0.0555768832499999
Notch1-R-V	0.0472592107500001
P-Cadherin-R-C	0.61085878625
p21-R-V	0.36963420525
p27-R-V	-0.18922164575
p27_pT157-R-C	0.02103843375
p27_pT198-R-V	-0.12033135575
p38_MAPK-R-V	-0.20384134075
p38_pT180_Y182-R-V	0.0615986812500001
p53-R-E	0.0513208997500001
p62-LCK-ligand-M-C	-0.03872771475
p70S6K-R-V	0.11811702925
p70S6K_pT389-R-V	0.25489711475
p90RSK-R-C	-0.11500497825
p90RSK_pT359_S363-R-C	-0.19183607325
PAI-1-M-E	-0.32735624775
PARP_cleaved-M-E	0.0404046447499999
PARP1-R-V	0.46012150625
Paxillin-R-C	0.29372334825
PCNA-M-C	-0.21757100175
PDCD4-R-C	0.23662358225
PDK1-R-V	-0.08875089475
PDK1_pS241-R-V	-0.17479463525
PEA15-R-V	-0.28954644775
PEA15_pS116-R-V	0.0457118077500001
PI3K-p110-alpha-R-C	-0.17308650825
PI3K-p85-R-V	0.30077829475
PKC-alpha-M-V	0.0571356952500001
PKC-alpha_pS657-R-C	0.0260487377500001
PKC-delta_pS664-R-V	0.09582060575
PKC-pan_BetaII_pS660-R-V	-0.02469528625
PR-R-V	-0.04297584775
PRAS40_pT246-R-V	0.18298626575
PRDX1-R-V	0.13659493375
PREX1-R-E	0.44064345075
PTEN-R-V	0.0265163852500001
Rab11-R-E	0.0286629727500001
Rab25-R-V	-0.58402724125
Rad50-M-V	0.63787622475
Rad51-R-V	-0.21992660375
Raptor-R-V	0.25263238225
Rb-M-E	-0.07239246325
Rb_pS807_S811-R-V	0.0176950797500001
RBM15-R-V	0.0845406177500001
Rictor-R-C	-0.07738427975
Rictor_pT1135-R-V	-0.08981543375
S6-R-E	-0.0961670802499999
S6_pS235_S236-R-V	-0.60621963975
S6_pS240_S244-R-V	-0.60579383225
SCD-M-V	0.12152120075
SETD2-R-E	-0.09445318325
SF2-M-V	0.52806807925
Shc_pY317-R-E	-0.28656775575
Smac-M-E	0.55786980075
Smad1-R-V	0.13653902275
Smad3-R-V	0.14825499275
Smad4-M-V	-0.17603812525
Snail-M-E	-0.22047444925
Src-M-V	-0.16565918125
Src_pY416-R-C	0.44615220775
Src_pY527-R-V	-0.32312946775
STAT3_pY705-R-V	-0.20034325675
STAT5-alpha-R-V	0.0700992167500001
Stathmin-R-V	-0.03687543025
Syk-M-V	-0.0529171502500001
TAZ-R-V	-0.12428796525
TFRC-R-V	0.00202542575000003
TIGAR-R-V	-0.12402641825
Transglutaminase-M-V	-0.13827782175
TSC1-R-C	-0.14842868075
TTF1-R-V	-0.14812948825
Tuberin-R-E	0.23784370125
Tuberin_pT1462-R-V	0.28093896925
VEGFR2-R-V	-0.08825256875
EPPK1-M-E	-0.08508381575
XBP1-G-C	-0.0312525522499999
XRCC1-R-E	-0.22845719225
YAP-R-E	-0.12140157475
YAP_pS127-R-E	-0.0688114397499999
YB-1-R-V	-0.10934313725
YB-1_pS102-R-V	-0.10285719425
A-Raf-R-V	-0.11133333425
ARID1A-R-C	0.16858615025
B-Raf_pS445-R-V	0.33848272775
Bcl2A1-R-V	-0.15033179075
BRD4-R-V	0.14361754325
c-Abl-R-V	0.33453412475
Caspase-3-R-C	0.08493531525
CD26-R-V	-0.17717459325
Chk1_pS296-R-V	-0.00837370124999992
COG3-R-V	9.20687500000072e-05
DUSP4-R-V	-0.17978097475
ERCC5-R-C	0.06084878825
IGF1R_pY1135_Y1136-R-V	0.01051641625
IRF-1-R-C	-0.04558900325
Jak2-R-V	0.11982208375
p16_INK4a-R-V	-0.0116358882499998
SHP-2_pY542-R-C	-0.10584633625
CDK1_pY15-R-C	0.25487037625
