Sample REF	962143F1-494F-4391-BA87-F030E20A9B8B
eIF4G-R-C	-0.055024107
ER-alpha-R-V	0.125979766
ER-alpha_pS118-R-V	0.0832166055
ERCC1-M-V	0.0332662595
ERK2-R-E	0.0766848409999999
ETS-1-R-V	-0.00449292800000005
FASN-R-V	-0.7272899115
Fibronectin-R-V	-0.8690197395
FoxM1-R-V	-0.2172386675
FOXO3a-R-C	0.0423867340000001
FOXO3a_pS318_S321-R-C	0.218578711
G6PD-M-V	0.0472486055000001
GAB2-R-V	0.859518009
GAPDH-M-C	-0.135152333
GATA3-M-V	-0.090687097
GSK3-alpha-beta-M-V	0.0954791515
GSK3-alpha-beta_pS21_S9-R-V	0.2047594625
GSK3_pS9-R-V	0.1610730595
HER2-M-V	-0.063213728
HER2_pY1248-R-C	-0.2265467565
HER3-R-V	-0.025243962
HER3_pY1289-R-C	-0.1619940635
Heregulin-R-V	-0.1318039345
HSP70-R-C	-0.3181447185
IGFBP2-R-V	0.297743536
INPP4B-R-V	0.0795419515000002
IRS1-R-V	-0.0587037205
JAB1-M-C	0.0353303420000001
JNK_pT183_pY185-R-V	-0.0297548955
JNK2-R-C	0.1530056465
Ku80-R-C	0.1855007755
Lck-R-V	0.253829281
LKB1-M-E	-0.0407797955
MAPK_pT202_Y204-R-V	0.1923083305
MEK1-R-V	0.066114364
MEK1_pS217_S221-R-V	-0.0389586445
MIG-6-M-V	-0.074620001
Mre11-R-C	0.0826797555
MSH2-M-V	-0.00706866199999993
MSH6-R-C	-0.0842645769999997
mTOR-R-V	0.257098822
mTOR_pS2448-R-C	0.37111801
MYH11-R-V	0.5269361095
Myosin-IIa_pS1943-R-V	0.0921268135
N-Cadherin-R-V	0.124716376
N-Ras-M-V	0.0293851119999999
NDRG1_pT346-R-V	-0.00987641199999993
NF-kB-p65_pS536-R-C	-0.029917355
NF2-R-C	0.289839736
Notch1-R-V	-0.0725429115
P-Cadherin-R-C	-0.044975168
p21-R-V	0.602440184
p27-R-V	0.127886299
p27_pT157-R-C	-0.0111351115000001
p27_pT198-R-V	0.083174623
p38_MAPK-R-V	0.0448245019999999
p38_pT180_Y182-R-V	0.303105523
p53-R-E	-0.0564658764999997
p62-LCK-ligand-M-C	0.020828901
p70S6K-R-V	0.018623088
p70S6K_pT389-R-V	0.1779615875
p90RSK-R-C	-0.0372315585
p90RSK_pT359_S363-R-C	-0.0416418644999999
PAI-1-M-E	-0.207500622
PARP_cleaved-M-E	0.1436377505
PARP1-R-V	0.446279795
Paxillin-R-C	-0.187136733
PCNA-M-C	-0.107698195
PDCD4-R-C	0.416769448
PDK1-R-V	-0.025376886
PDK1_pS241-R-V	-0.0609619515
PEA15-R-V	-0.0353205690000001
PEA15_pS116-R-V	-0.0558496755
PI3K-p110-alpha-R-C	0.1106438765
PI3K-p85-R-V	0.0554449455000001
PKC-alpha-M-V	0.228692539
PKC-alpha_pS657-R-C	0.2214480975
PKC-delta_pS664-R-V	0.0392639445
PKC-pan_BetaII_pS660-R-V	0.4081394215
PR-R-V	-0.077950817
PRAS40_pT246-R-V	0.0414785855
PRDX1-R-V	0.1970687005
PREX1-R-E	0.1970519625
PTEN-R-V	0.170766783
Rab11-R-E	-0.0338777335
Rab25-R-V	0.2473781545
Rad50-M-V	0.3687741655
Rad51-R-V	0.136272957
Raptor-R-V	0.113754426
Rb-M-E	-0.00714901750000001
Rb_pS807_S811-R-V	-0.1329561525
RBM15-R-V	0.0726868945000001
Rictor-R-C	-0.028231829
Rictor_pT1135-R-V	-0.0810839020000001
S6-R-E	-0.2044877665
S6_pS235_S236-R-V	0.201651638
S6_pS240_S244-R-V	-0.0679844075000001
SCD-M-V	0.2719664925
SETD2-R-E	-0.0461665585
SF2-M-V	0.28955826
Shc_pY317-R-E	0.0352146769999999
Smac-M-E	0.5838950485
Smad1-R-V	-0.1628582255
Smad3-R-V	-0.0134372095
Smad4-M-V	-0.0141032934999999
Snail-M-E	0.1511813035
Src-M-V	-0.2136810775
Src_pY416-R-C	0.3876326085
Src_pY527-R-V	-0.292264878
STAT3_pY705-R-V	0.06860637
STAT5-alpha-R-V	0.3523971285
Stathmin-R-V	-0.2003976755
Syk-M-V	0.2095448485
TAZ-R-V	-0.1966901695
TFRC-R-V	-0.00706878350000001
TIGAR-R-V	-0.2323941255
Transglutaminase-M-V	-0.087730789
TSC1-R-C	-0.147531958
TTF1-R-V	0.0837894705
Tuberin-R-E	-0.011404985
Tuberin_pT1462-R-V	-0.0500847419999999
VEGFR2-R-V	-0.3611156
EPPK1-M-E	-0.589124886
XBP1-G-C	-0.1692064515
XRCC1-R-E	0.00355520749999995
YAP-R-E	-0.15314326
YAP_pS127-R-E	-0.382434925
YB-1-R-V	-0.0448137535
YB-1_pS102-R-V	-0.1637485905
A-Raf-R-V	0.0511383305
ARID1A-R-C	0.112998889
B-Raf_pS445-R-V	-0.0015990345
Bcl2A1-R-V	-0.105879819
BRD4-R-V	0.277042339
c-Abl-R-V	0.0730560395
Caspase-3-R-C	-0.00955646400000014
CD26-R-V	-0.0112884165000001
Chk1_pS296-R-V	-0.000994116499999961
COG3-R-V	0.1457520265
DUSP4-R-V	-0.293138257
ERCC5-R-C	0.230970814
IGF1R_pY1135_Y1136-R-V	-0.273505729
IRF-1-R-C	0.2828950215
Jak2-R-V	0.1505390205
p16_INK4a-R-V	-0.3173809185
SHP-2_pY542-R-C	0.1105841745
CDK1_pY15-R-C	0.00977952000000001
