Sample REF	51EB71F7-9952-4394-B079-2D59A5EE4024
MIG-6-M-V	0.0849896039999999
Mre11-R-C	0.1419299445
MSH2-M-V	-0.233543457
MSH6-R-C	-0.313736604
mTOR-R-V	-0.422529133
mTOR_pS2448-R-C	-0.160781588
MYH11-R-V	-2.7977212155
Myosin-IIa_pS1943-R-V	-0.3610038205
N-Cadherin-R-V	0.164892541
N-Ras-M-V	0.126789272
NDRG1_pT346-R-V	-0.204611638
NF-kB-p65_pS536-R-C	-0.244688921
NF2-R-C	-0.514799519
Notch1-R-V	0.2808960945
P-Cadherin-R-C	-0.00301885800000012
p21-R-V	-0.183713759
p27-R-V	-0.333192449
p27_pT157-R-C	0.0115757874999999
p27_pT198-R-V	-0.0730198000000001
p38_MAPK-R-V	-0.106789495
p38_pT180_Y182-R-V	-0.0376042280000001
p53-R-E	0.4282022935
p62-LCK-ligand-M-C	-0.20203702
p70S6K-R-V	0.0194807189999999
p70S6K_pT389-R-V	0.0877967775
p90RSK-R-C	0.00552671049999998
p90RSK_pT359_S363-R-C	0.1587200125
PAI-1-M-E	0.692963739
PARP_cleaved-M-E	-0.1164827175
PARP1-R-V	-0.340105503
Paxillin-R-C	0.058204988
PCNA-M-C	-0.070510595
PDCD4-R-C	-0.692251646
PDK1-R-V	-0.0540853410000001
PDK1_pS241-R-V	-0.3418232735
PEA15-R-V	-0.188440481
PEA15_pS116-R-V	-0.00338632250000004
PI3K-p110-alpha-R-C	-0.2166028805
PI3K-p85-R-V	-0.4233977455
PKC-alpha-M-V	-0.548049341
PKC-alpha_pS657-R-C	-0.5224211185
PKC-delta_pS664-R-V	-0.2388826295
PKC-pan_BetaII_pS660-R-V	-0.4122354435
PR-R-V	0.0465358809999999
PRAS40_pT246-R-V	0.2339838425
PRDX1-R-V	-0.3374143915
PREX1-R-E	-0.2688664725
PTEN-R-V	-0.12716591
Rab11-R-E	0.0497583445
Rab25-R-V	0.0802139724999998
Rad50-M-V	-0.1022994935
Rad51-R-V	0.038329247
Raptor-R-V	-0.231002658
Rb-M-E	-0.000399376499999993
Rb_pS807_S811-R-V	0.4513238705
RBM15-R-V	0.00299193350000004
Rictor-R-C	-0.69960694
Rictor_pT1135-R-V	-0.0643159440000001
S6-R-E	-0.4395575115
S6_pS235_S236-R-V	-0.157074211
S6_pS240_S244-R-V	0.0736690744999998
SCD-M-V	-0.0139715835000002
SETD2-R-E	0.1196853565
SF2-M-V	-0.084841743
Shc_pY317-R-E	0.128124797
Smac-M-E	-0.4663977155
Smad1-R-V	0.1404063565
Smad3-R-V	0.000399376499999993
Smad4-M-V	0.1518869045
Snail-M-E	0.0341880014999999
Src-M-V	0.0158671765
Src_pY416-R-C	0.1500634405
Src_pY527-R-V	0.386135822
STAT3_pY705-R-V	-0.463073664
STAT5-alpha-R-V	-1.5449481185
Stathmin-R-V	0.1310930545
Syk-M-V	-1.1032161845
TAZ-R-V	0.1979373185
TFRC-R-V	-0.2483833705
TIGAR-R-V	-0.2006004855
Transglutaminase-M-V	-0.232543256
TSC1-R-C	-0.236359652
TTF1-R-V	-0.0771718805
Tuberin-R-E	-0.29574243
Tuberin_pT1462-R-V	-0.210130334
VEGFR2-R-V	-0.176497496
EPPK1-M-E	-0.249610435
XBP1-G-C	-0.2321468065
XRCC1-R-E	0.1762580215
YAP-R-E	0.524935237
YAP_pS127-R-E	0.616833567
YB-1-R-V	0.1054916315
YB-1_pS102-R-V	0.2854180845
A-Raf-R-V	-0.0679561935
ARID1A-R-C	0.524249576
B-Raf_pS445-R-V	-0.0859954265
Bcl2A1-R-V	0.237714341
BRD4-R-V	0.401523848
c-Abl-R-V	-0.0188004065
Caspase-3-R-C	0.289125561
CD26-R-V	-0.0533614525000002
Chk1_pS296-R-V	0.0889302774999999
COG3-R-V	-0.3704458995
DUSP4-R-V	0.766959293
ERCC5-R-C	-0.115479314
IGF1R_pY1135_Y1136-R-V	0.056429011
IRF-1-R-C	-0.2316555865
Jak2-R-V	-0.3485454625
p16_INK4a-R-V	0.4714709335
SHP-2_pY542-R-C	0.2950065075
CDK1_pY15-R-C	0.709422168
