Sample REF	DBE1552C-593D-4AD9-9767-AA10C0F525DF
p27_pT198-R-V	-0.13081057425
p38_MAPK-R-V	0.20818406475
p38_pT180_Y182-R-V	0.13954574275
p53-R-E	0.0374746992500003
p62-LCK-ligand-M-C	-0.04057456025
p70S6K-R-V	0.03833833475
p70S6K_pT389-R-V	-0.0534753667499999
p90RSK-R-C	0.10429058325
p90RSK_pT359_S363-R-C	-0.0517827277499999
PAI-1-M-E	0.22728115475
PARP_cleaved-M-E	-0.21067889075
PARP1-R-V	-0.92330303125
Paxillin-R-C	-0.000609308249999996
PCNA-M-C	-0.19911028425
PDCD4-R-C	-0.57832639725
PDK1-R-V	0.33171971075
PDK1_pS241-R-V	0.50105171725
PEA15-R-V	0.21283412775
PEA15_pS116-R-V	0.23203576025
PI3K-p110-alpha-R-C	0.03751910825
PI3K-p85-R-V	0.0476207292500001
PKC-alpha-M-V	0.30883144475
PKC-alpha_pS657-R-C	0.38555797625
PKC-delta_pS664-R-V	0.0772683032499999
PKC-pan_BetaII_pS660-R-V	0.25044707425
PR-R-V	0.00150059175
PRAS40_pT246-R-V	0.06554614125
PRDX1-R-V	-0.88902268975
PREX1-R-E	-0.32157203975
PTEN-R-V	0.17988781575
Rab11-R-E	0.0925913922500001
Rab25-R-V	-0.12443826575
Rad50-M-V	-0.06458235675
Rad51-R-V	-0.08559153725
Raptor-R-V	-0.0685918922499999
Rb-M-E	0.21964556725
Rb_pS807_S811-R-V	-0.24576746075
RBM15-R-V	-0.27816865175
Rictor-R-C	-0.13935556325
Rictor_pT1135-R-V	0.22697346375
S6-R-E	-0.66464969775
S6_pS235_S236-R-V	-1.15611661225
S6_pS240_S244-R-V	-0.65810323175
SCD-M-V	-0.14273216075
SETD2-R-E	-0.05496598375
SF2-M-V	-0.18146764325
Shc_pY317-R-E	0.05134390575
Smac-M-E	0.00388622124999993
Smad1-R-V	0.14603953425
Smad3-R-V	-0.01374601675
Smad4-M-V	-0.11321913175
Snail-M-E	-0.17082482375
Src-M-V	0.24921665625
Src_pY416-R-C	-0.20103087675
Src_pY527-R-V	0.23102201875
STAT3_pY705-R-V	0.18083364575
STAT5-alpha-R-V	-0.26547002175
Stathmin-R-V	-0.0594455797499999
Syk-M-V	-0.54458213075
TAZ-R-V	0.02882957625
TFRC-R-V	-0.22511915475
TIGAR-R-V	0.51410171325
Transglutaminase-M-V	0.06882488575
TSC1-R-C	0.11031710775
TTF1-R-V	-0.09965157275
Tuberin-R-E	0.0520623857499999
Tuberin_pT1462-R-V	0.41538894875
VEGFR2-R-V	-0.0356203462499999
EPPK1-M-E	0.03395808175
XBP1-G-C	0.30238596425
XRCC1-R-E	0.05153142725
YAP-R-E	0.32201297875
YAP_pS127-R-E	0.96448298575
YB-1-R-V	0.40110393225
YB-1_pS102-R-V	0.17521659225
A-Raf-R-V	-0.15174426875
ARID1A-R-C	0.16778934975
B-Raf_pS445-R-V	-0.02258402175
Bcl2A1-R-V	0.07176024875
BRD4-R-V	0.16261410075
c-Abl-R-V	-0.01566933775
Caspase-3-R-C	-0.0525485262500001
CD26-R-V	0.0707379182499999
Chk1_pS296-R-V	-0.03721553975
COG3-R-V	0.17179968625
DUSP4-R-V	0.22366227475
ERCC5-R-C	-0.18267654125
IGF1R_pY1135_Y1136-R-V	-0.0403721072500001
IRF-1-R-C	0.04045399225
Jak2-R-V	-0.37652653175
p16_INK4a-R-V	-0.35569973675
SHP-2_pY542-R-C	-0.0436047047500002
CDK1_pY15-R-C	-0.11696627225
