Sample REF	83939C40-F012-4116-8905-17AED97E71EA
JNK_pT183_pY185-R-V	-0.217446553
JNK2-R-C	0.00307295199999999
Ku80-R-C	-0.025719162
Lck-R-V	0.0328913235
LKB1-M-E	-0.167687723
MAPK_pT202_Y204-R-V	-0.225897093
MEK1-R-V	0.00868186150000003
MEK1_pS217_S221-R-V	-0.181136024
MIG-6-M-V	0.2280500485
Mre11-R-C	-0.212451041
MSH2-M-V	0.2352229315
MSH6-R-C	0.2775346825
mTOR-R-V	-0.1315342345
mTOR_pS2448-R-C	0.0212880725000001
MYH11-R-V	0.841771882
Myosin-IIa_pS1943-R-V	0.426614491
N-Cadherin-R-V	-0.3227872455
N-Ras-M-V	-0.0936306205000001
NDRG1_pT346-R-V	0.1324879195
NF-kB-p65_pS536-R-C	0.0732464675
NF2-R-C	0.2316588165
Notch1-R-V	0.036062791
P-Cadherin-R-C	-0.3294647035
p21-R-V	-0.5992788295
p27-R-V	0.00162376950000001
p27_pT157-R-C	-0.163195496
p27_pT198-R-V	-0.0758318215
p38_MAPK-R-V	-0.0198420935
p38_pT180_Y182-R-V	0.1556725355
p53-R-E	0.181674284
p62-LCK-ligand-M-C	0.0441608895
p70S6K-R-V	0.2041569375
p70S6K_pT389-R-V	-0.266816816
p90RSK-R-C	0.153194296
p90RSK_pT359_S363-R-C	-0.211585535
PAI-1-M-E	1.6461417575
PARP_cleaved-M-E	-0.0051822850000002
PARP1-R-V	0.5243210955
Paxillin-R-C	0.3383651675
PCNA-M-C	-0.0944114815
PDCD4-R-C	-0.6424066455
PDK1-R-V	0.0166908915
PDK1_pS241-R-V	0.07910987
PEA15-R-V	0.0888539555000001
PEA15_pS116-R-V	-0.092750362
PI3K-p110-alpha-R-C	-0.064966814
PI3K-p85-R-V	0.322558808
PKC-alpha-M-V	0.1454894725
PKC-alpha_pS657-R-C	0.057096381
PKC-delta_pS664-R-V	0.0275346669999999
PKC-pan_BetaII_pS660-R-V	-0.00550753200000001
PR-R-V	-0.1774983045
PRAS40_pT246-R-V	0.31015756
PRDX1-R-V	-0.01394868
PREX1-R-E	-0.164477801
PTEN-R-V	0.0200032105
Rab11-R-E	-0.126521176
Rab25-R-V	-0.74701287
Rad50-M-V	-0.178983403
Rad51-R-V	-0.5464525795
Raptor-R-V	-0.0198810494999999
Rb-M-E	-0.227238481
Rb_pS807_S811-R-V	-0.00112115599999998
RBM15-R-V	0.103168048
Rictor-R-C	0.1778355695
Rictor_pT1135-R-V	-0.3860372055
S6-R-E	0.193467199
S6_pS235_S236-R-V	0.5707771775
S6_pS240_S244-R-V	0.693878147
SCD-M-V	0.0470745239999998
SETD2-R-E	-0.136058539
SF2-M-V	-0.2200900655
Shc_pY317-R-E	0.0252008345
Smac-M-E	-0.372138401
Smad1-R-V	0.213188133
Smad3-R-V	0.025710418
Smad4-M-V	-0.0183734159999999
Snail-M-E	0.033938213
Src-M-V	-0.283868108
Src_pY416-R-C	0.484495278
Src_pY527-R-V	-0.2665102255
STAT3_pY705-R-V	-0.0230093835
STAT5-alpha-R-V	0.156294743
Stathmin-R-V	-0.260261982
Syk-M-V	0.228381182
TAZ-R-V	-0.016485949
TFRC-R-V	0.12482659
TIGAR-R-V	0.0579174089999999
Transglutaminase-M-V	-0.1678549695
TSC1-R-C	-0.1575933435
TTF1-R-V	-0.192287622
Tuberin-R-E	-0.1282043875
Tuberin_pT1462-R-V	-0.0683644825
VEGFR2-R-V	-0.0157908564999999
EPPK1-M-E	1.7213997905
XBP1-G-C	0.28637991
XRCC1-R-E	-0.243083192
YAP-R-E	-0.1637814215
YAP_pS127-R-E	-0.0282957935
YB-1-R-V	0.257584778
YB-1_pS102-R-V	0.023567767
A-Raf-R-V	0.010128895
ARID1A-R-C	-0.0913850055
B-Raf_pS445-R-V	0.036579821
Bcl2A1-R-V	-0.3530427715
BRD4-R-V	-0.0564889955
c-Abl-R-V	-0.094901942
Caspase-3-R-C	0.3471938125
CD26-R-V	-0.092575312
Chk1_pS296-R-V	0.00938975800000005
COG3-R-V	0.031757174
DUSP4-R-V	0.7364697885
ERCC5-R-C	0.0435102564999999
IGF1R_pY1135_Y1136-R-V	-0.2177508445
IRF-1-R-C	-0.066519862
Jak2-R-V	0.075764238
p16_INK4a-R-V	-0.0721384719999999
SHP-2_pY542-R-C	-0.0141454520000001
CDK1_pY15-R-C	-0.1246409785
