Sample REF	0E16978E-8D73-46E3-BF36-BEE8FD68701F
YB-1_pS102-R-V	0.25101855775
A-Raf-R-V	-0.07607474925
ARID1A-R-C	0.34169497325
B-Raf_pS445-R-V	-0.23874691025
Bcl2A1-R-V	0.30367029425
BRD4-R-V	0.10791840025
c-Abl-R-V	-0.10397181925
Caspase-3-R-C	-0.17738937775
CD26-R-V	-0.18576418525
Chk1_pS296-R-V	-0.04323219125
COG3-R-V	-0.00172492225
DUSP4-R-V	0.64151902325
ERCC5-R-C	-0.12712006975
IGF1R_pY1135_Y1136-R-V	0.14056415025
IRF-1-R-C	-0.25834191925
Jak2-R-V	-0.34707849025
p16_INK4a-R-V	-0.34911951425
SHP-2_pY542-R-C	0.31263217675
CDK1_pY15-R-C	0.51585957725
