Sample REF	B6103119-61AE-437F-877F-76CF3C35A563
YB-1-R-V	0.0276778999999999
YB-1_pS102-R-V	0.171262714
A-Raf-R-V	0.00350576499999991
ARID1A-R-C	0.3780596465
B-Raf_pS445-R-V	0.128701339
Bcl2A1-R-V	0.1485236065
BRD4-R-V	-0.0163133315
c-Abl-R-V	-0.149545547
Caspase-3-R-C	-0.0858562045000003
CD26-R-V	0.152954689
Chk1_pS296-R-V	-0.051669431
COG3-R-V	-0.0382649750000001
DUSP4-R-V	-0.0843794605000004
ERCC5-R-C	-0.2795637375
IGF1R_pY1135_Y1136-R-V	-0.0172744915000001
IRF-1-R-C	-0.0247252020000001
Jak2-R-V	-0.232652453
p16_INK4a-R-V	-0.035786073
SHP-2_pY542-R-C	0.0342660779999996
CDK1_pY15-R-C	0.4193119255
