Sample REF	3E59B981-23B5-4A55-9CCE-381C45F82114
EGFR_pY1173-R-V	0.09911576225
eIF4E-R-V	-0.44446404725
eIF4G-R-C	-0.80877076775
ER-alpha-R-V	-0.04321273475
ER-alpha_pS118-R-V	0.23497590975
ERCC1-M-V	0.24858350975
ERK2-R-E	0.06543780825
ETS-1-R-V	0.14790376825
FASN-R-V	-0.49491516125
Fibronectin-R-V	-1.13986399525
FoxM1-R-V	0.06574544975
FOXO3a-R-C	0.0310015192499999
FOXO3a_pS318_S321-R-C	-0.0567755537499999
G6PD-M-V	0.29898694975
GAB2-R-V	0.05936450925
GAPDH-M-C	0.0568504532499998
GATA3-M-V	-0.0141775307500001
GSK3-alpha-beta-M-V	0.28840305775
GSK3-alpha-beta_pS21_S9-R-V	-0.57401448125
GSK3_pS9-R-V	-0.78104074125
HER2-M-V	-0.32923969475
HER2_pY1248-R-C	-0.08067406525
HER3-R-V	-0.27273761775
HER3_pY1289-R-C	0.08651089375
Heregulin-R-V	-0.16077404225
HSP70-R-C	0.15761284975
IGFBP2-R-V	-0.91217259875
INPP4B-R-V	-0.13571818925
IRS1-R-V	-0.06667084225
JAB1-M-C	-0.0392549467500001
JNK_pT183_pY185-R-V	0.02223936275
JNK2-R-C	-0.11715310325
Ku80-R-C	0.75454181375
Lck-R-V	0.23697947725
LKB1-M-E	0.10822144175
MAPK_pT202_Y204-R-V	0.0788113187499999
MEK1-R-V	-0.87329181975
MEK1_pS217_S221-R-V	0.000761544750000009
MIG-6-M-V	-0.10586746775
Mre11-R-C	0.02769929475
MSH2-M-V	0.34061359625
MSH6-R-C	0.0870784552500001
mTOR-R-V	0.44842615625
mTOR_pS2448-R-C	-0.0251141967499999
MYH11-R-V	0.81507709575
Myosin-IIa_pS1943-R-V	-0.13178562825
N-Cadherin-R-V	0.17364897325
N-Ras-M-V	-0.06847986175
NDRG1_pT346-R-V	-0.0375007737499999
NF-kB-p65_pS536-R-C	-0.36732566175
NF2-R-C	0.64751985725
Notch1-R-V	-0.27070578625
P-Cadherin-R-C	0.09325830625
p21-R-V	0.0296304542500001
p27-R-V	-0.04468849475
p27_pT157-R-C	0.00328185775000001
p27_pT198-R-V	0.12509718625
p38_MAPK-R-V	-0.0870792057500001
p38_pT180_Y182-R-V	-0.81528747375
p53-R-E	-0.10975610125
p62-LCK-ligand-M-C	-0.11018239675
p70S6K-R-V	0.0409751202499999
p70S6K_pT389-R-V	-0.0534032832499999
p90RSK-R-C	-0.30370747125
p90RSK_pT359_S363-R-C	0.0068534077500001
PAI-1-M-E	-0.33852300475
PARP_cleaved-M-E	0.17713311375
PARP1-R-V	0.97568227825
Paxillin-R-C	-0.29729993875
PCNA-M-C	0.10457073325
PDCD4-R-C	0.99877587625
PDK1-R-V	-0.02008413075
PDK1_pS241-R-V	-0.02941277025
PEA15-R-V	0.16631041925
PEA15_pS116-R-V	0.07122100575
PI3K-p110-alpha-R-C	0.09532255475
PI3K-p85-R-V	0.0752442307500001
PKC-alpha-M-V	-0.08264283075
PKC-alpha_pS657-R-C	-0.11108646125
PKC-delta_pS664-R-V	0.32290330875
PKC-pan_BetaII_pS660-R-V	-0.25990661225
PR-R-V	0.01772538625
PRAS40_pT246-R-V	-0.16878951125
PRDX1-R-V	0.42800567775
PREX1-R-E	0.46008721075
PTEN-R-V	-0.07081674875
Rab11-R-E	0.09781766675
Rab25-R-V	0.0525395127499999
Rad50-M-V	0.15382907875
Rad51-R-V	0.11861296925
Raptor-R-V	0.54343197625
Rb-M-E	-0.04234381825
Rb_pS807_S811-R-V	-0.17950519225
RBM15-R-V	0.15515693375
Rictor-R-C	-0.45553798675
Rictor_pT1135-R-V	-0.10453329375
S6-R-E	0.12413741475
S6_pS235_S236-R-V	0.44908851625
S6_pS240_S244-R-V	0.02976606975
SCD-M-V	0.0944106867499998
SETD2-R-E	0.10616892375
SF2-M-V	0.31177428625
Shc_pY317-R-E	0.04547498425
Smac-M-E	0.25827363775
Smad1-R-V	0.06696768075
Smad3-R-V	0.12840928975
Smad4-M-V	-0.04739374625
Snail-M-E	0.67485998075
Src-M-V	-0.19309112725
Src_pY416-R-C	-0.53275000725
Src_pY527-R-V	-0.53571468275
STAT3_pY705-R-V	0.02128448525
STAT5-alpha-R-V	-0.09132898425
Stathmin-R-V	0.10090666375
Syk-M-V	0.38982014675
TAZ-R-V	-0.18126503425
TFRC-R-V	-0.26131245425
TIGAR-R-V	-0.06883301325
Transglutaminase-M-V	-0.00990487475000001
TSC1-R-C	-0.22728336475
TTF1-R-V	-0.14252759925
Tuberin-R-E	-0.20566139275
Tuberin_pT1462-R-V	-0.48428685075
VEGFR2-R-V	-0.0365871307499999
EPPK1-M-E	-0.46417403375
XBP1-G-C	-0.0934711762499999
XRCC1-R-E	0.42651010975
YAP-R-E	-0.14795494975
YAP_pS127-R-E	-0.51206722575
YB-1-R-V	-0.14664279825
YB-1_pS102-R-V	0.05408463275
A-Raf-R-V	-0.10350511125
ARID1A-R-C	-0.64589000375
B-Raf_pS445-R-V	-0.36796763725
Bcl2A1-R-V	0.02888370325
BRD4-R-V	-0.17820826675
c-Abl-R-V	-0.02060822725
Caspase-3-R-C	0.00481982124999991
CD26-R-V	-0.14725035725
Chk1_pS296-R-V	-0.0392718362500001
COG3-R-V	-0.02518300225
DUSP4-R-V	-0.20482393675
ERCC5-R-C	0.0406796752499999
IGF1R_pY1135_Y1136-R-V	-0.04355644775
IRF-1-R-C	0.06678716275
Jak2-R-V	-0.00933272525000001
p16_INK4a-R-V	0.27674511375
SHP-2_pY542-R-C	-0.29126892225
CDK1_pY15-R-C	-0.00583188974999999
