Sample REF	5E0F8A2B-9723-474A-B388-0A64B130DB56
FASN-R-V	-0.215874296
Fibronectin-R-V	-1.364329025
FoxM1-R-V	0.164985863
FOXO3a-R-C	-0.0238340234999999
FOXO3a_pS318_S321-R-C	-0.1767392565
G6PD-M-V	-0.146041991
GAB2-R-V	0.4849142155
GAPDH-M-C	1.1169306765
GATA3-M-V	-0.3142658885
GSK3-alpha-beta-M-V	0.20711086
GSK3-alpha-beta_pS21_S9-R-V	0.473878273
GSK3_pS9-R-V	-0.02642195
HER2-M-V	-0.3450752735
HER2_pY1248-R-C	0.126202048
HER3-R-V	0.0112275835
HER3_pY1289-R-C	0.0422681
Heregulin-R-V	-0.015726237
HSP70-R-C	-0.0730789440000001
IGFBP2-R-V	-0.7094128555
INPP4B-R-V	-0.0981502899999998
IRS1-R-V	-0.037138698
JAB1-M-C	-0.0224197465000001
JNK_pT183_pY185-R-V	-0.106597713
JNK2-R-C	-0.222958184
Ku80-R-C	0.539207633
Lck-R-V	0.0944530065
LKB1-M-E	-0.071790036
MAPK_pT202_Y204-R-V	0.971800504
MEK1-R-V	0.0329575545
MEK1_pS217_S221-R-V	0.183609318
MIG-6-M-V	-0.1341375095
Mre11-R-C	-0.07600776
MSH2-M-V	0.3114612325
MSH6-R-C	0.4087962655
mTOR-R-V	0.2965281045
mTOR_pS2448-R-C	0.2645485635
MYH11-R-V	-0.998469335
Myosin-IIa_pS1943-R-V	-0.076716643
N-Cadherin-R-V	0.0125491895
N-Ras-M-V	0.0108211105
NDRG1_pT346-R-V	0.1159019515
NF-kB-p65_pS536-R-C	-0.0940853915
NF2-R-C	0.5041686155
Notch1-R-V	-0.112486212
P-Cadherin-R-C	0.1923406225
p21-R-V	0.4460428535
p27-R-V	-0.0842221875
p27_pT157-R-C	0.048070172
p27_pT198-R-V	0.1932972915
p38_MAPK-R-V	-0.1042160245
p38_pT180_Y182-R-V	-0.1351609905
p53-R-E	-0.0927586619999999
p62-LCK-ligand-M-C	-0.1653146555
p70S6K-R-V	0.0873502805
p70S6K_pT389-R-V	-0.0299525649999999
p90RSK-R-C	-0.05199954
p90RSK_pT359_S363-R-C	0.0700499700000001
PAI-1-M-E	-0.7215081875
PARP_cleaved-M-E	0.0992388889999997
PARP1-R-V	0.8059246245
Paxillin-R-C	0.0298441625
PCNA-M-C	-0.0397325495
PDCD4-R-C	0.8332874645
PDK1-R-V	-0.2048140785
PDK1_pS241-R-V	-0.35963161
PEA15-R-V	-0.1382563955
PEA15_pS116-R-V	0.020783273
PI3K-p110-alpha-R-C	-0.001005901
PI3K-p85-R-V	0.126476785
PKC-alpha-M-V	-0.4277659545
PKC-alpha_pS657-R-C	-0.428818182
PKC-delta_pS664-R-V	0.059795213
PKC-pan_BetaII_pS660-R-V	0.00877801899999997
PR-R-V	-0.0559741395
PRAS40_pT246-R-V	0.170243174
PRDX1-R-V	0.044648034
PREX1-R-E	0.637532897
PTEN-R-V	-0.1896949965
Rab11-R-E	0.165553114
Rab25-R-V	0.123296037
Rad50-M-V	-0.124652964
Rad51-R-V	0.1152051385
Raptor-R-V	0.2616607465
Rb-M-E	-0.067804779
Rb_pS807_S811-R-V	0.590334153
RBM15-R-V	-0.048197868
Rictor-R-C	-0.2352369205
Rictor_pT1135-R-V	-0.0740691105
S6-R-E	0.442190725
S6_pS235_S236-R-V	0.2830224385
S6_pS240_S244-R-V	0.0368544899999999
SCD-M-V	0.258322109
SETD2-R-E	-0.043177826
SF2-M-V	0.2613847635
Shc_pY317-R-E	0.0671464845
Smac-M-E	0.00510425599999992
Smad1-R-V	0.069975105
Smad3-R-V	0.067696712
Smad4-M-V	-0.10932634
Snail-M-E	0.374359548
Src-M-V	-0.399849837
Src_pY416-R-C	0.424096418
Src_pY527-R-V	-0.0713898035
STAT3_pY705-R-V	0.1551148905
STAT5-alpha-R-V	0.18472399
Stathmin-R-V	0.122741816
Syk-M-V	0.17512583
TAZ-R-V	-0.19917039
TFRC-R-V	-0.379209301
TIGAR-R-V	-0.02971016
Transglutaminase-M-V	-0.0154522015
TSC1-R-C	-0.2817280635
TTF1-R-V	0.0974802200000001
Tuberin-R-E	-0.7114878155
Tuberin_pT1462-R-V	-0.4157282545
VEGFR2-R-V	0.00721469550000003
EPPK1-M-E	0.8163527825
XBP1-G-C	-0.355180138
XRCC1-R-E	0.231630662
YAP-R-E	-0.1561325325
YAP_pS127-R-E	-0.4796082445
YB-1-R-V	-0.255379732
YB-1_pS102-R-V	-0.082124491
A-Raf-R-V	-0.086653206
ARID1A-R-C	0.2285525385
B-Raf_pS445-R-V	-0.173463008
Bcl2A1-R-V	-0.0587164595
BRD4-R-V	0.3609671365
c-Abl-R-V	0.006801744
Caspase-3-R-C	0.0102862434999999
CD26-R-V	-0.216201354
Chk1_pS296-R-V	0.0628245029999999
COG3-R-V	0.061995666
DUSP4-R-V	-0.1508810865
ERCC5-R-C	0.0628770484999999
IGF1R_pY1135_Y1136-R-V	-0.1015191855
IRF-1-R-C	0.151064618
Jak2-R-V	0.080060981
p16_INK4a-R-V	-0.082205564
SHP-2_pY542-R-C	-0.157014122
CDK1_pY15-R-C	0.4622735115
