Sample REF	42604A53-1239-4C9C-BFA5-1F577146083C
PKC-pan_BetaII_pS660-R-V	-0.00389598974999995
PR-R-V	-0.03249366325
PRAS40_pT246-R-V	-0.10364111375
PRDX1-R-V	0.02831460225
PREX1-R-E	0.57662928325
PTEN-R-V	0.30527192175
Rab11-R-E	0.0542707752500001
Rab25-R-V	-0.0825082967500001
Rad50-M-V	0.44792230625
Rad51-R-V	-0.21751002025
Raptor-R-V	0.34365303575
Rb-M-E	-0.01472103575
Rb_pS807_S811-R-V	-0.68622849075
RBM15-R-V	0.17821918125
Rictor-R-C	0.44796193475
Rictor_pT1135-R-V	-0.35734932025
S6-R-E	0.13023184725
S6_pS235_S236-R-V	-0.0114015252500001
S6_pS240_S244-R-V	-0.16110541775
SCD-M-V	0.19784914225
SETD2-R-E	0.04928655925
SF2-M-V	0.48895286375
Shc_pY317-R-E	0.0557565517500001
Smac-M-E	0.45973861125
Smad1-R-V	-0.14215494375
Smad3-R-V	0.0408621222500001
Smad4-M-V	-0.11330144475
Snail-M-E	-0.02491585075
Src-M-V	0.41233343825
Src_pY416-R-C	-0.33001468275
Src_pY527-R-V	-0.27766001725
STAT3_pY705-R-V	-0.09266225525
STAT5-alpha-R-V	-0.00498843674999992
Stathmin-R-V	-0.0485796727499999
Syk-M-V	-0.17408031675
TAZ-R-V	-0.13974732475
TFRC-R-V	0.08479394525
TIGAR-R-V	-0.05265012575
Transglutaminase-M-V	-0.0718113552499999
TSC1-R-C	0.05145865575
TTF1-R-V	0.0733800282500001
Tuberin-R-E	0.30323836775
Tuberin_pT1462-R-V	-0.49859368325
VEGFR2-R-V	-0.29438584325
EPPK1-M-E	0.31500832175
XBP1-G-C	0.15500066025
XRCC1-R-E	0.18106941125
YAP-R-E	-0.13699397725
YAP_pS127-R-E	-0.58060741925
YB-1-R-V	-0.23410980775
YB-1_pS102-R-V	-0.31112282975
A-Raf-R-V	0.0586285462500001
ARID1A-R-C	-0.92794435525
B-Raf_pS445-R-V	0.0992359782500001
Bcl2A1-R-V	-0.16534626925
BRD4-R-V	-0.18689070325
c-Abl-R-V	0.06140299725
Caspase-3-R-C	0.0500074637499999
CD26-R-V	-0.0595188027500001
Chk1_pS296-R-V	-0.0650482837499999
COG3-R-V	0.19441770425
DUSP4-R-V	-0.14657130925
ERCC5-R-C	-0.08859454525
IGF1R_pY1135_Y1136-R-V	-0.11225615625
IRF-1-R-C	-0.02978276875
Jak2-R-V	0.10571906625
p16_INK4a-R-V	-0.20379320775
SHP-2_pY542-R-C	-0.14066461275
CDK1_pY15-R-C	0.0664567247500001
