Sample REF	416F5059-8D8A-4B50-8E8E-C3DEC4334602
eIF4G-R-C	0.15510683825
ER-alpha-R-V	0.00031672924999987
ER-alpha_pS118-R-V	0.15985677075
ERCC1-M-V	-0.0377452872500001
ERK2-R-E	-0.0363203267500002
ETS-1-R-V	-0.00870969375000014
FASN-R-V	-0.63472154625
Fibronectin-R-V	-0.94517384125
FoxM1-R-V	-0.26022419425
FOXO3a-R-C	0.0275829392499999
FOXO3a_pS318_S321-R-C	0.12130045725
G6PD-M-V	0.20649767275
GAB2-R-V	1.39982801525
GAPDH-M-C	0.26862051025
GATA3-M-V	0.0126368742499999
GSK3-alpha-beta-M-V	0.12698045375
GSK3-alpha-beta_pS21_S9-R-V	0.00340886474999991
GSK3_pS9-R-V	0.0425875227499999
HER2-M-V	-0.31423590875
HER2_pY1248-R-C	-0.0869100132500002
HER3-R-V	-0.0635380247500001
HER3_pY1289-R-C	-0.0578156522500001
Heregulin-R-V	-0.10680024025
HSP70-R-C	-0.74493470225
IGFBP2-R-V	-0.27396153575
INPP4B-R-V	-0.00834676424999997
IRS1-R-V	-0.29812699125
JAB1-M-C	0.04952008325
JNK_pT183_pY185-R-V	-0.11565983325
JNK2-R-C	0.0717509167499999
Ku80-R-C	0.21858750475
Lck-R-V	0.55602436325
LKB1-M-E	-0.08836322225
MAPK_pT202_Y204-R-V	-0.19945937025
MEK1-R-V	0.33704908425
MEK1_pS217_S221-R-V	-0.19521165625
MIG-6-M-V	-0.0601070537500001
Mre11-R-C	-0.04975497425
MSH2-M-V	0.0931320562499999
MSH6-R-C	-0.0687108897499998
mTOR-R-V	0.26786919625
mTOR_pS2448-R-C	0.24020848825
MYH11-R-V	-0.69421153625
Myosin-IIa_pS1943-R-V	0.21383076475
N-Cadherin-R-V	-0.0998958837500001
N-Ras-M-V	0.0435256992499998
NDRG1_pT346-R-V	-0.11199982475
NF-kB-p65_pS536-R-C	0.48775117425
NF2-R-C	-0.0185448487500002
Notch1-R-V	-0.12078659425
P-Cadherin-R-C	0.11771213625
p21-R-V	0.44264294625
p27-R-V	0.31114028725
p27_pT157-R-C	-0.0735052822500001
p27_pT198-R-V	-0.0050074717500001
p38_MAPK-R-V	0.11742246525
p38_pT180_Y182-R-V	0.28468196725
p53-R-E	0.01937223175
p62-LCK-ligand-M-C	0.0498568342499999
p70S6K-R-V	0.11738517725
p70S6K_pT389-R-V	0.76534113675
p90RSK-R-C	-0.0691421352500001
p90RSK_pT359_S363-R-C	-0.33982041525
PAI-1-M-E	-0.56810076775
PARP_cleaved-M-E	0.0860059327499997
PARP1-R-V	0.33076055625
Paxillin-R-C	0.10098437925
PCNA-M-C	-0.12843133775
PDCD4-R-C	0.24803896225
PDK1-R-V	0.0813628182499999
PDK1_pS241-R-V	-0.0074867412500001
PEA15-R-V	-0.0160829327500001
PEA15_pS116-R-V	-0.16034066825
PI3K-p110-alpha-R-C	0.000414503749999906
PI3K-p85-R-V	0.43107508175
PKC-alpha-M-V	0.0339739692499999
PKC-alpha_pS657-R-C	-0.0295678002500001
PKC-delta_pS664-R-V	0.11451220375
PKC-pan_BetaII_pS660-R-V	0.56723162775
PR-R-V	0.0170246652499999
PRAS40_pT246-R-V	0.0950743207499999
PRDX1-R-V	-0.0529795682500001
PREX1-R-E	0.58749561375
PTEN-R-V	0.18698911025
Rab11-R-E	-0.0315689362500001
Rab25-R-V	0.28179021875
Rad50-M-V	0.26911109475
Rad51-R-V	-0.45873733075
Raptor-R-V	0.26496955225
Rb-M-E	-0.0955577862500001
Rb_pS807_S811-R-V	-0.0288773332500001
RBM15-R-V	0.11084872275
Rictor-R-C	-0.0824956147500001
Rictor_pT1135-R-V	-0.16701706875
S6-R-E	0.0915134437499998
S6_pS235_S236-R-V	0.0924653532499998
S6_pS240_S244-R-V	-0.00251137225000014
SCD-M-V	-0.0145034292500003
SETD2-R-E	-0.21008640525
SF2-M-V	0.44976407125
Shc_pY317-R-E	-0.0821661517500001
Smac-M-E	0.50763488975
Smad1-R-V	0.0592038577499999
Smad3-R-V	0.12090107675
Smad4-M-V	-0.0086570552500001
Snail-M-E	-0.23056774525
Src-M-V	-0.20485056325
Src_pY416-R-C	0.22145608575
Src_pY527-R-V	-0.74247511875
STAT3_pY705-R-V	0.11825534825
STAT5-alpha-R-V	0.73615986675
Stathmin-R-V	-0.22613965925
Syk-M-V	0.61227769175
TAZ-R-V	-0.15413283625
TFRC-R-V	0.36001871375
TIGAR-R-V	0.00849354174999989
Transglutaminase-M-V	-0.0580257637500001
TSC1-R-C	-0.32971684775
TTF1-R-V	-0.14087783625
Tuberin-R-E	-0.20633435175
Tuberin_pT1462-R-V	-0.16671990375
VEGFR2-R-V	-0.02091684275
EPPK1-M-E	0.0999105202499999
XBP1-G-C	-0.21699560225
XRCC1-R-E	0.0813334637499999
YAP-R-E	-0.22462001375
YAP_pS127-R-E	-0.30557011275
YB-1-R-V	-0.16157161625
YB-1_pS102-R-V	-0.0906085622500001
A-Raf-R-V	0.10113601975
ARID1A-R-C	0.13989152125
B-Raf_pS445-R-V	0.12069043675
Bcl2A1-R-V	-0.30175959875
BRD4-R-V	0.35491698625
c-Abl-R-V	0.10748802975
Caspase-3-R-C	0.10608478525
CD26-R-V	-0.0305548222500002
Chk1_pS296-R-V	-0.0349068432500001
COG3-R-V	0.15665722875
DUSP4-R-V	-0.17061254675
ERCC5-R-C	0.32619629025
IGF1R_pY1135_Y1136-R-V	-0.14942226975
IRF-1-R-C	0.30096609275
Jak2-R-V	0.37052203875
p16_INK4a-R-V	-0.0434141092500001
SHP-2_pY542-R-C	-0.20043364625
CDK1_pY15-R-C	-0.23587300975
