Sample REF	68D49B5B-61C7-4A64-919B-DF6FAFCB8D6F
HER2_pY1248-R-C	-0.13616505025
HER3-R-V	-0.11815107575
HER3_pY1289-R-C	-0.05007774725
Heregulin-R-V	0.20734070475
HSP70-R-C	0.26883097175
IGFBP2-R-V	0.82175712325
INPP4B-R-V	0.0452318437500001
IRS1-R-V	-0.12460729925
JAB1-M-C	0.0929001982500001
JNK_pT183_pY185-R-V	0.00875823674999995
JNK2-R-C	-0.03595134425
Ku80-R-C	0.33269583275
Lck-R-V	0.21876338625
LKB1-M-E	0.04983701375
MAPK_pT202_Y204-R-V	-0.11489716325
MEK1-R-V	0.12431301525
MEK1_pS217_S221-R-V	0.03077261975
MIG-6-M-V	-0.08341583475
Mre11-R-C	0.0171062807500001
MSH2-M-V	0.23151442425
MSH6-R-C	0.0899235762500003
mTOR-R-V	0.15540126925
mTOR_pS2448-R-C	0.10135392025
MYH11-R-V	-1.63635350125
Myosin-IIa_pS1943-R-V	-0.36176876425
N-Cadherin-R-V	0.13876035225
N-Ras-M-V	0.16158223525
NDRG1_pT346-R-V	-0.0789968507499999
NF-kB-p65_pS536-R-C	-0.20916370775
NF2-R-C	-0.17793874175
Notch1-R-V	-0.18070524525
P-Cadherin-R-C	0.48740319825
p21-R-V	-0.04769712875
p27-R-V	-0.0767460767499999
p27_pT157-R-C	0.03119625775
p27_pT198-R-V	0.30676795525
p38_MAPK-R-V	-0.21066440275
p38_pT180_Y182-R-V	-0.17589115575
p53-R-E	-0.0616572042499999
p62-LCK-ligand-M-C	-0.03277505375
p70S6K-R-V	0.00133117425000004
p70S6K_pT389-R-V	0.0654572307500001
p90RSK-R-C	0.14515371475
p90RSK_pT359_S363-R-C	0.26089721775
PAI-1-M-E	-0.43311138075
PARP_cleaved-M-E	0.0362379247499997
PARP1-R-V	0.45691809625
Paxillin-R-C	-0.07975873275
PCNA-M-C	0.14812016525
PDCD4-R-C	0.0700240032500001
PDK1-R-V	-0.08532849775
PDK1_pS241-R-V	-0.15670117925
PEA15-R-V	-0.10868713075
PEA15_pS116-R-V	-0.22659240725
PI3K-p110-alpha-R-C	0.00686831575000002
PI3K-p85-R-V	0.0802104977500001
PKC-alpha-M-V	-0.18704637675
PKC-alpha_pS657-R-C	-0.35710425725
PKC-delta_pS664-R-V	-0.09205484525
PKC-pan_BetaII_pS660-R-V	0.18839295775
PR-R-V	-0.04074308975
PRAS40_pT246-R-V	-0.05338485225
PRDX1-R-V	0.29244596575
PREX1-R-E	0.51332391475
PTEN-R-V	-0.17805500275
Rab11-R-E	0.00849965475000006
Rab25-R-V	0.12822964975
Rad50-M-V	0.31553193475
Rad51-R-V	0.25812971125
Raptor-R-V	0.0483977782500001
Rb-M-E	-0.10911894825
Rb_pS807_S811-R-V	0.63174928975
RBM15-R-V	0.07287545275
Rictor-R-C	-0.25132817375
Rictor_pT1135-R-V	0.00111312024999996
S6-R-E	0.06248486475
S6_pS235_S236-R-V	-0.68385941975
S6_pS240_S244-R-V	-0.43544200325
SCD-M-V	0.16233589975
SETD2-R-E	-0.02495207425
SF2-M-V	0.29997682325
Shc_pY317-R-E	-0.14932273175
Smac-M-E	0.23875120175
Smad1-R-V	-0.12708160425
Smad3-R-V	0.11996756075
Smad4-M-V	-0.19001311225
Snail-M-E	-0.0682068392500001
Src-M-V	-0.05707051925
Src_pY416-R-C	0.22522264275
Src_pY527-R-V	-0.10777584975
STAT3_pY705-R-V	-0.13055788875
STAT5-alpha-R-V	0.17615263275
Stathmin-R-V	0.0888656147500001
Syk-M-V	0.24572789275
TAZ-R-V	-0.11907743225
TFRC-R-V	0.05434489275
TIGAR-R-V	0.16040085775
Transglutaminase-M-V	0.10962239425
TSC1-R-C	-0.15874894075
TTF1-R-V	0.0808551037500001
Tuberin-R-E	-0.02943123575
Tuberin_pT1462-R-V	-0.15776392375
VEGFR2-R-V	-0.06449306775
EPPK1-M-E	-0.17127071875
XBP1-G-C	-0.42260342225
XRCC1-R-E	0.13504592375
YAP-R-E	-0.04799173475
YAP_pS127-R-E	-0.16770884875
YB-1-R-V	-0.21728254725
YB-1_pS102-R-V	-0.02785226825
A-Raf-R-V	-0.03161666325
ARID1A-R-C	-0.23326505175
B-Raf_pS445-R-V	0.19810675275
Bcl2A1-R-V	1.01403237425
BRD4-R-V	0.32560494425
c-Abl-R-V	-0.08001031825
Caspase-3-R-C	-0.0301811837500001
CD26-R-V	-0.13212292425
Chk1_pS296-R-V	0.00615039175000007
COG3-R-V	0.06643744175
DUSP4-R-V	-0.24325396275
ERCC5-R-C	-0.06917376175
IGF1R_pY1135_Y1136-R-V	-0.0696126477499999
IRF-1-R-C	0.63758138075
Jak2-R-V	0.03093075875
p16_INK4a-R-V	-0.27551987825
SHP-2_pY542-R-C	-0.25088194025
CDK1_pY15-R-C	0.21517600225
