Sample REF	8E88464D-D5AA-47B7-ABF8-BC6A6A17F880
ER-alpha-R-V	-0.04325940425
ER-alpha_pS118-R-V	-0.05339752075
ERCC1-M-V	0.00312152825000001
ERK2-R-E	-0.0984317972500001
ETS-1-R-V	-0.09169226025
FASN-R-V	0.23133507225
Fibronectin-R-V	1.57984472825
FoxM1-R-V	0.19489531025
FOXO3a-R-C	0.0723135227499999
FOXO3a_pS318_S321-R-C	0.00611577775000005
G6PD-M-V	-0.31899120475
GAB2-R-V	-0.30601506825
GAPDH-M-C	-0.63142132125
GATA3-M-V	0.34005204775
GSK3-alpha-beta-M-V	-0.35786351475
GSK3-alpha-beta_pS21_S9-R-V	0.12960230125
GSK3_pS9-R-V	0.07095748225
HER2-M-V	0.44365689575
HER2_pY1248-R-C	0.18514248025
HER3-R-V	0.36761954175
HER3_pY1289-R-C	-0.01573772175
Heregulin-R-V	0.23504927225
HSP70-R-C	0.78978443825
IGFBP2-R-V	0.41912802575
INPP4B-R-V	-0.00438315574999992
IRS1-R-V	0.39107434325
JAB1-M-C	-0.13986787825
JNK_pT183_pY185-R-V	0.15872845125
JNK2-R-C	0.07882226925
Ku80-R-C	-0.32546446275
Lck-R-V	-0.46210464225
LKB1-M-E	0.11035719925
MAPK_pT202_Y204-R-V	-0.15876486475
MEK1-R-V	-0.47745452025
MEK1_pS217_S221-R-V	0.06984267925
MIG-6-M-V	-0.08583379125
Mre11-R-C	0.15284772825
MSH2-M-V	-0.0265947672499999
MSH6-R-C	0.25010628275
mTOR-R-V	-0.22926069825
mTOR_pS2448-R-C	-0.16891731425
MYH11-R-V	-1.80908802475
Myosin-IIa_pS1943-R-V	-0.22604545775
N-Cadherin-R-V	0.14754252075
N-Ras-M-V	-0.0799004072500001
NDRG1_pT346-R-V	0.33048176175
NF-kB-p65_pS536-R-C	0.21415064175
NF2-R-C	-0.32513779825
Notch1-R-V	0.23140544025
P-Cadherin-R-C	0.04055176675
p21-R-V	-0.00433471225000004
p27-R-V	0.08208035875
p27_pT157-R-C	0.0290231172500001
p27_pT198-R-V	-0.01797661025
p38_MAPK-R-V	0.0235079777499999
p38_pT180_Y182-R-V	0.59777555675
p53-R-E	0.0706560652500002
p62-LCK-ligand-M-C	-0.38993416325
p70S6K-R-V	-0.05906828025
p70S6K_pT389-R-V	0.10273741725
p90RSK-R-C	0.25463993725
p90RSK_pT359_S363-R-C	0.18194304525
PAI-1-M-E	-0.11663322125
PARP_cleaved-M-E	0.48608563425
PARP1-R-V	-0.82637758625
Paxillin-R-C	0.10231059375
PCNA-M-C	-0.04442910325
PDCD4-R-C	-0.18331147325
PDK1-R-V	0.11763411675
PDK1_pS241-R-V	0.12860479325
PEA15-R-V	-0.28409703625
PEA15_pS116-R-V	0.14419257825
PI3K-p110-alpha-R-C	-0.06321652775
PI3K-p85-R-V	-0.09887959875
PKC-alpha-M-V	0.06233599275
PKC-alpha_pS657-R-C	0.21030493725
PKC-delta_pS664-R-V	0.21421890325
PKC-pan_BetaII_pS660-R-V	0.19245050725
PR-R-V	0.04784121975
PRAS40_pT246-R-V	0.08458506125
PRDX1-R-V	-1.11874363175
PREX1-R-E	-0.51975126875
PTEN-R-V	0.02542061675
Rab11-R-E	0.13904156825
Rab25-R-V	-0.0705344817500001
Rad50-M-V	-0.03295971975
Rad51-R-V	0.05823257175
Raptor-R-V	-0.0909755612499999
Rb-M-E	0.48421885825
Rb_pS807_S811-R-V	0.03295378325
RBM15-R-V	-0.31984255675
Rictor-R-C	-0.50432291725
Rictor_pT1135-R-V	0.26227633675
S6-R-E	-0.68322474375
S6_pS235_S236-R-V	-0.83071112125
S6_pS240_S244-R-V	-0.28180519075
SCD-M-V	-0.10758065675
SETD2-R-E	0.78126256925
SF2-M-V	-0.19463357925
Shc_pY317-R-E	-0.16564529725
Smac-M-E	0.28103595025
Smad1-R-V	0.06902034625
Smad3-R-V	-0.06562308175
Smad4-M-V	-0.10799304775
Snail-M-E	0.35919456825
Src-M-V	0.35308776725
Src_pY416-R-C	-0.40258926075
Src_pY527-R-V	0.31368642275
STAT3_pY705-R-V	-0.38374907125
STAT5-alpha-R-V	-0.72239311275
Stathmin-R-V	0.01732132625
Syk-M-V	-0.71601222275
TAZ-R-V	0.41819366625
TFRC-R-V	-0.39320449075
TIGAR-R-V	0.31739261725
Transglutaminase-M-V	0.14843849875
TSC1-R-C	0.42222841375
TTF1-R-V	-0.07033386575
Tuberin-R-E	-0.11464599725
Tuberin_pT1462-R-V	0.41623197675
VEGFR2-R-V	-0.26254733325
EPPK1-M-E	0.33906395275
XBP1-G-C	-0.0043319007499999
XRCC1-R-E	0.12516570825
YAP-R-E	0.38318526775
YAP_pS127-R-E	0.65609259375
YB-1-R-V	0.27044836025
YB-1_pS102-R-V	0.13650982925
A-Raf-R-V	-0.34185763475
ARID1A-R-C	0.16988293575
B-Raf_pS445-R-V	0.07963922925
Bcl2A1-R-V	0.10806457275
BRD4-R-V	-0.0399222192500001
c-Abl-R-V	0.04273685725
Caspase-3-R-C	-0.0914373982500002
CD26-R-V	0.19134109925
Chk1_pS296-R-V	0.0656597772499999
COG3-R-V	-0.21944590675
DUSP4-R-V	0.19713648975
ERCC5-R-C	-0.00498458425000009
IGF1R_pY1135_Y1136-R-V	-0.03089275425
IRF-1-R-C	-0.14939452875
Jak2-R-V	-0.29491575875
p16_INK4a-R-V	-0.18192866675
SHP-2_pY542-R-C	0.0366188142499998
CDK1_pY15-R-C	0.05819593575
