Sample REF	593D0506-2BE9-4AC1-B7C1-0A499934DBBA
P-Cadherin-R-C	-0.1636513175
p21-R-V	-1.0568603345
p27-R-V	-0.1248246135
p27_pT157-R-C	0.00923267600000005
p27_pT198-R-V	-0.0520286284999999
p38_MAPK-R-V	0.1181297515
p38_pT180_Y182-R-V	-0.1609417145
p53-R-E	-0.0144154879999998
p62-LCK-ligand-M-C	-0.0242285834999999
p70S6K-R-V	0.3257079855
p70S6K_pT389-R-V	-0.205981831
p90RSK-R-C	0.0205860990000001
p90RSK_pT359_S363-R-C	-0.249955072
PAI-1-M-E	1.7646474805
PARP_cleaved-M-E	-0.0210921070000001
PARP1-R-V	0.2045049375
Paxillin-R-C	0.6029265845
PCNA-M-C	0.3284492815
PDCD4-R-C	-0.8064483885
PDK1-R-V	-0.0605224124999999
PDK1_pS241-R-V	-0.150831623
PEA15-R-V	0.2646713705
PEA15_pS116-R-V	-0.0307947569999999
PI3K-p110-alpha-R-C	0.0032549260000001
PI3K-p85-R-V	-0.239848099
PKC-alpha-M-V	-0.3346385505
PKC-alpha_pS657-R-C	-0.360123803
PKC-delta_pS664-R-V	-0.247965542
PKC-pan_BetaII_pS660-R-V	-0.227967032
PR-R-V	-0.00212247049999992
PRAS40_pT246-R-V	0.095596298
PRDX1-R-V	0.108052227
PREX1-R-E	-0.337504148
PTEN-R-V	0.0243397875000001
Rab11-R-E	-0.0397800249999999
Rab25-R-V	-0.0687106689999999
Rad50-M-V	-0.029498552
Rad51-R-V	-0.3552814475
Raptor-R-V	-0.00389486549999973
Rb-M-E	-0.237738434
Rb_pS807_S811-R-V	-0.0953456399999999
RBM15-R-V	0.348755848
Rictor-R-C	0.2308440035
Rictor_pT1135-R-V	-0.2246546655
S6-R-E	0.381935302
S6_pS235_S236-R-V	0.2432836785
S6_pS240_S244-R-V	0.199707312
SCD-M-V	-0.0507657740000002
SETD2-R-E	0.000810061000000084
SF2-M-V	-0.1948077425
Shc_pY317-R-E	0.1350236375
Smac-M-E	0.0178988879999999
Smad1-R-V	0.195141822
Smad3-R-V	0.100548147
Smad4-M-V	0.103936002
Snail-M-E	0.252337605
Src-M-V	-0.360653658
Src_pY416-R-C	0.155030722
Src_pY527-R-V	-0.1993078495
STAT3_pY705-R-V	-0.1068845355
STAT5-alpha-R-V	0.016370869
Stathmin-R-V	0.0575573150000002
Syk-M-V	0.224166829
TAZ-R-V	-0.0262658669999999
TFRC-R-V	0.168417093
TIGAR-R-V	-0.065146403
Transglutaminase-M-V	-0.00588714249999994
TSC1-R-C	0.0921459265
TTF1-R-V	-0.0260199179999999
Tuberin-R-E	-0.0993333485000001
Tuberin_pT1462-R-V	-0.1275191365
VEGFR2-R-V	0.2627042985
EPPK1-M-E	2.4642707595
XBP1-G-C	0.408182703
XRCC1-R-E	0.134344044
YAP-R-E	-0.1302718665
YAP_pS127-R-E	-0.1024504435
YB-1-R-V	0.219394339
YB-1_pS102-R-V	-0.0124765829999999
A-Raf-R-V	-0.074082162
ARID1A-R-C	-0.0636772364999998
B-Raf_pS445-R-V	-0.221907928
Bcl2A1-R-V	-0.1133341005
BRD4-R-V	-0.1605711945
c-Abl-R-V	-0.12585261
Caspase-3-R-C	0.2358316065
CD26-R-V	0.044505695
Chk1_pS296-R-V	0.0449769380000001
COG3-R-V	0.0025860780000001
DUSP4-R-V	1.1721315685
ERCC5-R-C	0.0388131924999999
IGF1R_pY1135_Y1136-R-V	-0.0533329334999999
IRF-1-R-C	-0.0106844519999999
Jak2-R-V	0.0954693540000001
p16_INK4a-R-V	0.165558541
SHP-2_pY542-R-C	0.021439988
CDK1_pY15-R-C	0.1429825345
