Sample REF	8329F212-4A68-483B-875D-6C49BB6B3E58
ERCC1-M-V	-0.06837616875
ERK2-R-E	0.13478159075
ETS-1-R-V	0.03362168975
FASN-R-V	0.15007838025
Fibronectin-R-V	0.88953618825
FoxM1-R-V	-0.41407117775
FOXO3a-R-C	0.07781866975
FOXO3a_pS318_S321-R-C	0.00724771875000019
G6PD-M-V	-0.14438221875
GAB2-R-V	-0.33131980325
GAPDH-M-C	-0.38747152825
GATA3-M-V	0.00578793375000008
GSK3-alpha-beta-M-V	0.10955114825
GSK3-alpha-beta_pS21_S9-R-V	-0.55876562775
GSK3_pS9-R-V	-0.49437210475
HER2-M-V	0.01325185775
HER2_pY1248-R-C	0.04346259425
HER3-R-V	-0.33586411025
HER3_pY1289-R-C	-0.01981623575
Heregulin-R-V	0.0701943112500001
HSP70-R-C	1.12381902025
IGFBP2-R-V	-0.16087319425
INPP4B-R-V	-0.14074293775
IRS1-R-V	0.0611079332500001
JAB1-M-C	-0.11870989325
JNK_pT183_pY185-R-V	-0.11668510875
JNK2-R-C	-0.06430501875
Ku80-R-C	-0.32360737375
Lck-R-V	0.18204405075
LKB1-M-E	0.23586712525
MAPK_pT202_Y204-R-V	-0.12271376875
MEK1-R-V	0.25733493275
MEK1_pS217_S221-R-V	-0.04390972475
MIG-6-M-V	-0.0422665242499999
Mre11-R-C	0.05743128625
MSH2-M-V	-0.40225885925
MSH6-R-C	-0.64204581325
mTOR-R-V	-0.14185998025
mTOR_pS2448-R-C	-0.0255886112499998
MYH11-R-V	1.37826027225
Myosin-IIa_pS1943-R-V	0.0691282772500001
N-Cadherin-R-V	0.0207530067500001
N-Ras-M-V	-0.00989723825000011
NDRG1_pT346-R-V	-0.22753058925
NF-kB-p65_pS536-R-C	-0.32924871125
NF2-R-C	-0.08732315625
Notch1-R-V	0.35524330625
P-Cadherin-R-C	-0.19161238725
p21-R-V	0.35515513375
p27-R-V	0.22274635275
p27_pT157-R-C	-0.0322919387499999
p27_pT198-R-V	0.0680913057500001
p38_MAPK-R-V	0.52776365275
p38_pT180_Y182-R-V	-0.20058458625
p53-R-E	0.22550989925
p62-LCK-ligand-M-C	-0.04063729825
p70S6K-R-V	-0.06847548825
p70S6K_pT389-R-V	0.0265377122500001
p90RSK-R-C	0.00235238525000003
p90RSK_pT359_S363-R-C	0.0941266882500001
PAI-1-M-E	0.18487813575
PARP_cleaved-M-E	0.0682583072499999
PARP1-R-V	-0.37957628725
Paxillin-R-C	-0.24966328225
PCNA-M-C	-0.13417983825
PDCD4-R-C	-0.37350635925
PDK1-R-V	0.03815237975
PDK1_pS241-R-V	0.04264537225
PEA15-R-V	0.16427879275
PEA15_pS116-R-V	0.10989978025
PI3K-p110-alpha-R-C	-0.0331737767499999
PI3K-p85-R-V	0.17187523125
PKC-alpha-M-V	0.32800981875
PKC-alpha_pS657-R-C	0.24551753125
PKC-delta_pS664-R-V	-0.06454439175
PKC-pan_BetaII_pS660-R-V	-0.06290930975
PR-R-V	0.06105471075
PRAS40_pT246-R-V	-0.21323086875
PRDX1-R-V	-0.64899509175
PREX1-R-E	-0.31048956175
PTEN-R-V	0.12308845975
Rab11-R-E	0.13353983825
Rab25-R-V	0.19739768525
Rad50-M-V	-0.23571087475
Rad51-R-V	0.13847420075
Raptor-R-V	0.00955777375000011
Rb-M-E	0.07100666625
Rb_pS807_S811-R-V	-0.29550786175
RBM15-R-V	-0.18296440975
Rictor-R-C	0.34349933375
Rictor_pT1135-R-V	-0.17091205825
S6-R-E	-0.03133568175
S6_pS235_S236-R-V	0.14293940575
S6_pS240_S244-R-V	0.14854091625
SCD-M-V	-0.10753619275
SETD2-R-E	0.44812500825
SF2-M-V	-0.0729229692500001
Shc_pY317-R-E	-0.000918646250000044
Smac-M-E	0.0968452252499999
Smad1-R-V	0.0761347402500001
Smad3-R-V	-0.0246350337499999
Smad4-M-V	-0.09618628975
Snail-M-E	-0.04556731475
Src-M-V	0.13625221225
Src_pY416-R-C	-0.57997178975
Src_pY527-R-V	0.11073141275
STAT3_pY705-R-V	0.40927978475
STAT5-alpha-R-V	-0.29165533875
Stathmin-R-V	-0.0732021787499999
Syk-M-V	0.10619175525
TAZ-R-V	0.19711621925
TFRC-R-V	-0.35282192275
TIGAR-R-V	-0.07623939575
Transglutaminase-M-V	0.45751719975
TSC1-R-C	0.27726886875
TTF1-R-V	-0.18446829975
Tuberin-R-E	0.30745684175
Tuberin_pT1462-R-V	-0.40679064725
VEGFR2-R-V	0.00898244675000004
EPPK1-M-E	0.23247576175
XBP1-G-C	-0.22084272775
XRCC1-R-E	0.01137654525
YAP-R-E	0.27322138575
YAP_pS127-R-E	0.71477056375
YB-1-R-V	-0.04965884375
YB-1_pS102-R-V	0.000918646250000044
A-Raf-R-V	-0.11771803275
ARID1A-R-C	-0.0497065662499999
B-Raf_pS445-R-V	-0.03014276575
Bcl2A1-R-V	0.25168908075
BRD4-R-V	0.15240187875
c-Abl-R-V	0.26227517625
Caspase-3-R-C	-0.08575249225
CD26-R-V	0.0218233472499999
Chk1_pS296-R-V	0.0452138012500001
COG3-R-V	0.09723300825
DUSP4-R-V	0.39408100075
ERCC5-R-C	0.13851919975
IGF1R_pY1135_Y1136-R-V	-0.07457855425
IRF-1-R-C	0.10179078425
Jak2-R-V	0.07968427225
p16_INK4a-R-V	0.20786361125
SHP-2_pY542-R-C	-0.18682829975
CDK1_pY15-R-C	-0.00209270024999991
