Sample REF	204D3EB2-7277-4814-8B64-1217B931B7FE
VEGFR2-R-V	-0.0153523047500001
EPPK1-M-E	1.11074074125
XBP1-G-C	0.28435827475
XRCC1-R-E	-0.21452493725
YAP-R-E	-0.22543754375
YAP_pS127-R-E	-0.19491284875
YB-1-R-V	0.14136522975
YB-1_pS102-R-V	-0.13482906825
A-Raf-R-V	-0.01616894125
ARID1A-R-C	0.18594188925
B-Raf_pS445-R-V	0.09424624575
Bcl2A1-R-V	0.09527919925
BRD4-R-V	0.22880750125
c-Abl-R-V	-0.10913453825
Caspase-3-R-C	0.0162528302499999
CD26-R-V	-0.17501789925
Chk1_pS296-R-V	-0.00377764625000016
COG3-R-V	0.08009292875
DUSP4-R-V	-0.25398124775
ERCC5-R-C	0.18733911325
IGF1R_pY1135_Y1136-R-V	0.0154091442499999
IRF-1-R-C	0.28034909275
Jak2-R-V	0.0374128497499999
p16_INK4a-R-V	-0.28516130025
SHP-2_pY542-R-C	-0.15088388725
CDK1_pY15-R-C	-0.20783500475
