Sample REF	901A14B4-4787-4564-B348-8EDC77BC83EF
Rictor-R-C	-0.44857528525
Rictor_pT1135-R-V	-0.08593962925
S6-R-E	0.34098967725
S6_pS235_S236-R-V	-0.88381738525
S6_pS240_S244-R-V	-0.63998606675
SCD-M-V	0.34985615125
SETD2-R-E	0.11467116825
SF2-M-V	0.48963170675
Shc_pY317-R-E	0.18954303575
Smac-M-E	0.66690971825
Smad1-R-V	0.30326507225
Smad3-R-V	0.18066484725
Smad4-M-V	0.0240841502500002
Snail-M-E	0.81087854225
Src-M-V	-0.48520779475
Src_pY416-R-C	-0.84952764475
Src_pY527-R-V	-1.37261397925
STAT3_pY705-R-V	-0.65373582625
STAT5-alpha-R-V	-1.26895460375
Stathmin-R-V	-0.0176589157499999
Syk-M-V	-0.67593584175
TAZ-R-V	0.09897079425
TFRC-R-V	-0.14637233475
TIGAR-R-V	0.55548675625
Transglutaminase-M-V	0.23473496775
TSC1-R-C	-0.19198200025
TTF1-R-V	0.17716967225
Tuberin-R-E	-0.0493044482500001
Tuberin_pT1462-R-V	-0.59754152225
VEGFR2-R-V	-0.38796548325
EPPK1-M-E	-0.20460543925
XBP1-G-C	-0.13309123875
XRCC1-R-E	0.20081264925
YAP-R-E	0.12715239075
YAP_pS127-R-E	0.15042578975
YB-1-R-V	-0.32076754675
YB-1_pS102-R-V	-0.38175521775
A-Raf-R-V	-0.12462162375
ARID1A-R-C	-0.00715173424999999
B-Raf_pS445-R-V	0.37361167525
Bcl2A1-R-V	0.18968642175
BRD4-R-V	0.16405597575
c-Abl-R-V	0.22956161225
Caspase-3-R-C	0.42656986975
CD26-R-V	0.0326638762499999
Chk1_pS296-R-V	-0.0066643587500001
COG3-R-V	0.07075332325
DUSP4-R-V	-0.27188620025
ERCC5-R-C	0.13149814475
IGF1R_pY1135_Y1136-R-V	0.01558722875
IRF-1-R-C	0.22350510025
Jak2-R-V	0.02614199525
p16_INK4a-R-V	0.48276749025
SHP-2_pY542-R-C	-0.25354965775
CDK1_pY15-R-C	0.01426865175
