Sample REF	3C02CCB3-D1C0-4EEE-B701-5016A214DF1D
HER2-M-V	0.0311241730000001
HER2_pY1248-R-C	-0.1196959795
HER3-R-V	1.522173158
HER3_pY1289-R-C	0.0163298805
Heregulin-R-V	0.5677239305
HSP70-R-C	-0.1750176145
IGFBP2-R-V	-0.55648443
INPP4B-R-V	-0.1663925815
IRS1-R-V	0.0851000665
JAB1-M-C	0.106411612
JNK_pT183_pY185-R-V	0.00937654150000003
JNK2-R-C	0.1159553475
Ku80-R-C	0.2092601005
Lck-R-V	-0.365880173
LKB1-M-E	0.0452140895
MAPK_pT202_Y204-R-V	-0.1887538405
MEK1-R-V	0.342692204
MEK1_pS217_S221-R-V	-0.0190376145
MIG-6-M-V	0.218251538
Mre11-R-C	0.0356646105000001
MSH2-M-V	0.332228813
MSH6-R-C	0.397304761
mTOR-R-V	-0.033065707
mTOR_pS2448-R-C	-0.109376554
MYH11-R-V	-1.6573136655
Myosin-IIa_pS1943-R-V	-1.7694419595
N-Cadherin-R-V	-0.241218345
N-Ras-M-V	0.130447681
NDRG1_pT346-R-V	-0.482448623
NF-kB-p65_pS536-R-C	-0.520278406
NF2-R-C	-0.067669346
Notch1-R-V	0.2976862615
P-Cadherin-R-C	-0.059760832
p21-R-V	-1.180258986
p27-R-V	-0.00841033599999999
p27_pT157-R-C	0.1444715865
p27_pT198-R-V	0.000706783000000016
p38_MAPK-R-V	-0.164767029
p38_pT180_Y182-R-V	-0.812196533
p53-R-E	0.0285964715000004
p62-LCK-ligand-M-C	-0.252282629
p70S6K-R-V	-0.054911136
p70S6K_pT389-R-V	-0.00330897949999995
p90RSK-R-C	0.3629748665
p90RSK_pT359_S363-R-C	0.0348108375000001
PAI-1-M-E	1.056269301
PARP_cleaved-M-E	0.2695067265
PARP1-R-V	0.811203387
Paxillin-R-C	-0.131603514
PCNA-M-C	0.182804367
PDCD4-R-C	-1.462975631
PDK1-R-V	0.073162917
PDK1_pS241-R-V	-0.1259101115
PEA15-R-V	-0.182433577
PEA15_pS116-R-V	0.0446509335
PI3K-p110-alpha-R-C	-0.0922372825
PI3K-p85-R-V	-0.7571527505
PKC-alpha-M-V	-0.416910798
PKC-alpha_pS657-R-C	-0.7685610335
PKC-delta_pS664-R-V	-0.0743457335
PKC-pan_BetaII_pS660-R-V	-0.9872832455
PR-R-V	0.015983079
PRAS40_pT246-R-V	-0.1066679025
PRDX1-R-V	0.0209816734999999
PREX1-R-E	-0.7867652335
PTEN-R-V	-0.406307951
Rab11-R-E	0.0387239095
Rab25-R-V	0.1195029205
Rad50-M-V	0.2766601935
Rad51-R-V	-0.158973941
Raptor-R-V	-0.154177066
Rb-M-E	-0.0286405665
Rb_pS807_S811-R-V	0.2063901685
RBM15-R-V	0.3149076215
Rictor-R-C	-0.295502795
Rictor_pT1135-R-V	0.161808544
S6-R-E	0.0515002115
S6_pS235_S236-R-V	-0.743424952
S6_pS240_S244-R-V	-0.3938366275
SCD-M-V	-0.1344835795
SETD2-R-E	0.2669574595
SF2-M-V	-0.168403621
Shc_pY317-R-E	0.0452657549999999
Smac-M-E	0.1635890735
Smad1-R-V	0.0696344245
Smad3-R-V	0.0135001015000001
Smad4-M-V	0.5238441025
Snail-M-E	0.4384002155
Src-M-V	-0.4213524225
Src_pY416-R-C	-0.0790209905
Src_pY527-R-V	-0.227788467
STAT3_pY705-R-V	-0.521046912
STAT5-alpha-R-V	-1.1740772905
Stathmin-R-V	0.2533105355
Syk-M-V	-0.4399531505
TAZ-R-V	0.1506590345
TFRC-R-V	0.1279770985
TIGAR-R-V	0.3466556665
Transglutaminase-M-V	0.048998456
TSC1-R-C	0.019841614
TTF1-R-V	-0.0384234995
Tuberin-R-E	-0.328526556
Tuberin_pT1462-R-V	-0.444421107
VEGFR2-R-V	0.184841432
EPPK1-M-E	2.006739565
XBP1-G-C	-0.4248762225
XRCC1-R-E	0.2170991715
YAP-R-E	0.256584941
YAP_pS127-R-E	-0.071316666
YB-1-R-V	0.1489426145
YB-1_pS102-R-V	-0.0558379765
A-Raf-R-V	0.0368815895
ARID1A-R-C	0.674946406
B-Raf_pS445-R-V	-0.4710484435
Bcl2A1-R-V	0.042706555
BRD4-R-V	0.656964942
c-Abl-R-V	-0.00984989250000001
Caspase-3-R-C	0.174726135
CD26-R-V	-0.00452611550000012
Chk1_pS296-R-V	-0.00477933250000004
COG3-R-V	0.0326659145
DUSP4-R-V	0.501091233
ERCC5-R-C	-0.0537858520000001
IGF1R_pY1135_Y1136-R-V	0.146395714
IRF-1-R-C	-0.1878441315
Jak2-R-V	-0.4051850205
p16_INK4a-R-V	0.8395144145
SHP-2_pY542-R-C	-0.2399565865
CDK1_pY15-R-C	0.226337541
