Sample REF	94D9E508-F429-4174-872A-8B228FFBB2BC
Notch1-R-V	0.0489701975
P-Cadherin-R-C	-0.018617342
p21-R-V	0.457181652
p27-R-V	0.129844285
p27_pT157-R-C	-0.0596432255
p27_pT198-R-V	-0.073577217
p38_MAPK-R-V	-0.118452006
p38_pT180_Y182-R-V	0.16137166
p53-R-E	0.1234530315
p62-LCK-ligand-M-C	-0.00145639099999995
p70S6K-R-V	-0.062994153
p70S6K_pT389-R-V	0.0346255315000001
p90RSK-R-C	0.0982203445000001
p90RSK_pT359_S363-R-C	-0.0803624854999999
PAI-1-M-E	0.432860576
PARP_cleaved-M-E	-0.1228396525
PARP1-R-V	-0.351244852
Paxillin-R-C	0.103023173
PCNA-M-C	-0.244220999
PDCD4-R-C	-0.343739609
PDK1-R-V	0.312972751
PDK1_pS241-R-V	0.4603556645
PEA15-R-V	0.418677888
PEA15_pS116-R-V	0.2818259055
PI3K-p110-alpha-R-C	0.0308149925
PI3K-p85-R-V	0.0863543505000001
PKC-alpha-M-V	0.467559757
PKC-alpha_pS657-R-C	0.5670487815
PKC-delta_pS664-R-V	0.1545485475
PKC-pan_BetaII_pS660-R-V	-0.0405903495
PR-R-V	-0.03957504
PRAS40_pT246-R-V	-0.1984871635
PRDX1-R-V	-0.0167923545
PREX1-R-E	-0.3640724635
PTEN-R-V	-0.090507458
Rab11-R-E	-0.0361233204999999
Rab25-R-V	-0.3406844115
Rad50-M-V	0.0986871625
Rad51-R-V	-0.00156974399999993
Raptor-R-V	0.0681187490000001
Rb-M-E	0.0672955475
Rb_pS807_S811-R-V	-0.1115623585
RBM15-R-V	-0.2413962955
Rictor-R-C	0.784994337
Rictor_pT1135-R-V	-0.094917848
S6-R-E	-0.4145729895
S6_pS235_S236-R-V	-0.289219419
S6_pS240_S244-R-V	-0.1558892755
SCD-M-V	0.0447738024999998
SETD2-R-E	-0.0809346685
SF2-M-V	0.304583103
Shc_pY317-R-E	-0.00618579200000002
Smac-M-E	0.6207095935
Smad1-R-V	-0.1321184195
Smad3-R-V	-0.1541949275
Smad4-M-V	0.0490872855000001
Snail-M-E	-0.0371786665
Src-M-V	0.5995494525
Src_pY416-R-C	-0.2185138795
Src_pY527-R-V	0.720276175
STAT3_pY705-R-V	-0.114777724
STAT5-alpha-R-V	-0.0193619385
Stathmin-R-V	-0.0726801574999999
Syk-M-V	-0.0268734125000002
TAZ-R-V	0.0983373405
TFRC-R-V	-0.2200276735
TIGAR-R-V	-0.2927752025
Transglutaminase-M-V	-0.15113261
TSC1-R-C	0.148368191
TTF1-R-V	0.7069188525
Tuberin-R-E	0.35507237
Tuberin_pT1462-R-V	0.380510813
VEGFR2-R-V	0.0232821240000002
EPPK1-M-E	0.452649773
XBP1-G-C	0.6638175145
XRCC1-R-E	-0.2013994265
YAP-R-E	-0.023374131
YAP_pS127-R-E	-0.0779610489999999
YB-1-R-V	0.2743475095
YB-1_pS102-R-V	-0.1765492555
A-Raf-R-V	-0.1663350035
ARID1A-R-C	-0.291526816
B-Raf_pS445-R-V	0.1442919955
Bcl2A1-R-V	0.00993523500000004
BRD4-R-V	-0.321343531
c-Abl-R-V	-0.2202482445
Caspase-3-R-C	-0.222913305
CD26-R-V	0.0635219204999999
Chk1_pS296-R-V	-0.0740542945
COG3-R-V	0.4520796905
DUSP4-R-V	0.0370025059999998
ERCC5-R-C	0.207332844
IGF1R_pY1135_Y1136-R-V	-0.034870717
IRF-1-R-C	-0.1158199965
Jak2-R-V	-0.1870260325
p16_INK4a-R-V	0.0602620305000002
SHP-2_pY542-R-C	-0.2225269255
CDK1_pY15-R-C	-0.382090556
