Sample REF	F48AED77-2093-4598-B869-77C8DF969F61
HER3-R-V	-0.11675656225
HER3_pY1289-R-C	0.10997080825
Heregulin-R-V	-0.09887665775
HSP70-R-C	-0.35731844175
IGFBP2-R-V	-0.39068719925
INPP4B-R-V	-0.16306312775
IRS1-R-V	0.03336249125
JAB1-M-C	0.0586429127500001
JNK_pT183_pY185-R-V	0.22987079125
JNK2-R-C	0.28056071025
Ku80-R-C	-0.21754923875
Lck-R-V	-0.28599619325
LKB1-M-E	-0.04391061675
MAPK_pT202_Y204-R-V	-0.26086855475
MEK1-R-V	-0.04180956825
MEK1_pS217_S221-R-V	-0.06970561675
MIG-6-M-V	-0.05994586325
Mre11-R-C	-0.09791906875
MSH2-M-V	0.09132596375
MSH6-R-C	0.0137755157500002
mTOR-R-V	-0.24947491125
mTOR_pS2448-R-C	0.0740751577500001
MYH11-R-V	-2.24530210075
Myosin-IIa_pS1943-R-V	0.26810365125
N-Cadherin-R-V	0.36564221575
N-Ras-M-V	-0.0862893612500002
NDRG1_pT346-R-V	0.24425415575
NF-kB-p65_pS536-R-C	0.44798864375
NF2-R-C	-0.25782609625
Notch1-R-V	-0.13775252875
P-Cadherin-R-C	0.02634117375
p21-R-V	-0.24106399825
p27-R-V	-0.24034716925
p27_pT157-R-C	0.04786273825
p27_pT198-R-V	-0.09434110725
p38_MAPK-R-V	0.13038424975
p38_pT180_Y182-R-V	0.33613717975
p53-R-E	-0.0209143247499999
p62-LCK-ligand-M-C	0.05575964175
p70S6K-R-V	-0.11541571625
p70S6K_pT389-R-V	-0.22407734875
p90RSK-R-C	0.03356541125
p90RSK_pT359_S363-R-C	-0.0317865747499999
PAI-1-M-E	-0.08704919925
PARP_cleaved-M-E	-0.22268809475
PARP1-R-V	-0.77959456225
Paxillin-R-C	0.50029670675
PCNA-M-C	0.28589299375
PDCD4-R-C	-0.64787484825
PDK1-R-V	0.30410296175
PDK1_pS241-R-V	0.52064651925
PEA15-R-V	0.20636234175
PEA15_pS116-R-V	-0.09793132775
PI3K-p110-alpha-R-C	-0.01328331875
PI3K-p85-R-V	0.0110501022500001
PKC-alpha-M-V	-0.20908825625
PKC-alpha_pS657-R-C	-0.25155135275
PKC-delta_pS664-R-V	0.43373237025
PKC-pan_BetaII_pS660-R-V	0.14973139625
PR-R-V	-0.01792598225
PRAS40_pT246-R-V	-0.00163484374999999
PRDX1-R-V	-0.27982326875
PREX1-R-E	0.76663233125
PTEN-R-V	-0.13225196525
Rab11-R-E	-0.00105366074999999
Rab25-R-V	0.96224982225
Rad50-M-V	0.12081797725
Rad51-R-V	-0.24125614125
Raptor-R-V	-0.18696425925
Rb-M-E	-0.15065066975
Rb_pS807_S811-R-V	0.50728429625
RBM15-R-V	0.0244237132500001
Rictor-R-C	-0.61715597425
Rictor_pT1135-R-V	-0.10854262125
S6-R-E	0.0246850212500001
S6_pS235_S236-R-V	0.58472593475
S6_pS240_S244-R-V	0.79650370525
SCD-M-V	0.0896226842499999
SETD2-R-E	-0.22103245075
SF2-M-V	-0.0371274882500001
Shc_pY317-R-E	0.16399759275
Smac-M-E	-0.11952033975
Smad1-R-V	-0.11037437575
Smad3-R-V	-0.13115861475
Smad4-M-V	0.09380751525
Snail-M-E	-0.22979658775
Src-M-V	0.39390398525
Src_pY416-R-C	-0.19452034375
Src_pY527-R-V	0.50560380675
STAT3_pY705-R-V	-0.52082374225
STAT5-alpha-R-V	-0.35238089575
Stathmin-R-V	-0.34558526575
Syk-M-V	-0.16774671575
TAZ-R-V	-0.22813316175
TFRC-R-V	0.12779547325
TIGAR-R-V	0.13334178225
Transglutaminase-M-V	0.00105366075
TSC1-R-C	-0.14097566625
TTF1-R-V	-0.13332796075
Tuberin-R-E	-0.00705221625000016
Tuberin_pT1462-R-V	0.25312776775
VEGFR2-R-V	0.38397917175
EPPK1-M-E	0.97725464775
XBP1-G-C	-0.27478714675
XRCC1-R-E	0.22310433425
YAP-R-E	0.38075788775
YAP_pS127-R-E	0.36824663675
YB-1-R-V	0.28843003225
YB-1_pS102-R-V	0.30233052425
A-Raf-R-V	-0.27904316575
ARID1A-R-C	0.20919013375
B-Raf_pS445-R-V	0.24372102125
Bcl2A1-R-V	-0.21970664725
BRD4-R-V	-0.36145323625
c-Abl-R-V	-0.17151551575
Caspase-3-R-C	-0.11822841325
CD26-R-V	0.32669610625
Chk1_pS296-R-V	-0.14389594975
COG3-R-V	0.34708004625
DUSP4-R-V	0.91012833075
ERCC5-R-C	-0.18544550925
IGF1R_pY1135_Y1136-R-V	-0.18964205725
IRF-1-R-C	-0.07331765975
Jak2-R-V	-0.02474125775
p16_INK4a-R-V	-0.00770114374999983
SHP-2_pY542-R-C	-0.0770201897500002
CDK1_pY15-R-C	0.08409824775
