Sample REF	A942E64E-C1DC-4D63-9CD8-0F1D98F01E4B
PEA15-R-V	-0.00875646699999996
PEA15_pS116-R-V	-0.0614661995
PI3K-p110-alpha-R-C	-0.0182536265
PI3K-p85-R-V	-0.2353672635
PKC-alpha-M-V	-0.324840536
PKC-alpha_pS657-R-C	-0.2950088065
PKC-delta_pS664-R-V	0.0638243715
PKC-pan_BetaII_pS660-R-V	-0.0727969935
PR-R-V	0.162045811
PRAS40_pT246-R-V	-0.1208006805
PRDX1-R-V	-0.8737122845
PREX1-R-E	-0.0226394375
PTEN-R-V	0.254344671
Rab11-R-E	0.1630561615
Rab25-R-V	-0.0351095605000001
Rad50-M-V	-0.1455623185
Rad51-R-V	0.294094022
Raptor-R-V	-0.028893536
Rb-M-E	0.1431455275
Rb_pS807_S811-R-V	-0.1283427535
RBM15-R-V	0.0242219555000001
Rictor-R-C	-0.349602519
Rictor_pT1135-R-V	0.259939331
S6-R-E	-0.1471116615
S6_pS235_S236-R-V	0.427807068
S6_pS240_S244-R-V	0.1054293955
SCD-M-V	-0.0396998185000002
SETD2-R-E	0.1636201825
SF2-M-V	-0.0723345330000001
Shc_pY317-R-E	-0.0526784570000002
Smac-M-E	-0.0655723215
Smad1-R-V	0.2393853825
Smad3-R-V	-0.1674867335
Smad4-M-V	-0.1412604665
Snail-M-E	-0.2048541245
Src-M-V	0.2017199675
Src_pY416-R-C	-0.5462372905
Src_pY527-R-V	0.227525389
STAT3_pY705-R-V	0.67704509
STAT5-alpha-R-V	-0.4672901915
Stathmin-R-V	0.3773359455
Syk-M-V	-0.1740419405
TAZ-R-V	0.3475906685
TFRC-R-V	-0.3485115185
TIGAR-R-V	-0.1427319115
Transglutaminase-M-V	0.139594307
TSC1-R-C	0.349336986
TTF1-R-V	0.0255846585000001
Tuberin-R-E	0.447655704
Tuberin_pT1462-R-V	-0.402063433
VEGFR2-R-V	0.200701912
EPPK1-M-E	-0.835370829
XBP1-G-C	-0.2044916295
XRCC1-R-E	0.0736981085
YAP-R-E	0.501680887
YAP_pS127-R-E	0.695711811
YB-1-R-V	-0.1133203765
YB-1_pS102-R-V	0.2577366395
A-Raf-R-V	-0.1338370175
ARID1A-R-C	0.371799957
B-Raf_pS445-R-V	-0.2957901035
Bcl2A1-R-V	0.357861433
BRD4-R-V	0.194720327
c-Abl-R-V	0.3075898895
Caspase-3-R-C	-0.277208637
CD26-R-V	-0.00558479850000013
Chk1_pS296-R-V	0.1122139945
COG3-R-V	-0.2189380565
DUSP4-R-V	0.282747613
ERCC5-R-C	-0.00202628200000007
IGF1R_pY1135_Y1136-R-V	0.0662770279999999
IRF-1-R-C	-0.0155321305
Jak2-R-V	-0.2935311785
p16_INK4a-R-V	0.5268379525
SHP-2_pY542-R-C	-0.0530221875000002
CDK1_pY15-R-C	0.021603311
