Sample REF	31F2E3DE-E05D-4581-BAD8-1FDF29576EF7
TAZ-R-V	0.2582699375
TFRC-R-V	0.2979137435
TIGAR-R-V	0.2339364465
Transglutaminase-M-V	0.155918729
TSC1-R-C	0.0854188449999999
TTF1-R-V	-0.0143427025
Tuberin-R-E	-0.0940078430000001
Tuberin_pT1462-R-V	-0.00623462099999988
VEGFR2-R-V	0.261631305
EPPK1-M-E	0.769531435
XBP1-G-C	0.0972990005000001
XRCC1-R-E	-0.0261171305
YAP-R-E	0.131212423
YAP_pS127-R-E	0.075927678
YB-1-R-V	-0.1699172505
YB-1_pS102-R-V	-0.0883316015
A-Raf-R-V	0.0877265485
ARID1A-R-C	-0.247757527
B-Raf_pS445-R-V	-0.0682626535
Bcl2A1-R-V	0.046460311
BRD4-R-V	-0.457819859
c-Abl-R-V	0.1083491335
Caspase-3-R-C	0.0782298359999998
CD26-R-V	0.1658610115
Chk1_pS296-R-V	-0.0441821835000001
COG3-R-V	-0.1347373335
DUSP4-R-V	0.349608434
ERCC5-R-C	-0.158811103
IGF1R_pY1135_Y1136-R-V	-0.112211608
IRF-1-R-C	-0.1881412855
Jak2-R-V	-0.2435714455
p16_INK4a-R-V	-0.0944490644999997
SHP-2_pY542-R-C	-0.1656503085
CDK1_pY15-R-C	-0.150344157
