Sample REF	8634C1DD-714F-48E4-9036-0F7AE5510B50
PDCD4-R-C	-1.02082715425
PDK1-R-V	-0.0190610922499999
PDK1_pS241-R-V	-0.0464600547499998
PEA15-R-V	0.0655223547500001
PEA15_pS116-R-V	0.54152442625
PI3K-p110-alpha-R-C	0.0437274402500002
PI3K-p85-R-V	-0.22061113375
PKC-alpha-M-V	-0.16693416825
PKC-alpha_pS657-R-C	-0.0217102407499998
PKC-delta_pS664-R-V	-0.0133159867499999
PKC-pan_BetaII_pS660-R-V	-0.14574017575
PR-R-V	0.21640074675
PRAS40_pT246-R-V	-0.21114659375
PRDX1-R-V	-0.79686808175
PREX1-R-E	-0.0823852877499998
PTEN-R-V	-0.20074321225
Rab11-R-E	0.23073541225
Rab25-R-V	0.90672344625
Rad50-M-V	0.00869800325000014
Rad51-R-V	0.74810495475
Raptor-R-V	0.30121638875
Rb-M-E	0.19648929625
Rb_pS807_S811-R-V	-0.12994583175
RBM15-R-V	-0.33376923375
Rictor-R-C	1.31644222675
Rictor_pT1135-R-V	0.29119817775
S6-R-E	-0.37595171875
S6_pS235_S236-R-V	-0.26059054425
S6_pS240_S244-R-V	-0.0272376197499998
SCD-M-V	-0.11395599775
SETD2-R-E	0.18323647025
SF2-M-V	-0.15570283225
Shc_pY317-R-E	-0.0344843982499999
Smac-M-E	-0.0968442347499999
Smad1-R-V	0.0163607572500002
Smad3-R-V	-0.16209227275
Smad4-M-V	0.0179251342500003
Snail-M-E	-0.27422478975
Src-M-V	0.13905720225
Src_pY416-R-C	-0.47478153975
Src_pY527-R-V	0.14442905075
STAT3_pY705-R-V	-0.34878102425
STAT5-alpha-R-V	-1.21109078975
Stathmin-R-V	0.20295882725
Syk-M-V	-1.01141286675
TAZ-R-V	0.41428976725
TFRC-R-V	-0.47463179075
TIGAR-R-V	-0.0824380657499998
Transglutaminase-M-V	-0.0768973682499998
TSC1-R-C	-0.0412783282499999
TTF1-R-V	0.21959868225
Tuberin-R-E	-0.31248815625
Tuberin_pT1462-R-V	-0.0919334132499997
VEGFR2-R-V	0.10791159375
EPPK1-M-E	0.63674330475
XBP1-G-C	1.20070218625
XRCC1-R-E	0.10885372925
YAP-R-E	0.43489896075
YAP_pS127-R-E	0.73795831475
YB-1-R-V	0.21758762425
YB-1_pS102-R-V	0.38126405625
A-Raf-R-V	-0.35482270975
ARID1A-R-C	-0.40055539525
B-Raf_pS445-R-V	-0.10356507775
Bcl2A1-R-V	0.41435887675
BRD4-R-V	-0.45371368125
c-Abl-R-V	-0.12915558375
Caspase-3-R-C	-0.19216881225
CD26-R-V	0.10756868925
Chk1_pS296-R-V	0.0551468152500001
COG3-R-V	-0.14315022875
DUSP4-R-V	0.93561369675
ERCC5-R-C	-0.53525938525
IGF1R_pY1135_Y1136-R-V	0.25391149275
IRF-1-R-C	-0.19861889975
Jak2-R-V	-0.33334739575
p16_INK4a-R-V	0.26463155125
SHP-2_pY542-R-C	0.00256259424999994
CDK1_pY15-R-C	0.0451726357500002
