Sample REF	A422BF56-B095-47D1-8D10-F99F9D68FC8A
ERCC1-M-V	0.0674772545
ERK2-R-E	-0.020588041
ETS-1-R-V	0.060720167
FASN-R-V	-0.0577708335
Fibronectin-R-V	1.1270347775
FoxM1-R-V	-0.6146374505
FOXO3a-R-C	0.12026965
FOXO3a_pS318_S321-R-C	0.267545964
G6PD-M-V	-0.1366944735
GAB2-R-V	-0.4276916
GAPDH-M-C	-0.289312633
GATA3-M-V	-0.00134201300000003
GSK3-alpha-beta-M-V	-0.1068161615
GSK3-alpha-beta_pS21_S9-R-V	-0.0488911765
GSK3_pS9-R-V	0.0290714975
HER2-M-V	0.541973856
HER2_pY1248-R-C	0.1006489715
HER3-R-V	-0.032909791
HER3_pY1289-R-C	0.1781993975
Heregulin-R-V	0.1753676605
HSP70-R-C	1.0773721935
IGFBP2-R-V	0.593461494
INPP4B-R-V	-0.0154097944999999
IRS1-R-V	0.2657633555
JAB1-M-C	-0.0910279670000002
JNK_pT183_pY185-R-V	0.2538972175
JNK2-R-C	0.2035529035
Ku80-R-C	-0.7237882805
Lck-R-V	-0.179426739
LKB1-M-E	0.0772788945
MAPK_pT202_Y204-R-V	0.6584281475
MEK1-R-V	0.0413061550000001
MEK1_pS217_S221-R-V	0.1518181795
MIG-6-M-V	-0.132204317
Mre11-R-C	0.2346598895
MSH2-M-V	-0.643645747
MSH6-R-C	-0.998616361
mTOR-R-V	-0.274310807
mTOR_pS2448-R-C	0.0518923440000001
MYH11-R-V	2.5768284175
Myosin-IIa_pS1943-R-V	0.2211812235
N-Cadherin-R-V	0.307233563
N-Ras-M-V	-0.0121251050000001
NDRG1_pT346-R-V	-0.137780749
NF-kB-p65_pS536-R-C	0.163843697
NF2-R-C	-0.296329013
Notch1-R-V	0.2796097665
P-Cadherin-R-C	-0.132715181
p21-R-V	0.0965033730000001
p27-R-V	0.0162885850000001
p27_pT157-R-C	-0.0732740924999999
p27_pT198-R-V	0.010630657
p38_MAPK-R-V	0.213126297
p38_pT180_Y182-R-V	0.322132563
p53-R-E	0.00314649650000021
p62-LCK-ligand-M-C	-0.088522243
p70S6K-R-V	-0.078620978
p70S6K_pT389-R-V	0.0771189755000001
p90RSK-R-C	-0.1073235025
p90RSK_pT359_S363-R-C	0.2926924555
PAI-1-M-E	0.0297082380000001
PARP_cleaved-M-E	-0.2167325465
PARP1-R-V	-0.469626576
Paxillin-R-C	-0.071767604
PCNA-M-C	-0.3018129
PDCD4-R-C	-0.469309761
PDK1-R-V	-0.018690603
PDK1_pS241-R-V	0.0555224605000001
PEA15-R-V	0.145785733
PEA15_pS116-R-V	0.0475856835
PI3K-p110-alpha-R-C	0.0382689855
PI3K-p85-R-V	-0.0952601264999999
PKC-alpha-M-V	0.514075147
PKC-alpha_pS657-R-C	0.6018424225
PKC-delta_pS664-R-V	0.0249725955
PKC-pan_BetaII_pS660-R-V	0.5000870965
PR-R-V	0.06785147
PRAS40_pT246-R-V	-0.0608522365
PRDX1-R-V	-0.9187938345
PREX1-R-E	-0.2082409435
PTEN-R-V	0.0848370370000001
Rab11-R-E	0.0314883455000001
Rab25-R-V	0.8121918655
Rad50-M-V	-0.1234457375
Rad51-R-V	0.382902364
Raptor-R-V	-0.167184209
Rb-M-E	0.0283850895
Rb_pS807_S811-R-V	-0.0261640165
RBM15-R-V	-0.2768991395
Rictor-R-C	2.313139657
Rictor_pT1135-R-V	0.021519374
S6-R-E	-0.5429664575
S6_pS235_S236-R-V	-0.0554887920000001
S6_pS240_S244-R-V	0.0338505155
SCD-M-V	-0.1628393075
SETD2-R-E	0.0364222815
SF2-M-V	-0.066420257
Shc_pY317-R-E	0.0709291440000001
Smac-M-E	-0.2640381995
Smad1-R-V	-0.0384145214999999
Smad3-R-V	-0.0411789404999999
Smad4-M-V	-0.0367443995
Snail-M-E	-0.2967442765
Src-M-V	0.1785620005
Src_pY416-R-C	-0.1354909885
Src_pY527-R-V	0.225751853
STAT3_pY705-R-V	0.064510066
STAT5-alpha-R-V	-0.2440206985
Stathmin-R-V	0.0412354955000001
Syk-M-V	-0.3780443695
TAZ-R-V	0.2924907745
TFRC-R-V	-0.3702691665
TIGAR-R-V	-0.2161343405
Transglutaminase-M-V	0.122973952
TSC1-R-C	0.101311478
TTF1-R-V	-0.0376742414999999
Tuberin-R-E	-0.144800457
Tuberin_pT1462-R-V	-0.112285667
VEGFR2-R-V	0.276570742
EPPK1-M-E	0.0598610439999999
XBP1-G-C	0.2999221825
XRCC1-R-E	-0.0881677055
YAP-R-E	0.305836675
YAP_pS127-R-E	0.584400639
YB-1-R-V	0.1295681795
YB-1_pS102-R-V	0.1428762965
A-Raf-R-V	-0.0288570235
ARID1A-R-C	-0.245318001
B-Raf_pS445-R-V	-0.2851830815
Bcl2A1-R-V	0.425539652
BRD4-R-V	-0.0296817499999998
c-Abl-R-V	-0.1078582925
Caspase-3-R-C	-0.22541261
CD26-R-V	0.5305477305
Chk1_pS296-R-V	-0.0535918184999999
COG3-R-V	-0.1373442615
DUSP4-R-V	0.109817533
ERCC5-R-C	-0.120071325
IGF1R_pY1135_Y1136-R-V	0.1325178
IRF-1-R-C	0.0623274835
Jak2-R-V	-0.1237571285
p16_INK4a-R-V	-0.2282983465
SHP-2_pY542-R-C	0.1347177425
CDK1_pY15-R-C	-0.156154532
