Sample REF	EA91F496-49D0-447D-809F-C51B60EE1D33
Chk1_pS345-R-C	-0.0279368659999998
Chk2-M-E	0.242654266
Chk2_pT68-R-C	-0.158557522
cIAP-R-V	0.0182883080000002
Claudin-7-R-V	0.4204997085
Collagen_VI-R-V	-0.0798699189999998
Cyclin_B1-R-V	0.7022641625
Cyclin_D1-R-V	-0.0194717089999998
Cyclin_E1-M-V	-0.0197902604999998
Cyclin_E2-R-C	-0.0658287204999998
DJ-1-R-E	0.117785931
Dvl3-R-V	-0.00991295599999986
E-Cadherin-R-V	1.3615749265
eEF2-R-C	-0.0838687989999998
eEF2K-R-V	-0.3030043545
EGFR-R-V	0.0454200395000002
EGFR_pY1068-R-C	0.101121463
EGFR_pY1173-R-V	-0.0397611839999998
eIF4E-R-V	-0.0461414374999998
eIF4G-R-C	0.35334966
ER-alpha-R-V	0.131295137
ER-alpha_pS118-R-V	0.0983198495000002
ERCC1-M-V	0.0321478215000002
ERK2-R-E	0.250431284
ETS-1-R-V	-0.129032847
FASN-R-V	-0.0165552064999998
Fibronectin-R-V	0.1061489005
FoxM1-R-V	0.5365669985
FOXO3a-R-C	0.0303934620000001
FOXO3a_pS318_S321-R-C	0.00775579200000026
G6PD-M-V	-0.0440059654999998
GAB2-R-V	-0.462996022
GAPDH-M-C	-0.312714962
GATA3-M-V	-0.0415282559999999
GSK3-alpha-beta-M-V	-0.0903184714999998
GSK3-alpha-beta_pS21_S9-R-V	0.0286781925000002
GSK3_pS9-R-V	0.00821790550000018
HER2-M-V	0.0792276140000002
HER2_pY1248-R-C	0.1739985985
HER3-R-V	0.0883487990000001
HER3_pY1289-R-C	0.3100072315
Heregulin-R-V	0.3784785615
HSP70-R-C	0.0002856415000001
IGFBP2-R-V	-0.122196516
INPP4B-R-V	0.0719208035000003
IRS1-R-V	-0.1734175695
JAB1-M-C	0.00298203900000016
JNK_pT183_pY185-R-V	-0.0549345094999998
JNK2-R-C	0.2141033345
Ku80-R-C	-0.00483649249999973
Lck-R-V	-0.150908232
LKB1-M-E	-0.1014486565
MAPK_pT202_Y204-R-V	0.0565226045
MEK1-R-V	-0.168609731
MEK1_pS217_S221-R-V	-0.1462252905
MIG-6-M-V	0.182939473
Mre11-R-C	-0.0550063124999998
MSH2-M-V	-0.0637789309999998
MSH6-R-C	-0.0485812059999995
mTOR-R-V	0.128427654
mTOR_pS2448-R-C	0.189607329
MYH11-R-V	0.9110533355
Myosin-IIa_pS1943-R-V	0.0852317525000001
N-Cadherin-R-V	-0.0137173269999998
N-Ras-M-V	-0.179964009
NDRG1_pT346-R-V	0.0211692690000003
NF-kB-p65_pS536-R-C	0.222303827
NF2-R-C	0.232073928
Notch1-R-V	0.1054320355
P-Cadherin-R-C	-0.135649551
p21-R-V	-0.254093442
p27-R-V	0.0901869640000001
p27_pT157-R-C	-0.0570558984999998
p27_pT198-R-V	-0.0891222989999998
p38_MAPK-R-V	-0.0540591189999999
p38_pT180_Y182-R-V	0.32181921
p53-R-E	0.1398488265
p62-LCK-ligand-M-C	-0.139260353
p70S6K-R-V	0.220953748
p70S6K_pT389-R-V	-0.0582125854999997
p90RSK-R-C	0.1492775265
p90RSK_pT359_S363-R-C	-0.0781112014999997
PAI-1-M-E	1.027750865
PARP_cleaved-M-E	-0.1554333625
PARP1-R-V	0.525272175
Paxillin-R-C	0.278169748
PCNA-M-C	-0.221305549
PDCD4-R-C	0.177913339
PDK1-R-V	-0.0725175329999999
PDK1_pS241-R-V	0.0105748265000002
PEA15-R-V	0.236750924
PEA15_pS116-R-V	0.0156118355000002
PI3K-p110-alpha-R-C	0.0650544175000002
PI3K-p85-R-V	0.1439120315
PKC-alpha-M-V	0.402005325
PKC-alpha_pS657-R-C	0.3102395435
PKC-delta_pS664-R-V	0.1085014395
PKC-pan_BetaII_pS660-R-V	-0.0106140094999999
PR-R-V	-0.127820696
PRAS40_pT246-R-V	0.0723996995000002
PRDX1-R-V	0.0224707105000001
PREX1-R-E	-0.3395405165
PTEN-R-V	-0.0265401379999998
Rab11-R-E	-0.1231237015
Rab25-R-V	-0.5868681455
Rad50-M-V	-0.1312732255
Rad51-R-V	-0.140572063
Raptor-R-V	-0.166511375
Rb-M-E	-0.2247317835
Rb_pS807_S811-R-V	0.1094751345
RBM15-R-V	0.1009839215
Rictor-R-C	0.273321319
Rictor_pT1135-R-V	-0.325952033
S6-R-E	0.2320707655
S6_pS235_S236-R-V	-0.034804998
S6_pS240_S244-R-V	-0.0286284804999999
SCD-M-V	-0.0590985755
SETD2-R-E	-0.1163927805
SF2-M-V	-0.146537679
Shc_pY317-R-E	-0.0112770729999998
Smac-M-E	-0.4127076965
Smad1-R-V	0.2483186125
Smad3-R-V	0.0793537975000003
Smad4-M-V	0.1006574975
Snail-M-E	-0.0424044044999999
Src-M-V	-0.1512137275
Src_pY416-R-C	0.1604618845
Src_pY527-R-V	0.153068817
STAT3_pY705-R-V	-0.00999850699999982
STAT5-alpha-R-V	0.2807260695
Stathmin-R-V	-0.0889898124999998
Syk-M-V	0.1905098935
TAZ-R-V	0.0407424685000002
TFRC-R-V	-0.2635082625
TIGAR-R-V	-0.00331556849999987
Transglutaminase-M-V	-0.249113819
TSC1-R-C	0.165210883
TTF1-R-V	-0.2614406695
Tuberin-R-E	0.330932964
Tuberin_pT1462-R-V	0.0875764750000002
VEGFR2-R-V	0.142449796
EPPK1-M-E	1.153350441
XBP1-G-C	0.0599319585000002
XRCC1-R-E	-0.1751325015
YAP-R-E	-0.0229619039999998
YAP_pS127-R-E	0.0796837700000002
YB-1-R-V	0.0340657675000002
YB-1_pS102-R-V	-0.0230412984999998
A-Raf-R-V	-0.1393610465
ARID1A-R-C	0.0819200250000002
B-Raf_pS445-R-V	-0.0112916434999998
Bcl2A1-R-V	-0.153504851
BRD4-R-V	0.00437685600000015
c-Abl-R-V	-0.0409190924999999
Caspase-3-R-C	0.0264246870000001
CD26-R-V	-0.0839060974999999
Chk1_pS296-R-V	-0.0480341574999997
COG3-R-V	0.00603230650000014
DUSP4-R-V	0.672959867
ERCC5-R-C	0.0773726550000001
IGF1R_pY1135_Y1136-R-V	-0.0373487599999999
IRF-1-R-C	-0.0471982344999998
Jak2-R-V	-0.00362962749999982
p16_INK4a-R-V	-0.0281469994999997
SHP-2_pY542-R-C	-0.0002856415000001
CDK1_pY15-R-C	0.156903246
