Sample REF	1B514421-2B6B-4E45-B655-EEE9E38439EA
Myosin-IIa_pS1943-R-V	0.05519565325
N-Cadherin-R-V	-0.0135621902500001
N-Ras-M-V	-0.04049877125
NDRG1_pT346-R-V	-0.11102181125
NF-kB-p65_pS536-R-C	0.20671582475
NF2-R-C	-0.00339558025000011
Notch1-R-V	0.03680877425
P-Cadherin-R-C	-0.17745940525
p21-R-V	-0.30603904025
p27-R-V	-0.12244823025
p27_pT157-R-C	-0.11242426075
p27_pT198-R-V	-0.10370067325
p38_MAPK-R-V	0.26185051875
p38_pT180_Y182-R-V	0.38438594575
p53-R-E	-0.10650504575
p62-LCK-ligand-M-C	-0.09264698225
p70S6K-R-V	0.0873134937499999
p70S6K_pT389-R-V	-0.0297615107499999
p90RSK-R-C	0.27679939325
p90RSK_pT359_S363-R-C	0.10617743825
PAI-1-M-E	-0.0480924792500001
PARP_cleaved-M-E	-0.18544799475
PARP1-R-V	-0.27367838325
Paxillin-R-C	-0.04373574725
PCNA-M-C	-0.05524441525
PDCD4-R-C	-0.50132571225
PDK1-R-V	0.12321869875
PDK1_pS241-R-V	0.0208384542499999
PEA15-R-V	0.02944197775
PEA15_pS116-R-V	0.08236783325
PI3K-p110-alpha-R-C	-0.04291694675
PI3K-p85-R-V	-0.16342581675
PKC-alpha-M-V	0.0313174097499999
PKC-alpha_pS657-R-C	-0.0316302847500001
PKC-delta_pS664-R-V	0.13790713125
PKC-pan_BetaII_pS660-R-V	0.19189058425
PR-R-V	0.03777720375
PRAS40_pT246-R-V	0.01754737025
PRDX1-R-V	-0.63979943575
PREX1-R-E	-0.42097890075
PTEN-R-V	0.06597746675
Rab11-R-E	0.02085594825
Rab25-R-V	0.03418734425
Rad50-M-V	0.27774216325
Rad51-R-V	0.08993022875
Raptor-R-V	-0.07257812225
Rb-M-E	0.0302504652499999
Rb_pS807_S811-R-V	0.23276333425
RBM15-R-V	-0.23034962875
Rictor-R-C	-0.56884909125
Rictor_pT1135-R-V	0.16146192075
S6-R-E	-0.28654338375
S6_pS235_S236-R-V	0.52803494175
S6_pS240_S244-R-V	0.45495445225
SCD-M-V	-0.16028755875
SETD2-R-E	0.05484561425
SF2-M-V	-0.12699118025
Shc_pY317-R-E	-0.10033643025
Smac-M-E	-0.16696141375
Smad1-R-V	0.17795201325
Smad3-R-V	0.01336780825
Smad4-M-V	0.47389904625
Snail-M-E	-0.28630382275
Src-M-V	0.20958649725
Src_pY416-R-C	0.18715971025
Src_pY527-R-V	0.80125805175
STAT3_pY705-R-V	-0.14938508825
STAT5-alpha-R-V	-0.34684606275
Stathmin-R-V	0.13878725225
Syk-M-V	0.16173600525
TAZ-R-V	0.05335701425
TFRC-R-V	-0.11855916175
TIGAR-R-V	-0.34230376775
Transglutaminase-M-V	0.10183871675
TSC1-R-C	0.12478864375
TTF1-R-V	-0.11856243675
Tuberin-R-E	0.22057509775
Tuberin_pT1462-R-V	0.56748673775
VEGFR2-R-V	-0.0860031502500001
EPPK1-M-E	-0.09946303925
XBP1-G-C	-0.37938342175
XRCC1-R-E	0.0236997862499999
YAP-R-E	0.36002710075
YAP_pS127-R-E	0.72715646975
YB-1-R-V	0.08734556225
YB-1_pS102-R-V	0.20148299625
A-Raf-R-V	0.04950070125
ARID1A-R-C	0.52026065075
B-Raf_pS445-R-V	0.13367108125
Bcl2A1-R-V	0.11571888175
BRD4-R-V	0.27867058575
c-Abl-R-V	0.12343657925
Caspase-3-R-C	-0.13566129425
CD26-R-V	0.00489912924999988
Chk1_pS296-R-V	-0.06397509475
COG3-R-V	-0.08797742475
DUSP4-R-V	0.17214347275
ERCC5-R-C	-0.0633323912500001
IGF1R_pY1135_Y1136-R-V	0.09302524775
IRF-1-R-C	-0.08041939175
Jak2-R-V	-0.15334668175
p16_INK4a-R-V	0.87656349725
SHP-2_pY542-R-C	0.19994605525
CDK1_pY15-R-C	0.30136219775
