Sample REF	E1DED44D-5E9B-483A-88CB-4E2B45C9F5EF
PDK1-R-V	0.0835304309999999
PDK1_pS241-R-V	0.1167151805
PEA15-R-V	0.108560369
PEA15_pS116-R-V	0.0531612905
PI3K-p110-alpha-R-C	-0.1443171055
PI3K-p85-R-V	0.5755077985
PKC-alpha-M-V	0.220465174
PKC-alpha_pS657-R-C	0.2035428285
PKC-delta_pS664-R-V	0.1599111065
PKC-pan_BetaII_pS660-R-V	0.8342456025
PR-R-V	-0.0552309990000001
PRAS40_pT246-R-V	0.0368384175
PRDX1-R-V	0.2546431965
PREX1-R-E	0.5514352845
PTEN-R-V	0.145283206
Rab11-R-E	-0.0234939535000001
Rab25-R-V	0.5268609045
Rad50-M-V	0.0811854974999999
Rad51-R-V	-0.054747121
Raptor-R-V	0.046537347
Rb-M-E	-0.1016538625
Rb_pS807_S811-R-V	-0.0545330035
RBM15-R-V	-0.0934717094999999
Rictor-R-C	-0.139487367
Rictor_pT1135-R-V	-0.224517919
S6-R-E	0.0286051334999998
S6_pS235_S236-R-V	0.422424945
S6_pS240_S244-R-V	0.1490290745
SCD-M-V	0.0943616314999997
SETD2-R-E	-0.0705310975
SF2-M-V	-0.00940442000000008
Shc_pY317-R-E	0.0984394699999999
Smac-M-E	-0.1260475015
Smad1-R-V	-0.1258930935
Smad3-R-V	0.1297533345
Smad4-M-V	-0.0338290915
Snail-M-E	-0.1767126975
Src-M-V	0.5360104675
Src_pY416-R-C	1.1183667575
Src_pY527-R-V	0.112718798
STAT3_pY705-R-V	0.451388233
STAT5-alpha-R-V	1.0674852255
Stathmin-R-V	-0.3019458775
Syk-M-V	0.9217490355
TAZ-R-V	-0.1603180965
TFRC-R-V	1.3150398935
TIGAR-R-V	-0.0392290255000001
Transglutaminase-M-V	-0.139635657
TSC1-R-C	-0.093098254
TTF1-R-V	-0.0489576645
Tuberin-R-E	0.083512543
Tuberin_pT1462-R-V	0.086907884
VEGFR2-R-V	-0.585906553
EPPK1-M-E	-0.272575691
XBP1-G-C	0.1644729345
XRCC1-R-E	-0.1861691655
YAP-R-E	-0.229114135
YAP_pS127-R-E	-0.576784651
YB-1-R-V	-0.0311130015000001
YB-1_pS102-R-V	-0.0218678675
A-Raf-R-V	0.0515538685
ARID1A-R-C	0.100488745
B-Raf_pS445-R-V	-0.0736107265
Bcl2A1-R-V	-0.046946964
BRD4-R-V	-0.169578764
c-Abl-R-V	-0.1140624725
Caspase-3-R-C	-0.0921037250000002
CD26-R-V	-0.0113220595000001
Chk1_pS296-R-V	0.0392638075
COG3-R-V	0.0130583045
DUSP4-R-V	-0.0512584930000005
ERCC5-R-C	0.129976296
IGF1R_pY1135_Y1136-R-V	-0.12046914
IRF-1-R-C	0.2631885225
Jak2-R-V	0.3845974425
p16_INK4a-R-V	0.000306528500000014
SHP-2_pY542-R-C	0.0877340454999999
CDK1_pY15-R-C	-0.093319197
