Sample REF	A89D1D4C-FC4C-4F1B-938D-42B816E00978
Ku80-R-C	-0.59385507925
Lck-R-V	-0.35848822875
LKB1-M-E	0.29012544975
MAPK_pT202_Y204-R-V	-0.0871072792499998
MEK1-R-V	0.16021689325
MEK1_pS217_S221-R-V	0.20044585775
MIG-6-M-V	0.24822441125
Mre11-R-C	0.16297684375
MSH2-M-V	-0.45753066275
MSH6-R-C	-0.61520421375
mTOR-R-V	-0.42129606675
mTOR_pS2448-R-C	-0.28288908075
MYH11-R-V	-0.55668311525
Myosin-IIa_pS1943-R-V	0.26958867375
N-Cadherin-R-V	0.0646165912500002
N-Ras-M-V	0.13332736325
NDRG1_pT346-R-V	-0.75656502475
NF-kB-p65_pS536-R-C	-0.12264772375
NF2-R-C	-0.16749414075
Notch1-R-V	0.14873533375
P-Cadherin-R-C	-0.21656390275
p21-R-V	-0.79423450275
p27-R-V	-0.12940188775
p27_pT157-R-C	-0.0166351142499999
p27_pT198-R-V	-0.12697286675
p38_MAPK-R-V	0.23718075325
p38_pT180_Y182-R-V	-0.62925975275
p53-R-E	-0.13447934025
p62-LCK-ligand-M-C	0.0732772332500002
p70S6K-R-V	-0.0649773307499999
p70S6K_pT389-R-V	-0.10929174925
p90RSK-R-C	0.0332074627500002
p90RSK_pT359_S363-R-C	0.16325030175
PAI-1-M-E	1.65826191625
PARP_cleaved-M-E	0.0382246287499999
PARP1-R-V	-0.75688057975
Paxillin-R-C	0.22690345525
PCNA-M-C	-0.0594514437499999
PDCD4-R-C	-1.46552178075
PDK1-R-V	-0.0135443377499999
PDK1_pS241-R-V	-0.15592507525
PEA15-R-V	-0.0607313467499999
PEA15_pS116-R-V	0.0244490057500002
PI3K-p110-alpha-R-C	-0.0231259062499998
PI3K-p85-R-V	-0.20615763225
PKC-alpha-M-V	0.0108846892500002
PKC-alpha_pS657-R-C	-0.18105803625
PKC-delta_pS664-R-V	-0.27429360625
PKC-pan_BetaII_pS660-R-V	-0.38205699225
PR-R-V	0.12804554625
PRAS40_pT246-R-V	-0.0155254632499998
PRDX1-R-V	-0.46848290625
PREX1-R-E	-0.51053256725
PTEN-R-V	-0.0581750817499997
Rab11-R-E	0.17069723075
Rab25-R-V	0.26485992275
Rad50-M-V	-0.0174003082499998
Rad51-R-V	0.30135376925
Raptor-R-V	-0.23845568675
Rb-M-E	0.22163899275
Rb_pS807_S811-R-V	-0.33961014625
RBM15-R-V	-0.29461160525
Rictor-R-C	-0.46242191375
Rictor_pT1135-R-V	0.36349203525
S6-R-E	-0.41532518225
S6_pS235_S236-R-V	0.00553272024999996
S6_pS240_S244-R-V	0.10497925575
SCD-M-V	-0.08435359125
SETD2-R-E	0.42263401775
SF2-M-V	-0.27608607075
Shc_pY317-R-E	-0.18479517575
Smac-M-E	-0.42528002725
Smad1-R-V	0.0956474997500001
Smad3-R-V	-0.0214028232499999
Smad4-M-V	0.16140012275
Snail-M-E	-0.0175113252499999
Src-M-V	-0.0584533502499999
Src_pY416-R-C	-0.32902505925
Src_pY527-R-V	-0.12182124775
STAT3_pY705-R-V	0.54321359525
STAT5-alpha-R-V	-0.37458454525
Stathmin-R-V	0.23872685175
Syk-M-V	-0.15806165525
TAZ-R-V	0.43347585875
TFRC-R-V	-0.22795771425
TIGAR-R-V	-0.19373636825
Transglutaminase-M-V	0.16321590225
TSC1-R-C	0.22543093925
TTF1-R-V	0.0792953897500002
Tuberin-R-E	-0.00931481574999993
Tuberin_pT1462-R-V	0.00172138025000024
VEGFR2-R-V	0.16981273825
EPPK1-M-E	-0.51093629375
XBP1-G-C	-0.13957842925
XRCC1-R-E	-0.0785569242499998
YAP-R-E	0.29105966625
YAP_pS127-R-E	0.36654400725
YB-1-R-V	0.33261436475
YB-1_pS102-R-V	0.29893926375
A-Raf-R-V	-0.11368885625
ARID1A-R-C	0.0610861542500002
B-Raf_pS445-R-V	-0.23949022025
Bcl2A1-R-V	0.32638741525
BRD4-R-V	0.17350713725
c-Abl-R-V	0.0327468467500002
Caspase-3-R-C	0.23597689225
CD26-R-V	-0.000679254250000039
Chk1_pS296-R-V	0.0642502177500002
COG3-R-V	-0.12197820125
DUSP4-R-V	0.66886228725
ERCC5-R-C	-0.20584979575
IGF1R_pY1135_Y1136-R-V	0.12783181925
IRF-1-R-C	-0.18431145325
Jak2-R-V	-0.42656966025
p16_INK4a-R-V	0.85776212975
SHP-2_pY542-R-C	0.0805088977500001
CDK1_pY15-R-C	0.0461592012500002
