Sample REF	DC523F7A-3708-4615-B3FE-2CDBFC76AC3C
PKC-pan_BetaII_pS660-R-V	-0.0849770025
PR-R-V	0.060704098
PRAS40_pT246-R-V	0.0770082185
PRDX1-R-V	-0.9470012005
PREX1-R-E	-0.3510898045
PTEN-R-V	0.241815999
Rab11-R-E	0.1865255165
Rab25-R-V	-0.4503798105
Rad50-M-V	-0.2502427045
Rad51-R-V	0.495170247
Raptor-R-V	-0.18718349
Rb-M-E	0.0837299005
Rb_pS807_S811-R-V	1.1123732015
RBM15-R-V	-0.2505286455
Rictor-R-C	-0.37597087
Rictor_pT1135-R-V	0.00134996700000001
S6-R-E	-0.3160064905
S6_pS235_S236-R-V	-0.141297273
S6_pS240_S244-R-V	0.0686104805
SCD-M-V	0.0494184534999997
SETD2-R-E	0.0726110875
SF2-M-V	-0.0149871290000001
Shc_pY317-R-E	-0.000827198000000084
Smac-M-E	-0.0635487565
Smad1-R-V	0.1015707505
Smad3-R-V	0.0174158865
Smad4-M-V	-0.1117745555
Snail-M-E	-0.3028750685
Src-M-V	0.0921815515
Src_pY416-R-C	0.0951021455000001
Src_pY527-R-V	0.384521586
STAT3_pY705-R-V	-0.562806945
STAT5-alpha-R-V	-1.0458712235
Stathmin-R-V	0.2650268255
Syk-M-V	-0.7226910315
TAZ-R-V	0.1546511205
TFRC-R-V	-0.2338723375
TIGAR-R-V	0.1910939555
Transglutaminase-M-V	-0.106214685
TSC1-R-C	-0.080864696
TTF1-R-V	0.0295540745
Tuberin-R-E	0.075064507
Tuberin_pT1462-R-V	0.430242867
VEGFR2-R-V	-0.170887027
EPPK1-M-E	0.639179067
XBP1-G-C	-0.0202836694999999
XRCC1-R-E	-0.1312112195
YAP-R-E	0.282463011
YAP_pS127-R-E	0.797115435
YB-1-R-V	-0.0326981185
YB-1_pS102-R-V	0.2668306395
A-Raf-R-V	-0.0901025635
ARID1A-R-C	0.428607425
B-Raf_pS445-R-V	0.0833382675
Bcl2A1-R-V	0.363589541
BRD4-R-V	-0.127924567
c-Abl-R-V	-0.0748928665
Caspase-3-R-C	0.038340228
CD26-R-V	-0.1016436995
Chk1_pS296-R-V	0.1118889795
COG3-R-V	-0.0605944075
DUSP4-R-V	0.269741793
ERCC5-R-C	-0.0990272600000001
IGF1R_pY1135_Y1136-R-V	0.196587586
IRF-1-R-C	-0.1913258585
Jak2-R-V	-0.0710018435
p16_INK4a-R-V	-0.2573747565
SHP-2_pY542-R-C	0.2612584695
CDK1_pY15-R-C	0.296751713
