Sample REF	E0852126-F345-486D-A274-03A3D0F2941E
DJ-1-R-E	0.0069542185
Dvl3-R-V	0.1247982665
E-Cadherin-R-V	0.0696347649999999
eEF2-R-C	-0.3813034455
eEF2K-R-V	-0.27090907
EGFR-R-V	0.07757455
EGFR_pY1068-R-C	0.0193620134999999
EGFR_pY1173-R-V	-0.00882743750000003
eIF4E-R-V	0.007439743
eIF4G-R-C	0.0262548645
ER-alpha-R-V	0.0400123165000001
ER-alpha_pS118-R-V	-0.195086062
ERCC1-M-V	0.041614975
ERK2-R-E	-0.0757864115
ETS-1-R-V	0.1054258655
FASN-R-V	0.208063304
Fibronectin-R-V	0.323064402
FoxM1-R-V	0.047913492
FOXO3a-R-C	0.0916147375
FOXO3a_pS318_S321-R-C	-0.0559992905
G6PD-M-V	-0.085301227
GAB2-R-V	-0.2110580345
GAPDH-M-C	-0.5298771845
GATA3-M-V	-0.0132858895000001
GSK3-alpha-beta-M-V	-0.251488416
GSK3-alpha-beta_pS21_S9-R-V	-0.158024774
GSK3_pS9-R-V	0.063370389
HER2-M-V	0.4780597355
HER2_pY1248-R-C	-0.126743416
HER3-R-V	-0.1710119675
HER3_pY1289-R-C	-0.00700556400000002
Heregulin-R-V	-0.045701444
HSP70-R-C	-0.0424648370000001
IGFBP2-R-V	0.2042039115
INPP4B-R-V	0.000166491000000102
IRS1-R-V	0.200873762
JAB1-M-C	-0.0417158774999999
JNK_pT183_pY185-R-V	0.029203639
JNK2-R-C	-0.000166491000000046
Ku80-R-C	-0.679146297
Lck-R-V	0.00548056050000001
LKB1-M-E	-0.046423198
MAPK_pT202_Y204-R-V	-0.142166614
MEK1-R-V	0.0750847545
MEK1_pS217_S221-R-V	0.024913222
MIG-6-M-V	0.0684668285
Mre11-R-C	-0.036838151
MSH2-M-V	-0.4579486235
MSH6-R-C	-1.1141403085
mTOR-R-V	-0.3703728625
mTOR_pS2448-R-C	-0.0373446645
MYH11-R-V	1.421613656
Myosin-IIa_pS1943-R-V	0.413979386
N-Cadherin-R-V	-0.1121375595
N-Ras-M-V	0.1590187665
NDRG1_pT346-R-V	-0.0585662195000001
NF-kB-p65_pS536-R-C	-0.0613433784999999
NF2-R-C	-0.1980436335
Notch1-R-V	0.102289715
P-Cadherin-R-C	-0.1201734935
p21-R-V	-0.2625762505
p27-R-V	0.0491407535
p27_pT157-R-C	-0.04903901
p27_pT198-R-V	-0.0345519135
p38_MAPK-R-V	0.1498240115
p38_pT180_Y182-R-V	-0.2133312265
p53-R-E	-0.068155169
p62-LCK-ligand-M-C	0.0976820565
p70S6K-R-V	-0.0537063945
p70S6K_pT389-R-V	-0.114993215
p90RSK-R-C	0.053418318
p90RSK_pT359_S363-R-C	0.0913869650000001
PAI-1-M-E	0.1467414145
PARP_cleaved-M-E	0.16489118
PARP1-R-V	-0.7929811375
Paxillin-R-C	-0.2559763065
PCNA-M-C	-0.0867349325000001
PDCD4-R-C	-0.8546237505
PDK1-R-V	0.0780835384999999
PDK1_pS241-R-V	0.14434019
PEA15-R-V	-0.2654247885
PEA15_pS116-R-V	-0.122149097
PI3K-p110-alpha-R-C	0.000730054000000036
PI3K-p85-R-V	-0.0449614909999999
PKC-alpha-M-V	0.3028896425
PKC-alpha_pS657-R-C	0.286798429
PKC-delta_pS664-R-V	-0.236815675
PKC-pan_BetaII_pS660-R-V	0.03817752
PR-R-V	0.1174090295
PRAS40_pT246-R-V	0.00438568
PRDX1-R-V	-0.762355366
PREX1-R-E	-0.381167196
PTEN-R-V	0.1074492555
Rab11-R-E	-0.082060679
Rab25-R-V	0.113225449
Rad50-M-V	-0.143294644
Rad51-R-V	0.1199178255
Raptor-R-V	-0.1994208325
Rb-M-E	0.326826413
Rb_pS807_S811-R-V	0.209750176
RBM15-R-V	-0.284433622
Rictor-R-C	0.3455170175
Rictor_pT1135-R-V	0.1325674415
S6-R-E	-0.606141833
S6_pS235_S236-R-V	0.6887990045
S6_pS240_S244-R-V	0.719138908
SCD-M-V	0.00781498899999966
SETD2-R-E	0.337182454
SF2-M-V	0.00531317050000002
Shc_pY317-R-E	0.0261981094999999
Smac-M-E	-0.412636159
Smad1-R-V	-0.079833777
Smad3-R-V	-0.214922806
Smad4-M-V	-0.082407753
Snail-M-E	0.185496353
Src-M-V	0.135949734
Src_pY416-R-C	0.900437664
Src_pY527-R-V	0.4235176905
STAT3_pY705-R-V	0.2555986705
STAT5-alpha-R-V	-0.174528237
Stathmin-R-V	-0.013684555
Syk-M-V	-0.251805858
TAZ-R-V	0.084849564
TFRC-R-V	0.109428934
TIGAR-R-V	-0.0599262580000001
Transglutaminase-M-V	0.2633396145
TSC1-R-C	0.0214303244999999
TTF1-R-V	-0.079267099
Tuberin-R-E	-0.1144152105
Tuberin_pT1462-R-V	0.2603600385
VEGFR2-R-V	-0.4778789325
EPPK1-M-E	-0.00620899350000004
XBP1-G-C	-0.068119295
XRCC1-R-E	-0.039013832
YAP-R-E	0.2133537635
YAP_pS127-R-E	0.3879794875
YB-1-R-V	0.064832754
YB-1_pS102-R-V	0.122927528
A-Raf-R-V	0.099838757
ARID1A-R-C	0.0085856325
B-Raf_pS445-R-V	0.093353959
Bcl2A1-R-V	0.3915803915
BRD4-R-V	-0.2779871385
c-Abl-R-V	-0.046168545
Caspase-3-R-C	0.00784386249999991
CD26-R-V	0.135294292
Chk1_pS296-R-V	-0.073353043
COG3-R-V	0.14926402
DUSP4-R-V	0.4933818665
ERCC5-R-C	0.1157149145
IGF1R_pY1135_Y1136-R-V	0.0332764484999999
IRF-1-R-C	0.116614288
Jak2-R-V	0.053385072
p16_INK4a-R-V	-0.277356283
SHP-2_pY542-R-C	0.115137892
CDK1_pY15-R-C	0.0675279145
