Sample REF	EB785D40-546B-4667-B0E2-144C2966E0FE
PEA15_pS116-R-V	0.172981505
PI3K-p110-alpha-R-C	-0.06639788
PI3K-p85-R-V	0.382608127
PKC-alpha-M-V	0.3439694265
PKC-alpha_pS657-R-C	0.293795047
PKC-delta_pS664-R-V	0.143193948
PKC-pan_BetaII_pS660-R-V	0.560806291
PR-R-V	-0.00288248150000001
PRAS40_pT246-R-V	-0.168063557
PRDX1-R-V	0.144963728
PREX1-R-E	0.199883923
PTEN-R-V	0.1470477545
Rab11-R-E	-0.054391487
Rab25-R-V	-0.018962265
Rad50-M-V	-0.109763413
Rad51-R-V	0.2694772015
Raptor-R-V	0.2110463165
Rb-M-E	-0.132094163
Rb_pS807_S811-R-V	-0.156604334
RBM15-R-V	-0.226318174
Rictor-R-C	0.0745053605
Rictor_pT1135-R-V	-0.000839519500000052
S6-R-E	-0.0419506260000001
S6_pS235_S236-R-V	0.5257947685
S6_pS240_S244-R-V	0.0780490239999999
SCD-M-V	0.0312151969999998
SETD2-R-E	-0.125294202
SF2-M-V	-0.0459528555000001
Shc_pY317-R-E	-0.0599423495000001
Smac-M-E	-0.201558144
Smad1-R-V	-0.076174541
Smad3-R-V	0.035878626
Smad4-M-V	-0.103972503
Snail-M-E	0.104679752
Src-M-V	0.262645215
Src_pY416-R-C	0.481627038
Src_pY527-R-V	-0.0265337104999999
STAT3_pY705-R-V	0.2703258795
STAT5-alpha-R-V	0.764627317
Stathmin-R-V	0.00462905700000005
Syk-M-V	0.757814765
TAZ-R-V	-0.090867034
TFRC-R-V	0.541459083
TIGAR-R-V	0.00533515899999998
Transglutaminase-M-V	-0.1607086025
TSC1-R-C	0.0695515815
TTF1-R-V	-0.044968086
Tuberin-R-E	-0.0274064515
Tuberin_pT1462-R-V	-0.0404278964999999
VEGFR2-R-V	-0.2826540905
EPPK1-M-E	-0.6111815385
XBP1-G-C	0.0640168470000001
XRCC1-R-E	-0.224134472
YAP-R-E	-0.1346898585
YAP_pS127-R-E	-0.0379270615
YB-1-R-V	0.015492688
YB-1_pS102-R-V	-0.102290829
A-Raf-R-V	-0.057395698
ARID1A-R-C	0.0330865185
B-Raf_pS445-R-V	-0.041586736
Bcl2A1-R-V	0.2197144085
BRD4-R-V	-0.0760372344999999
c-Abl-R-V	-0.01181787
Caspase-3-R-C	-0.2170041995
CD26-R-V	-0.0132765990000001
Chk1_pS296-R-V	0.099176843
COG3-R-V	-0.04563819
DUSP4-R-V	-0.2411724395
ERCC5-R-C	0.1372999895
IGF1R_pY1135_Y1136-R-V	0.0172239654999999
IRF-1-R-C	0.278332471
Jak2-R-V	0.14109763
p16_INK4a-R-V	0.141364053
SHP-2_pY542-R-C	-0.0185738410000001
CDK1_pY15-R-C	-0.1941463715
