Sample REF	F2E9C319-ED7A-4DC8-A577-09537318EC83
Claudin-7-R-V	-0.2483825105
Collagen_VI-R-V	-0.0907222370000002
Cyclin_B1-R-V	0.0709342254999997
Cyclin_D1-R-V	0.0805208289999997
Cyclin_E1-M-V	-0.2638646665
Cyclin_E2-R-C	0.2977788885
DJ-1-R-E	0.0149411959999998
Dvl3-R-V	-0.0903229140000002
E-Cadherin-R-V	-1.6624296005
eEF2-R-C	0.00417773499999974
eEF2K-R-V	-0.1483365035
EGFR-R-V	-0.1915456865
EGFR_pY1068-R-C	0.102559852
EGFR_pY1173-R-V	0.00595265999999978
eIF4E-R-V	0.1687614555
eIF4G-R-C	0.00563990899999978
ER-alpha-R-V	0.00861492199999986
ER-alpha_pS118-R-V	0.1401389975
ERCC1-M-V	-0.1934489495
ERK2-R-E	0.0321709149999997
ETS-1-R-V	-0.104483659
FASN-R-V	-0.3745381095
Fibronectin-R-V	-0.3519049975
FoxM1-R-V	-0.4566700705
FOXO3a-R-C	0.179216827
FOXO3a_pS318_S321-R-C	0.14736308
G6PD-M-V	0.2569265735
GAB2-R-V	1.554689222
GAPDH-M-C	-0.229616938
GATA3-M-V	-0.0168625260000002
GSK3-alpha-beta-M-V	-0.00657537450000018
GSK3-alpha-beta_pS21_S9-R-V	-0.1305021335
GSK3_pS9-R-V	0.0175808084999998
HER2-M-V	-0.305232289
HER2_pY1248-R-C	-0.2539533415
HER3-R-V	-0.0527566860000002
HER3_pY1289-R-C	-0.1402559595
Heregulin-R-V	-0.0485882655000002
HSP70-R-C	-0.0481819645000003
IGFBP2-R-V	1.108150087
INPP4B-R-V	0.1212837575
IRS1-R-V	-0.1701814665
JAB1-M-C	0.105931669
JNK_pT183_pY185-R-V	-0.0567325185000002
JNK2-R-C	0.2260646125
Ku80-R-C	0.5646740105
Lck-R-V	0.159791456
LKB1-M-E	0.0449140264999998
MAPK_pT202_Y204-R-V	-0.1184951955
MEK1-R-V	0.357354987
MEK1_pS217_S221-R-V	-0.0589260925000002
MIG-6-M-V	0.0278681079999998
Mre11-R-C	0.0272300924999999
MSH2-M-V	-0.0305932850000002
MSH6-R-C	-0.280575465
mTOR-R-V	0.131109627
mTOR_pS2448-R-C	0.14188921
MYH11-R-V	-1.8074775425
Myosin-IIa_pS1943-R-V	-0.1305397835
N-Cadherin-R-V	0.0455363079999998
N-Ras-M-V	0.120831373
NDRG1_pT346-R-V	1.210346687
NF-kB-p65_pS536-R-C	0.28906903
NF2-R-C	-0.134773433
Notch1-R-V	-0.0213882995000002
P-Cadherin-R-C	0.0915942989999998
p21-R-V	-0.133733805
p27-R-V	-0.0852630680000002
p27_pT157-R-C	0.0527908254999997
p27_pT198-R-V	-0.103344288
p38_MAPK-R-V	0.0956286169999996
p38_pT180_Y182-R-V	-0.0953281180000002
p53-R-E	0.00110995050000012
p62-LCK-ligand-M-C	0.441158204
p70S6K-R-V	-0.175755241
p70S6K_pT389-R-V	0.2005229515
p90RSK-R-C	-0.0630778565000001
p90RSK_pT359_S363-R-C	-0.1435362825
PAI-1-M-E	0.485994867
PARP_cleaved-M-E	0.1706944795
PARP1-R-V	0.591302049
Paxillin-R-C	-0.0439369420000004
PCNA-M-C	-0.113172205
PDCD4-R-C	0.402038192
PDK1-R-V	0.0299029309999998
PDK1_pS241-R-V	0.00163482349999983
PEA15-R-V	0.0389543069999997
PEA15_pS116-R-V	-0.1598807775
PI3K-p110-alpha-R-C	-0.1662250285
PI3K-p85-R-V	0.1593986365
PKC-alpha-M-V	-0.168436769
PKC-alpha_pS657-R-C	-0.2118613495
PKC-delta_pS664-R-V	0.1822490705
PKC-pan_BetaII_pS660-R-V	0.5727583955
PR-R-V	-0.0420252770000002
PRAS40_pT246-R-V	-0.0335423815000002
PRDX1-R-V	0.3369532955
PREX1-R-E	0.4767655225
PTEN-R-V	0.131677574
Rab11-R-E	0.00878589749999986
Rab25-R-V	0.3967200415
Rad50-M-V	0.4483317735
Rad51-R-V	-0.325524402
Raptor-R-V	0.0662589459999999
Rb-M-E	-0.1096893645
Rb_pS807_S811-R-V	-0.0527944165000002
RBM15-R-V	0.1671004665
Rictor-R-C	-0.1248881
Rictor_pT1135-R-V	-0.0183793940000003
S6-R-E	-0.1147190795
S6_pS235_S236-R-V	-0.183421407
S6_pS240_S244-R-V	-0.4138130445
SCD-M-V	0.0914592914999996
SETD2-R-E	-0.1041055125
SF2-M-V	0.308950627
Shc_pY317-R-E	-0.0708195520000003
Smac-M-E	0.6000199885
Smad1-R-V	-0.0219775345000002
Smad3-R-V	0.1322864715
Smad4-M-V	0.0208789604999998
Snail-M-E	-0.1320297495
Src-M-V	0.6905850645
Src_pY416-R-C	0.2722814025
Src_pY527-R-V	-0.723767018
STAT3_pY705-R-V	0.0209970859999998
STAT5-alpha-R-V	0.9951141415
Stathmin-R-V	-0.1275260045
Syk-M-V	0.860360336499999
TAZ-R-V	-0.1698859605
TFRC-R-V	1.1932504675
TIGAR-R-V	-0.1396228755
Transglutaminase-M-V	0.0128513739999998
TSC1-R-C	-0.149383084
TTF1-R-V	-0.0399439585000002
Tuberin-R-E	0.190738546
Tuberin_pT1462-R-V	0.0390557999999998
VEGFR2-R-V	-0.276015142
EPPK1-M-E	-0.682407971
XBP1-G-C	-0.2835154135
XRCC1-R-E	-0.2958535945
YAP-R-E	-0.12740925
YAP_pS127-R-E	-0.349412212
YB-1-R-V	0.2457241555
YB-1_pS102-R-V	-0.1374301275
A-Raf-R-V	0.0110626244999998
ARID1A-R-C	0.22233363
B-Raf_pS445-R-V	0.0196332034999998
Bcl2A1-R-V	-0.203553834
BRD4-R-V	0.376520568
c-Abl-R-V	0.0879666924999998
Caspase-3-R-C	0.126439689
CD26-R-V	-0.0501649115000003
Chk1_pS296-R-V	-0.1326145665
COG3-R-V	0.0552856114999998
DUSP4-R-V	-0.266653451000001
ERCC5-R-C	-0.211176157
IGF1R_pY1135_Y1136-R-V	-0.0398445610000003
IRF-1-R-C	0.1823727985
Jak2-R-V	0.4877688695
p16_INK4a-R-V	-0.2779877175
SHP-2_pY542-R-C	-0.0303705355000003
CDK1_pY15-R-C	-0.189795762
