Sample REF	5650CC13-03C1-4684-9F17-0C4E8CD71D48
MEK1-R-V	0.2332675445
MEK1_pS217_S221-R-V	-0.140078104
MIG-6-M-V	-0.0423700505
Mre11-R-C	-0.148740407
MSH2-M-V	0.4510144665
MSH6-R-C	0.6205107075
mTOR-R-V	0.3360893035
mTOR_pS2448-R-C	0.1889423735
MYH11-R-V	-1.081462805
Myosin-IIa_pS1943-R-V	-0.085507211
N-Cadherin-R-V	-0.0967692005
N-Ras-M-V	0.1998417475
NDRG1_pT346-R-V	1.4229164605
NF-kB-p65_pS536-R-C	-0.0274923625
NF2-R-C	0.4231243425
Notch1-R-V	-0.057512482
P-Cadherin-R-C	-0.1038639525
p21-R-V	0.0782145765000001
p27-R-V	-0.0944390605
p27_pT157-R-C	-0.0187973400000001
p27_pT198-R-V	0.1205800705
p38_MAPK-R-V	0.0462573695
p38_pT180_Y182-R-V	-0.2141249005
p53-R-E	0.0576101410000002
p62-LCK-ligand-M-C	0.2403537045
p70S6K-R-V	0.2303520555
p70S6K_pT389-R-V	-0.131893662
p90RSK-R-C	-0.066646355
p90RSK_pT359_S363-R-C	-0.192563455
PAI-1-M-E	-0.1901532755
PARP_cleaved-M-E	-0.0277281780000001
PARP1-R-V	0.00389031749999993
Paxillin-R-C	-0.1722584645
PCNA-M-C	0.0466153155
PDCD4-R-C	1.1398536365
PDK1-R-V	-0.0937213625
PDK1_pS241-R-V	-0.204581705
PEA15-R-V	-0.0833682035
PEA15_pS116-R-V	-0.038160901
PI3K-p110-alpha-R-C	0.295490988
PI3K-p85-R-V	-0.036126953
PKC-alpha-M-V	-0.2772828225
PKC-alpha_pS657-R-C	-0.331815813
PKC-delta_pS664-R-V	0.259343898
PKC-pan_BetaII_pS660-R-V	0.197018611
PR-R-V	-0.0396470155
PRAS40_pT246-R-V	-0.012013264
PRDX1-R-V	0.475704777
PREX1-R-E	0.233772285
PTEN-R-V	-0.0773681155
Rab11-R-E	-0.124255833
Rab25-R-V	0.12151729
Rad50-M-V	0.051711816
Rad51-R-V	-0.2058025565
Raptor-R-V	0.2039370005
Rb-M-E	-0.128032219
Rb_pS807_S811-R-V	0.071320888
RBM15-R-V	0.166634077
Rictor-R-C	-0.1226092975
Rictor_pT1135-R-V	0.0471608935
S6-R-E	0.208467894
S6_pS235_S236-R-V	-0.5387294605
S6_pS240_S244-R-V	-0.453242013
SCD-M-V	0.402545623
SETD2-R-E	-0.132925459
SF2-M-V	0.2654812505
Shc_pY317-R-E	0.0890849904999999
Smac-M-E	0.184117422
Smad1-R-V	0.076243789
Smad3-R-V	0.166050435
Smad4-M-V	0.143998233
Snail-M-E	0.278133819
Src-M-V	0.21198319
Src_pY416-R-C	0.725903074
Src_pY527-R-V	-0.3555917865
STAT3_pY705-R-V	-0.0631430375
STAT5-alpha-R-V	0.377763168
Stathmin-R-V	-0.076831794
Syk-M-V	0.637140446
TAZ-R-V	-0.142047016
TFRC-R-V	1.075030723
TIGAR-R-V	0.126838679
Transglutaminase-M-V	0.0610413615
TSC1-R-C	-0.2274738335
TTF1-R-V	-0.000776002999999997
Tuberin-R-E	0.0188761024999999
Tuberin_pT1462-R-V	-0.1086228845
VEGFR2-R-V	0.2539486985
EPPK1-M-E	-0.1145531795
XBP1-G-C	-0.0124693759999999
XRCC1-R-E	0.213637287
YAP-R-E	-0.2280147775
YAP_pS127-R-E	-0.8027654925
YB-1-R-V	0.080600195
YB-1_pS102-R-V	-0.030246652
A-Raf-R-V	-0.02110202
ARID1A-R-C	0.2140280585
B-Raf_pS445-R-V	-0.237381357
Bcl2A1-R-V	-0.1579919675
BRD4-R-V	0.0723923415
c-Abl-R-V	0.298426261
Caspase-3-R-C	0.0867398734999999
CD26-R-V	-0.0103784790000001
Chk1_pS296-R-V	0.005367606
COG3-R-V	-0.069010834
DUSP4-R-V	0.0290863974999997
ERCC5-R-C	0.1738884295
IGF1R_pY1135_Y1136-R-V	-0.0315447485000001
IRF-1-R-C	0.157725962
Jak2-R-V	0.226024094
p16_INK4a-R-V	0.283103021
SHP-2_pY542-R-C	-0.0788215860000002
CDK1_pY15-R-C	-0.0462357165
