Sample REF	53C6F046-4D16-4928-9976-BB0A580B41B3
PARP_cleaved-M-E	0.0825174342499999
PARP1-R-V	0.59071713275
Paxillin-R-C	0.11359403475
PCNA-M-C	0.05621437175
PDCD4-R-C	0.67409278475
PDK1-R-V	-0.10986451125
PDK1_pS241-R-V	-0.12295163875
PEA15-R-V	-0.17363170725
PEA15_pS116-R-V	-0.13946318375
PI3K-p110-alpha-R-C	-0.15672482275
PI3K-p85-R-V	0.0134397502500001
PKC-alpha-M-V	-0.30624160925
PKC-alpha_pS657-R-C	-0.47563568775
PKC-delta_pS664-R-V	0.14252276725
PKC-pan_BetaII_pS660-R-V	0.04697313125
PR-R-V	0.00132586674999999
PRAS40_pT246-R-V	0.15398126025
PRDX1-R-V	0.10510198125
PREX1-R-E	0.35406472125
PTEN-R-V	0.13111810875
Rab11-R-E	0.0984058572500001
Rab25-R-V	0.36376698225
Rad50-M-V	0.10976889425
Rad51-R-V	-0.26999923425
Raptor-R-V	0.0546438507500001
Rb-M-E	-0.13837932675
Rb_pS807_S811-R-V	0.30660958925
RBM15-R-V	0.23081779625
Rictor-R-C	-0.36305042825
Rictor_pT1135-R-V	0.02602694175
S6-R-E	0.36377353125
S6_pS235_S236-R-V	-0.52518099525
S6_pS240_S244-R-V	-0.40914041075
SCD-M-V	0.0648420992499998
SETD2-R-E	-0.07182395575
SF2-M-V	0.23522376075
Shc_pY317-R-E	-0.19245293925
Smac-M-E	0.39208887625
Smad1-R-V	0.07236644525
Smad3-R-V	0.27527695425
Smad4-M-V	0.03679932225
Snail-M-E	0.19741737425
Src-M-V	0.11558799925
Src_pY416-R-C	-0.14676585175
Src_pY527-R-V	-0.84533367525
STAT3_pY705-R-V	-0.07090352525
STAT5-alpha-R-V	0.27642687125
Stathmin-R-V	0.12482067425
Syk-M-V	0.33573058025
TAZ-R-V	-0.04527073375
TFRC-R-V	0.46283399625
TIGAR-R-V	-0.01889839375
Transglutaminase-M-V	0.00372500175000001
TSC1-R-C	-0.10830450725
TTF1-R-V	0.21218643125
Tuberin-R-E	-0.0736536132500001
Tuberin_pT1462-R-V	-0.39120386625
VEGFR2-R-V	-0.17808506925
EPPK1-M-E	-0.0680412072500001
XBP1-G-C	-0.30655469075
XRCC1-R-E	0.01603657625
YAP-R-E	-0.00772210525
YAP_pS127-R-E	-0.23478494125
YB-1-R-V	0.03337652925
YB-1_pS102-R-V	-0.05820251575
A-Raf-R-V	0.02756430525
ARID1A-R-C	0.65124014875
B-Raf_pS445-R-V	-0.06211587275
Bcl2A1-R-V	-0.07902100525
BRD4-R-V	0.56469963975
c-Abl-R-V	0.15869391225
Caspase-3-R-C	0.0457977047499999
CD26-R-V	-0.20373077775
Chk1_pS296-R-V	0.0285528682499999
COG3-R-V	-0.07145797075
DUSP4-R-V	-0.30046651825
ERCC5-R-C	-0.18405333625
IGF1R_pY1135_Y1136-R-V	-0.06174412425
IRF-1-R-C	-0.00105602574999999
Jak2-R-V	0.10569561225
p16_INK4a-R-V	-0.45065611475
SHP-2_pY542-R-C	-0.0827595477500001
CDK1_pY15-R-C	-0.06276408425
