Sample REF	AD53D376-9E55-4FCC-B8B9-2A9D1FE73750
Cyclin_E1-M-V	-0.0809552875
Cyclin_E2-R-C	-0.2559598035
DJ-1-R-E	-0.307826503
Dvl3-R-V	0.353599234
E-Cadherin-R-V	0.6045986975
eEF2-R-C	-0.457332028
eEF2K-R-V	-0.1766117205
EGFR-R-V	0.2840540955
EGFR_pY1068-R-C	-0.0638249750000001
EGFR_pY1173-R-V	0.058116846
eIF4E-R-V	-0.1173556355
eIF4G-R-C	0.133995703
ER-alpha-R-V	-0.022859018
ER-alpha_pS118-R-V	-0.2388891255
ERCC1-M-V	0.2092111065
ERK2-R-E	-0.134845488
ETS-1-R-V	0.0412895649999999
FASN-R-V	-0.0553050945
Fibronectin-R-V	0.4524521995
FoxM1-R-V	0.3955968505
FOXO3a-R-C	0.037290454
FOXO3a_pS318_S321-R-C	0.181510965
G6PD-M-V	-0.2272093165
GAB2-R-V	0.104869127
GAPDH-M-C	0.419491801
GATA3-M-V	-0.0921767320000001
GSK3-alpha-beta-M-V	-0.0379998355
GSK3-alpha-beta_pS21_S9-R-V	-0.00532298750000001
GSK3_pS9-R-V	0.2667849205
HER2-M-V	0.344004799
HER2_pY1248-R-C	0.00562019749999998
HER3-R-V	-0.06773263
HER3_pY1289-R-C	0.0590093704999999
Heregulin-R-V	-0.0324325515
HSP70-R-C	0.3788691105
IGFBP2-R-V	0.414826791
INPP4B-R-V	-0.1616250805
IRS1-R-V	0.1690149015
JAB1-M-C	-0.075417986
JNK_pT183_pY185-R-V	-0.0381261195
JNK2-R-C	0.2322907365
Ku80-R-C	-0.4928876965
Lck-R-V	-0.180082117
LKB1-M-E	0.00629059049999997
MAPK_pT202_Y204-R-V	-0.1919723155
MEK1-R-V	0.302815829
MEK1_pS217_S221-R-V	0.0650543245
MIG-6-M-V	-0.00634783200000003
Mre11-R-C	0.0183169545
MSH2-M-V	-0.234066483
MSH6-R-C	-0.0463946329999997
mTOR-R-V	-0.188172658
mTOR_pS2448-R-C	-0.0332616999999998
MYH11-R-V	3.3274529275
Myosin-IIa_pS1943-R-V	-1.3718216765
N-Cadherin-R-V	-0.142980324
N-Ras-M-V	-0.0326892400000002
NDRG1_pT346-R-V	-0.147829528
NF-kB-p65_pS536-R-C	0.323841248
NF2-R-C	-0.0531216560000001
Notch1-R-V	0.000579065499999976
P-Cadherin-R-C	-0.014836348
p21-R-V	0.110536598
p27-R-V	0.26696595
p27_pT157-R-C	-0.0339690605000001
p27_pT198-R-V	-0.060518309
p38_MAPK-R-V	0.297097086
p38_pT180_Y182-R-V	0.231167487
p53-R-E	-0.0054945165000001
p62-LCK-ligand-M-C	-0.206451982
p70S6K-R-V	0.23739866
p70S6K_pT389-R-V	-0.1403921575
p90RSK-R-C	0.1441883285
p90RSK_pT359_S363-R-C	-0.1124249635
PAI-1-M-E	0.0715011759999999
PARP_cleaved-M-E	-0.1126454815
PARP1-R-V	-0.045956142
Paxillin-R-C	0.191799908
PCNA-M-C	-0.090236611
PDCD4-R-C	-1.0230451
PDK1-R-V	0.251629391
PDK1_pS241-R-V	0.3110900425
PEA15-R-V	0.0521616739999999
PEA15_pS116-R-V	0.1610824825
PI3K-p110-alpha-R-C	0.1733892365
PI3K-p85-R-V	-0.000579065499999976
PKC-alpha-M-V	1.153308741
PKC-alpha_pS657-R-C	1.1666115195
PKC-delta_pS664-R-V	0.0422116004999999
PKC-pan_BetaII_pS660-R-V	0.0661290145
PR-R-V	0.192983001
PRAS40_pT246-R-V	0.0503114705
PRDX1-R-V	-0.6907502945
PREX1-R-E	-0.6330004255
PTEN-R-V	-0.020426586
Rab11-R-E	-0.0079626075
Rab25-R-V	0.0983597165
Rad50-M-V	-0.1974207945
Rad51-R-V	-0.188863697
Raptor-R-V	-0.0539782569999999
Rb-M-E	0.1673313905
Rb_pS807_S811-R-V	-0.1550887795
RBM15-R-V	-0.0392397135
Rictor-R-C	2.242914018
Rictor_pT1135-R-V	0.33152645
S6-R-E	-0.2730538035
S6_pS235_S236-R-V	-0.580417774
S6_pS240_S244-R-V	-0.0678263155000002
SCD-M-V	-0.1973994035
SETD2-R-E	-0.1117138395
SF2-M-V	-0.117342971
Shc_pY317-R-E	0.0533868869999999
Smac-M-E	0.1345599395
Smad1-R-V	0.0825726765
Smad3-R-V	0.1371637965
Smad4-M-V	-0.0511852174999999
Snail-M-E	-0.1371233615
Src-M-V	0.0477792985
Src_pY416-R-C	-0.0154181214999999
Src_pY527-R-V	0.649366178
STAT3_pY705-R-V	0.00917085599999998
STAT5-alpha-R-V	-0.1048024015
Stathmin-R-V	0.0395320655
Syk-M-V	0.1042607315
TAZ-R-V	0.2079519135
TFRC-R-V	-0.1444103295
TIGAR-R-V	-0.1538702175
Transglutaminase-M-V	0.313783452
TSC1-R-C	0.448237346
TTF1-R-V	-0.0663144185
Tuberin-R-E	0.049760658
Tuberin_pT1462-R-V	0.281127536
VEGFR2-R-V	0.195727666
EPPK1-M-E	0.748453222
XBP1-G-C	0.0520213445000001
XRCC1-R-E	-0.00129399750000003
YAP-R-E	0.250048556
YAP_pS127-R-E	0.908256708
YB-1-R-V	0.2611013405
YB-1_pS102-R-V	0.2047077525
A-Raf-R-V	-0.2445281395
ARID1A-R-C	0.32332131
B-Raf_pS445-R-V	-0.0929657515
Bcl2A1-R-V	0.0971089979999999
BRD4-R-V	0.320708148
c-Abl-R-V	0.0478521285
Caspase-3-R-C	-0.249879946
CD26-R-V	0.2017102265
Chk1_pS296-R-V	-0.0413653035
COG3-R-V	-0.1170717785
DUSP4-R-V	-0.0867002700000005
ERCC5-R-C	-0.00737419500000008
IGF1R_pY1135_Y1136-R-V	-0.0153128299999999
IRF-1-R-C	-0.00855167350000002
Jak2-R-V	-0.4541492885
p16_INK4a-R-V	-0.2801203825
SHP-2_pY542-R-C	0.2543715425
CDK1_pY15-R-C	0.078463383
