Sample REF	87394E1C-65DA-4993-80CD-FD01F045E4A1
Lck-R-V	0.0513974585
LKB1-M-E	-0.052305815
MAPK_pT202_Y204-R-V	0.404924042
MEK1-R-V	0.1585006075
MEK1_pS217_S221-R-V	-0.030304938
MIG-6-M-V	-0.0984634335
Mre11-R-C	-0.013401396
MSH2-M-V	-0.3957970855
MSH6-R-C	-0.4814179725
mTOR-R-V	-0.0741480455
mTOR_pS2448-R-C	0.2389661305
MYH11-R-V	1.649969053
Myosin-IIa_pS1943-R-V	0.096198593
N-Cadherin-R-V	-0.1163951955
N-Ras-M-V	-0.0957457395000001
NDRG1_pT346-R-V	0.7499898625
NF-kB-p65_pS536-R-C	0.2521148285
NF2-R-C	-0.0844899035
Notch1-R-V	0.00736057800000003
P-Cadherin-R-C	-0.0735559735
p21-R-V	-0.1212288795
p27-R-V	0.1648293395
p27_pT157-R-C	-0.0679066620000001
p27_pT198-R-V	-0.0189361115
p38_MAPK-R-V	0.0300030224999999
p38_pT180_Y182-R-V	0.5374264945
p53-R-E	-0.0847355759999997
p62-LCK-ligand-M-C	0.1939132745
p70S6K-R-V	-0.1070353225
p70S6K_pT389-R-V	-0.11605816
p90RSK-R-C	0.013797592
p90RSK_pT359_S363-R-C	-0.195160737
PAI-1-M-E	1.2848224525
PARP_cleaved-M-E	-0.103492327
PARP1-R-V	-0.3408411385
Paxillin-R-C	0.1900170115
PCNA-M-C	-0.3012530415
PDCD4-R-C	0.1263312225
PDK1-R-V	0.1065064055
PDK1_pS241-R-V	0.190215888
PEA15-R-V	0.1881709915
PEA15_pS116-R-V	0.060087081
PI3K-p110-alpha-R-C	-0.021240577
PI3K-p85-R-V	0.102756322
PKC-alpha-M-V	0.4083333975
PKC-alpha_pS657-R-C	0.472533276
PKC-delta_pS664-R-V	0.0183144859999999
PKC-pan_BetaII_pS660-R-V	0.106510793
PR-R-V	0.0726495294999999
PRAS40_pT246-R-V	-0.007728075
PRDX1-R-V	-0.124997842
PREX1-R-E	-0.305664846
PTEN-R-V	0.1385109565
Rab11-R-E	-0.036908468
Rab25-R-V	-0.600634962
Rad50-M-V	-0.0273657180000001
Rad51-R-V	-0.1821706895
Raptor-R-V	0.0386365805000001
Rb-M-E	0.087557998
Rb_pS807_S811-R-V	-0.078237849
RBM15-R-V	-0.361379804
Rictor-R-C	0.3953074545
Rictor_pT1135-R-V	0.1373453645
S6-R-E	-0.212913048
S6_pS235_S236-R-V	0.6135340285
S6_pS240_S244-R-V	0.500629614
SCD-M-V	-0.14020058
SETD2-R-E	-0.101474853
SF2-M-V	-0.1478534595
Shc_pY317-R-E	0.0203996615
Smac-M-E	-0.178913695
Smad1-R-V	-0.018013832
Smad3-R-V	-0.120490883
Smad4-M-V	-0.15561697
Snail-M-E	-0.0778276280000001
Src-M-V	-0.126528996
Src_pY416-R-C	0.243409201
Src_pY527-R-V	0.3131071075
STAT3_pY705-R-V	0.8601354515
STAT5-alpha-R-V	0.28414497
Stathmin-R-V	-0.170296385
Syk-M-V	0.0855870909999999
TAZ-R-V	0.004728343
TFRC-R-V	-0.194163011
TIGAR-R-V	-0.426423634
Transglutaminase-M-V	0.00831030649999999
TSC1-R-C	0.1164474915
TTF1-R-V	-0.18650256
Tuberin-R-E	0.0260506654999999
Tuberin_pT1462-R-V	0.2857772105
VEGFR2-R-V	0.1485203735
EPPK1-M-E	0.6654870675
XBP1-G-C	0.602063692
XRCC1-R-E	-0.308453459
YAP-R-E	0.00846921249999999
YAP_pS127-R-E	0.2286398865
YB-1-R-V	0.1078289
YB-1_pS102-R-V	0.007541257
A-Raf-R-V	-0.0515318
ARID1A-R-C	-0.3447146815
B-Raf_pS445-R-V	-0.086083801
Bcl2A1-R-V	-0.0396007745
BRD4-R-V	-0.3625157595
c-Abl-R-V	-0.115215946
Caspase-3-R-C	-0.2211526845
CD26-R-V	0.139952288
Chk1_pS296-R-V	-0.042296482
COG3-R-V	0.180290657
DUSP4-R-V	-0.0567230455000003
ERCC5-R-C	-0.0403073325000001
IGF1R_pY1135_Y1136-R-V	0.0236934945000001
IRF-1-R-C	-0.057844218
Jak2-R-V	-0.02401166
p16_INK4a-R-V	-0.0393543859999998
SHP-2_pY542-R-C	0.0881058009999998
CDK1_pY15-R-C	-0.1624754735
