Sample REF	4D837641-24BF-4A35-8792-142992F6DDA8
GSK3-alpha-beta-M-V	0.168355274
GSK3-alpha-beta_pS21_S9-R-V	-0.193413857
GSK3_pS9-R-V	-0.28420327
HER2-M-V	-0.4304535695
HER2_pY1248-R-C	0.00696240199999992
HER3-R-V	0.7273007995
HER3_pY1289-R-C	-0.0126281329999999
Heregulin-R-V	0.108526108
HSP70-R-C	-0.434924416
IGFBP2-R-V	0.5244277945
INPP4B-R-V	0.0740677820000001
IRS1-R-V	-0.200822909
JAB1-M-C	0.0258579205
JNK_pT183_pY185-R-V	-0.0510975339999999
JNK2-R-C	-0.139188439
Ku80-R-C	0.590359386
Lck-R-V	0.00607916150000004
LKB1-M-E	0.117454482
MAPK_pT202_Y204-R-V	-0.288567134
MEK1-R-V	0.0451099975000001
MEK1_pS217_S221-R-V	-0.03622515
MIG-6-M-V	0.00299550450000005
Mre11-R-C	0.0741146640000001
MSH2-M-V	0.4318653935
MSH6-R-C	0.7540382315
mTOR-R-V	0.7001105805
mTOR_pS2448-R-C	-0.3698770925
MYH11-R-V	-1.806156757
Myosin-IIa_pS1943-R-V	-0.4016074
N-Cadherin-R-V	0.0904659925
N-Ras-M-V	0.1132717285
NDRG1_pT346-R-V	-0.3268835075
NF-kB-p65_pS536-R-C	-0.4340902455
NF2-R-C	-0.2455168375
Notch1-R-V	0.126498875
P-Cadherin-R-C	0.2905003845
p21-R-V	0.1110496755
p27-R-V	-0.1337723535
p27_pT157-R-C	0.167422751
p27_pT198-R-V	0.0514846445
p38_MAPK-R-V	-0.3977279865
p38_pT180_Y182-R-V	-0.6209705245
p53-R-E	0.048733721
p62-LCK-ligand-M-C	0.2964371885
p70S6K-R-V	0.1244853455
p70S6K_pT389-R-V	-0.172734772
p90RSK-R-C	-0.148695744
p90RSK_pT359_S363-R-C	-0.257196812
PAI-1-M-E	0.0215707965
PARP_cleaved-M-E	0.411207565
PARP1-R-V	0.7130921185
Paxillin-R-C	-0.1246428725
PCNA-M-C	0.0828154575
PDCD4-R-C	1.1456069665
PDK1-R-V	-0.00608176249999998
PDK1_pS241-R-V	-0.0120007619999999
PEA15-R-V	-0.00390085049999994
PEA15_pS116-R-V	0.0590840180000001
PI3K-p110-alpha-R-C	0.0634600360000001
PI3K-p85-R-V	0.138373819
PKC-alpha-M-V	-0.4113835375
PKC-alpha_pS657-R-C	-0.551109683
PKC-delta_pS664-R-V	0.000691976999999955
PKC-pan_BetaII_pS660-R-V	-0.063858614
PR-R-V	0.0360754025
PRAS40_pT246-R-V	0.173875662
PRDX1-R-V	0.100208911
PREX1-R-E	0.621998416
PTEN-R-V	0.1035548965
Rab11-R-E	0.135194457
Rab25-R-V	-0.356333438
Rad50-M-V	0.105239421
Rad51-R-V	-0.1285375575
Raptor-R-V	0.6359858085
Rb-M-E	-0.080437925
Rb_pS807_S811-R-V	-0.643473864
RBM15-R-V	0.0789421750000001
Rictor-R-C	0.0354872235000001
Rictor_pT1135-R-V	-0.1014027595
S6-R-E	0.336235054
S6_pS235_S236-R-V	-0.4962393765
S6_pS240_S244-R-V	-0.386310693
SCD-M-V	0.226951815
SETD2-R-E	-0.018956858
SF2-M-V	0.3726822365
Shc_pY317-R-E	-0.2779246605
Smac-M-E	1.045156383
Smad1-R-V	0.059922355
Smad3-R-V	0.478453594
Smad4-M-V	-0.0771101579999998
Snail-M-E	0.520967862
Src-M-V	0.22857134
Src_pY416-R-C	-0.372972382
Src_pY527-R-V	-1.5155931455
STAT3_pY705-R-V	-0.3372465305
STAT5-alpha-R-V	0.553974804
Stathmin-R-V	0.0125914820000001
Syk-M-V	-0.0707859840000001
TAZ-R-V	-0.071734153
TFRC-R-V	1.085286871
TIGAR-R-V	0.014453296
Transglutaminase-M-V	-0.0493406204999999
TSC1-R-C	-0.0403306125
TTF1-R-V	0.106468563
Tuberin-R-E	-0.3073622045
Tuberin_pT1462-R-V	-0.2195486385
VEGFR2-R-V	0.0474682855000001
EPPK1-M-E	-0.4242915295
XBP1-G-C	-0.0905087949999999
XRCC1-R-E	0.143246405
YAP-R-E	-0.2447535965
YAP_pS127-R-E	-0.6548038035
YB-1-R-V	0.0815970870000001
YB-1_pS102-R-V	-0.000691976999999955
A-Raf-R-V	-0.0719854619999999
ARID1A-R-C	0.7861024065
B-Raf_pS445-R-V	-0.175114538
Bcl2A1-R-V	-0.2483906405
BRD4-R-V	0.7844674805
c-Abl-R-V	0.258886185
Caspase-3-R-C	0.3512666715
CD26-R-V	-0.133305243
Chk1_pS296-R-V	0.00431168300000012
COG3-R-V	0.040504989
DUSP4-R-V	-0.2811100275
ERCC5-R-C	-0.1325726275
IGF1R_pY1135_Y1136-R-V	-0.00224065049999994
IRF-1-R-C	-0.046375129
Jak2-R-V	-0.0264316039999999
p16_INK4a-R-V	-0.231652705
SHP-2_pY542-R-C	-0.192556723
CDK1_pY15-R-C	-0.4232742745
