Sample REF	1ABE66AA-9002-4532-A902-2DA198405BC3
Cyclin_D1-R-V	0.817577846
Cyclin_E1-M-V	-0.4723053355
Cyclin_E2-R-C	-0.3044106175
DJ-1-R-E	0.00332310000000002
Dvl3-R-V	-0.088604463
E-Cadherin-R-V	-1.2407998015
eEF2-R-C	-0.457801584
eEF2K-R-V	-0.8713099355
EGFR-R-V	0.3191527995
EGFR_pY1068-R-C	0.276790407
EGFR_pY1173-R-V	0.129052688
eIF4E-R-V	0.1133358905
eIF4G-R-C	-1.238966726
ER-alpha-R-V	0.759729797
ER-alpha_pS118-R-V	-0.3420620275
ERCC1-M-V	-0.3217150975
ERK2-R-E	0.359896889
ETS-1-R-V	0.248942541
FASN-R-V	-0.8375365905
Fibronectin-R-V	-0.3456511935
FoxM1-R-V	-0.4381042395
FOXO3a-R-C	0.299568431
FOXO3a_pS318_S321-R-C	0.330007597
G6PD-M-V	-0.2507779475
GAB2-R-V	-0.409947635
GAPDH-M-C	-0.258247199
GATA3-M-V	-0.0119336410000002
GSK3-alpha-beta-M-V	-0.2344969925
GSK3-alpha-beta_pS21_S9-R-V	0.1773306155
GSK3_pS9-R-V	0.0518968995000002
HER2-M-V	0.220927113
HER2_pY1248-R-C	0.4042196275
HER3-R-V	-0.138792939
HER3_pY1289-R-C	0.0979106494999999
Heregulin-R-V	0.0927365925
HSP70-R-C	0.6863068375
IGFBP2-R-V	-0.384271332
INPP4B-R-V	-0.1519789715
IRS1-R-V	0.3596111895
JAB1-M-C	-0.270840395
JNK_pT183_pY185-R-V	0.3751763215
JNK2-R-C	0.2377750145
Ku80-R-C	-1.4610807385
Lck-R-V	0.0960508019999999
LKB1-M-E	0.3686552185
MAPK_pT202_Y204-R-V	0.8088140435
MEK1-R-V	0.290487945
MEK1_pS217_S221-R-V	0.3751749915
MIG-6-M-V	0.0528418420000001
Mre11-R-C	0.6062996535
MSH2-M-V	-1.262536204
MSH6-R-C	-1.9341408
mTOR-R-V	-0.748285552
mTOR_pS2448-R-C	-0.491693348
MYH11-R-V	0.2539251345
Myosin-IIa_pS1943-R-V	-0.5808393895
N-Cadherin-R-V	0.532398797
N-Ras-M-V	0.0448485709999999
NDRG1_pT346-R-V	0.457099665
NF-kB-p65_pS536-R-C	0.537560558
NF2-R-C	-0.38665198
Notch1-R-V	0.4436144535
P-Cadherin-R-C	-0.00332310000000002
p21-R-V	0.361083126
p27-R-V	0.241931232
p27_pT157-R-C	0.0125018275
p27_pT198-R-V	0.0976046399999999
p38_MAPK-R-V	0.465576964
p38_pT180_Y182-R-V	0.501388372
p53-R-E	0.3190540105
p62-LCK-ligand-M-C	-0.293965556
p70S6K-R-V	-0.338128116
p70S6K_pT389-R-V	0.6914771485
p90RSK-R-C	-0.5662353305
p90RSK_pT359_S363-R-C	0.7539851095
PAI-1-M-E	-0.0372021549999999
PARP_cleaved-M-E	-0.3361548835
PARP1-R-V	-1.403905871
Paxillin-R-C	-0.858371545
PCNA-M-C	-0.244837249
PDCD4-R-C	-0.517074007
PDK1-R-V	0.278567121
PDK1_pS241-R-V	0.0866247805
PEA15-R-V	0.427796864
PEA15_pS116-R-V	0.1660118595
PI3K-p110-alpha-R-C	0.1820903165
PI3K-p85-R-V	0.2371671125
PKC-alpha-M-V	0.705239936
PKC-alpha_pS657-R-C	0.8114634295
PKC-delta_pS664-R-V	-0.8190829515
PKC-pan_BetaII_pS660-R-V	-0.6702468575
PR-R-V	0.173697105
PRAS40_pT246-R-V	-0.0533882325000001
PRDX1-R-V	-0.5945668865
PREX1-R-E	-0.4906352145
PTEN-R-V	-0.219865179
Rab11-R-E	0.4605172065
Rab25-R-V	0.2265668325
Rad50-M-V	-0.1330301175
Rad51-R-V	1.072962881
Raptor-R-V	-0.286032124
Rb-M-E	0.2233065885
Rb_pS807_S811-R-V	-0.5383591335
RBM15-R-V	-1.4154835015
Rictor-R-C	-0.348119503
Rictor_pT1135-R-V	0.140656451
S6-R-E	-1.8551988795
S6_pS235_S236-R-V	-0.771000548
S6_pS240_S244-R-V	-0.6525985795
SCD-M-V	-0.3432654355
SETD2-R-E	0.3756013795
SF2-M-V	-0.341126105
Shc_pY317-R-E	-0.361326418
Smac-M-E	-0.5142521425
Smad1-R-V	-0.1234887115
Smad3-R-V	-0.2234504285
Smad4-M-V	-0.2775232455
Snail-M-E	-0.0586485595000001
Src-M-V	0.0758668484999999
Src_pY416-R-C	0.1522670035
Src_pY527-R-V	0.470601644
STAT3_pY705-R-V	0.408009149
STAT5-alpha-R-V	-0.4538376675
Stathmin-R-V	0.3954520815
Syk-M-V	-0.7560155125
TAZ-R-V	0.4384289475
TFRC-R-V	-0.2136277445
TIGAR-R-V	-0.0869526274999999
Transglutaminase-M-V	0.351958013
TSC1-R-C	-0.022414924
TTF1-R-V	0.2075692545
Tuberin-R-E	-0.789222562
Tuberin_pT1462-R-V	0.124586371
VEGFR2-R-V	-0.11141923
EPPK1-M-E	-1.241239681
XBP1-G-C	0.4728729815
XRCC1-R-E	-0.5497892615
YAP-R-E	0.249580124
YAP_pS127-R-E	0.25581516
YB-1-R-V	-0.1239206735
YB-1_pS102-R-V	0.2252436895
A-Raf-R-V	-0.6862932265
ARID1A-R-C	-1.269768478
B-Raf_pS445-R-V	-0.6368887475
Bcl2A1-R-V	1.018899142
BRD4-R-V	-1.237309517
c-Abl-R-V	-0.0884075055
Caspase-3-R-C	-0.291859076
CD26-R-V	0.2249182225
Chk1_pS296-R-V	0.1696717525
COG3-R-V	-0.5260434275
DUSP4-R-V	-0.0869524190000004
ERCC5-R-C	-0.127279696
IGF1R_pY1135_Y1136-R-V	0.428996416
IRF-1-R-C	0.3177836565
Jak2-R-V	-0.7136963245
p16_INK4a-R-V	0.4037562415
SHP-2_pY542-R-C	0.2167203205
CDK1_pY15-R-C	-0.29035366
