Sample REF	243A23A3-3BF7-48E7-B67C-C17F64749AD9
Claudin-7-R-V	0.3891723675
Collagen_VI-R-V	-0.059944008
Cyclin_B1-R-V	0.2543505825
Cyclin_D1-R-V	-0.219531003
Cyclin_E1-M-V	-0.1432401905
Cyclin_E2-R-C	0.3437353185
DJ-1-R-E	0.233739244
Dvl3-R-V	-0.00953511400000004
E-Cadherin-R-V	-0.3136929745
eEF2-R-C	0.18425295
eEF2K-R-V	0.5656567315
EGFR-R-V	-0.2259468445
EGFR_pY1068-R-C	-0.20329005
EGFR_pY1173-R-V	0.08195649
eIF4E-R-V	0.1186376355
eIF4G-R-C	0.127097326
ER-alpha-R-V	-0.186013065
ER-alpha_pS118-R-V	0.2341537165
ERCC1-M-V	-0.0994655695
ERK2-R-E	0.0839952289999999
ETS-1-R-V	-0.039392783
FASN-R-V	-0.1464545845
Fibronectin-R-V	-0.5650218595
FoxM1-R-V	-0.2834776035
FOXO3a-R-C	-0.017128486
FOXO3a_pS318_S321-R-C	-0.000257272999999919
G6PD-M-V	0.0807816765
GAB2-R-V	1.4308895
GAPDH-M-C	0.142849993
GATA3-M-V	-0.0016062740000001
GSK3-alpha-beta-M-V	0.1343164115
GSK3-alpha-beta_pS21_S9-R-V	-0.4681616625
GSK3_pS9-R-V	-0.1924528495
HER2-M-V	-0.186883116
HER2_pY1248-R-C	-0.0721127625000001
HER3-R-V	-0.247948467
HER3_pY1289-R-C	-0.1363391735
Heregulin-R-V	0.00829056949999998
HSP70-R-C	-0.8203316365
IGFBP2-R-V	0.763438354
INPP4B-R-V	-0.0812033754999999
IRS1-R-V	-0.2225636255
JAB1-M-C	-0.079642132
JNK_pT183_pY185-R-V	-0.1738282475
JNK2-R-C	-0.2241056655
Ku80-R-C	0.6235148815
Lck-R-V	0.319905914
LKB1-M-E	0.0545620315
MAPK_pT202_Y204-R-V	-0.5295691785
MEK1-R-V	0.080419094
MEK1_pS217_S221-R-V	-0.1064672475
MIG-6-M-V	0.00184658599999998
Mre11-R-C	-0.0858478125
MSH2-M-V	0.093146945
MSH6-R-C	0.151364158
mTOR-R-V	0.342018797
mTOR_pS2448-R-C	-0.379477058
MYH11-R-V	-1.2934853975
Myosin-IIa_pS1943-R-V	-0.0670007575
N-Cadherin-R-V	-0.321520113
N-Ras-M-V	0.14301611
NDRG1_pT346-R-V	-0.604584248
NF-kB-p65_pS536-R-C	-0.426855972
NF2-R-C	-0.0269292740000001
Notch1-R-V	-0.2473914545
P-Cadherin-R-C	-0.120208703
p21-R-V	0.134142045
p27-R-V	0.188302327
p27_pT157-R-C	0.0618148605
p27_pT198-R-V	-0.014070447
p38_MAPK-R-V	0.0219490469999999
p38_pT180_Y182-R-V	-0.635218804
p53-R-E	-0.2500026515
p62-LCK-ligand-M-C	0.669383885
p70S6K-R-V	0.269560451
p70S6K_pT389-R-V	-0.0676473504999999
p90RSK-R-C	-0.0988749325
p90RSK_pT359_S363-R-C	-0.4731220455
PAI-1-M-E	-0.579243423
PARP_cleaved-M-E	0.4216337345
PARP1-R-V	1.097362311
Paxillin-R-C	-0.197349733
PCNA-M-C	0.0979807039999999
PDCD4-R-C	0.964793114
PDK1-R-V	-0.017772147
PDK1_pS241-R-V	-0.1038520295
PEA15-R-V	0.126371404
PEA15_pS116-R-V	-0.1490308205
PI3K-p110-alpha-R-C	0.1410496355
PI3K-p85-R-V	0.4934941865
PKC-alpha-M-V	-0.049778631
PKC-alpha_pS657-R-C	-0.1850159625
PKC-delta_pS664-R-V	0.1672641595
PKC-pan_BetaII_pS660-R-V	0.3964294295
PR-R-V	0.026984652
PRAS40_pT246-R-V	0.0546652065
PRDX1-R-V	0.5052408865
PREX1-R-E	0.6190408555
PTEN-R-V	0.386340622
Rab11-R-E	0.2318325585
Rab25-R-V	0.1597352345
Rad50-M-V	0.5016152625
Rad51-R-V	-0.574631407
Raptor-R-V	0.343224562
Rb-M-E	-0.0899602745
Rb_pS807_S811-R-V	-0.2270378925
RBM15-R-V	0.3016225585
Rictor-R-C	-0.083166619
Rictor_pT1135-R-V	0.000257272999999919
S6-R-E	0.4063762225
S6_pS235_S236-R-V	-0.559275381
S6_pS240_S244-R-V	-0.3564455705
SCD-M-V	0.1365456915
SETD2-R-E	-0.1527346495
SF2-M-V	0.493321166
Shc_pY317-R-E	-0.132799375
Smac-M-E	1.0652644365
Smad1-R-V	0.1024215485
Smad3-R-V	0.4129435105
Smad4-M-V	0.00529460550000008
Snail-M-E	0.2180662705
Src-M-V	0.2572815695
Src_pY416-R-C	-0.3988534515
Src_pY527-R-V	-1.694580575
STAT3_pY705-R-V	-0.186743699
STAT5-alpha-R-V	0.8403436145
Stathmin-R-V	0.1020100155
Syk-M-V	0.8020336765
TAZ-R-V	-0.2088602055
TFRC-R-V	1.0544846055
TIGAR-R-V	-0.0500325185
Transglutaminase-M-V	0.029653478
TSC1-R-C	-0.105016152
TTF1-R-V	0.2474346495
Tuberin-R-E	0.278108744
Tuberin_pT1462-R-V	-0.160787099
VEGFR2-R-V	-0.241978228
EPPK1-M-E	-0.373851814
XBP1-G-C	-0.3220110035
XRCC1-R-E	0.2856154865
YAP-R-E	-0.176701376
YAP_pS127-R-E	-1.051608766
YB-1-R-V	0.2517925215
YB-1_pS102-R-V	-0.1107144225
A-Raf-R-V	0.2088500925
ARID1A-R-C	0.453353077
B-Raf_pS445-R-V	0.0384985945
Bcl2A1-R-V	-0.315141862
BRD4-R-V	0.453838481
c-Abl-R-V	0.1862286395
Caspase-3-R-C	0.165354733
CD26-R-V	-0.0202165415000001
Chk1_pS296-R-V	-0.0987806015
COG3-R-V	0.2374883025
DUSP4-R-V	-0.351337996
ERCC5-R-C	0.168173695
IGF1R_pY1135_Y1136-R-V	-0.134381414
IRF-1-R-C	0.1433581995
Jak2-R-V	0.3016482145
p16_INK4a-R-V	-0.2607487335
SHP-2_pY542-R-C	-0.2147783405
CDK1_pY15-R-C	-0.438850747
