Sample REF	F9C0A59D-8F08-4982-AFB9-F6F662325A37
HER2_pY1248-R-C	0.11952518275
HER3-R-V	-0.20538331675
HER3_pY1289-R-C	0.34750825075
Heregulin-R-V	-0.10588497325
HSP70-R-C	0.46745084275
IGFBP2-R-V	0.0490363982500001
INPP4B-R-V	-0.12741782025
IRS1-R-V	0.77515619475
JAB1-M-C	-0.0277935687499998
JNK_pT183_pY185-R-V	0.28111716375
JNK2-R-C	0.12221895175
Ku80-R-C	-0.77769539525
Lck-R-V	-0.41576976175
LKB1-M-E	0.10060655275
MAPK_pT202_Y204-R-V	0.00125922275000001
MEK1-R-V	-0.01197716775
MEK1_pS217_S221-R-V	0.12871275675
MIG-6-M-V	0.03875348025
Mre11-R-C	0.10848994575
MSH2-M-V	-0.81569450575
MSH6-R-C	-1.25679205775
mTOR-R-V	-0.49170203275
mTOR_pS2448-R-C	-0.15854007175
MYH11-R-V	3.19227728275
Myosin-IIa_pS1943-R-V	-1.09605275425
N-Cadherin-R-V	0.00435378524999996
N-Ras-M-V	0.10453109525
NDRG1_pT346-R-V	-0.23621963575
NF-kB-p65_pS536-R-C	0.0462619822500001
NF2-R-C	-0.38739689075
Notch1-R-V	0.17920104175
P-Cadherin-R-C	0.15564944025
p21-R-V	-0.22799306975
p27-R-V	0.18686187525
p27_pT157-R-C	0.0172352717500001
p27_pT198-R-V	-0.03924343975
p38_MAPK-R-V	0.26195494425
p38_pT180_Y182-R-V	0.53404373925
p53-R-E	-0.0862489732499999
p62-LCK-ligand-M-C	-0.47097962475
p70S6K-R-V	0.09177452525
p70S6K_pT389-R-V	-0.17416039825
p90RSK-R-C	0.05044054675
p90RSK_pT359_S363-R-C	0.05653108075
PAI-1-M-E	-0.59541535575
PARP_cleaved-M-E	-0.0576749102500002
PARP1-R-V	-0.96926385175
Paxillin-R-C	-0.02393658275
PCNA-M-C	-0.21139673075
PDCD4-R-C	-0.94165035475
PDK1-R-V	0.08810325225
PDK1_pS241-R-V	0.01684351575
PEA15-R-V	-0.30861222075
PEA15_pS116-R-V	-0.09575032425
PI3K-p110-alpha-R-C	0.17234492075
PI3K-p85-R-V	-0.33050323225
PKC-alpha-M-V	0.54878819525
PKC-alpha_pS657-R-C	0.58352225375
PKC-delta_pS664-R-V	-0.15019467925
PKC-pan_BetaII_pS660-R-V	-0.03360501025
PR-R-V	0.25933358725
PRAS40_pT246-R-V	0.0717550817500001
PRDX1-R-V	-1.24477983425
PREX1-R-E	-0.78677145825
PTEN-R-V	0.16670138125
Rab11-R-E	0.0964189487500001
Rab25-R-V	-0.0386064162499998
Rad50-M-V	-0.13264240625
Rad51-R-V	-0.02063459775
Raptor-R-V	-0.0693138957499999
Rb-M-E	0.28441553575
Rb_pS807_S811-R-V	-0.41649413925
RBM15-R-V	-0.27306878125
Rictor-R-C	3.30899764225
Rictor_pT1135-R-V	0.44888584025
S6-R-E	-0.61791329025
S6_pS235_S236-R-V	-0.71967821675
S6_pS240_S244-R-V	-0.15748668225
SCD-M-V	-0.0497436672500001
SETD2-R-E	0.0563245157500001
SF2-M-V	-0.19002282775
Shc_pY317-R-E	-0.0271584627500002
Smac-M-E	-0.27983583725
Smad1-R-V	0.00665416875000002
Smad3-R-V	-0.13379868525
Smad4-M-V	-0.0735013052499999
Snail-M-E	-0.15029544425
Src-M-V	0.26440358575
Src_pY416-R-C	0.11252035075
Src_pY527-R-V	0.72164161125
STAT3_pY705-R-V	-0.01536359775
STAT5-alpha-R-V	-0.15158416525
Stathmin-R-V	0.0302458947500001
Syk-M-V	-0.81326726725
TAZ-R-V	0.29259850575
TFRC-R-V	-0.45984909225
TIGAR-R-V	-0.18507586625
Transglutaminase-M-V	0.65218153825
TSC1-R-C	0.39280515725
TTF1-R-V	0.28839360575
Tuberin-R-E	0.0386313762499999
Tuberin_pT1462-R-V	0.39405531025
VEGFR2-R-V	0.31142480725
EPPK1-M-E	0.59970083925
XBP1-G-C	-0.0296346372499999
XRCC1-R-E	-0.00536210225
YAP-R-E	0.40934623025
YAP_pS127-R-E	0.91207277225
YB-1-R-V	0.47023704075
YB-1_pS102-R-V	0.14658673075
A-Raf-R-V	-0.24654026925
ARID1A-R-C	-0.13519773175
B-Raf_pS445-R-V	-0.22791920825
Bcl2A1-R-V	0.34977854025
BRD4-R-V	-0.14079126775
c-Abl-R-V	0.0741756837500001
Caspase-3-R-C	-0.19870249775
CD26-R-V	0.51706404975
Chk1_pS296-R-V	0.0425463367500001
COG3-R-V	-0.15159732525
DUSP4-R-V	-0.0947869067500003
ERCC5-R-C	-0.10590109175
IGF1R_pY1135_Y1136-R-V	0.0846585962500001
IRF-1-R-C	-0.11041011125
Jak2-R-V	-0.34588428725
p16_INK4a-R-V	-0.34297006125
SHP-2_pY542-R-C	0.60314878475
CDK1_pY15-R-C	-0.0796580667499999
