Sample REF	81D64FE2-4E9F-4FE1-BA92-5705E9BA006F
CD26-R-V	-0.0311129935
Chk1_pS296-R-V	-0.0883806345
COG3-R-V	0.0443546375000001
DUSP4-R-V	0.222366774
ERCC5-R-C	-0.0636813079999999
IGF1R_pY1135_Y1136-R-V	-0.0607236539999999
IRF-1-R-C	-0.0901206424999999
Jak2-R-V	0.1147759865
p16_INK4a-R-V	-0.0515206054999998
SHP-2_pY542-R-C	-0.1527871185
CDK1_pY15-R-C	-0.148013701
