Sample REF	31192A5E-2FFD-4824-8683-4533F7ADA5C4
MSH6-R-C	0.1190069025
mTOR-R-V	0.1014833745
mTOR_pS2448-R-C	0.1582679195
MYH11-R-V	1.10426258
Myosin-IIa_pS1943-R-V	0.136182163
N-Cadherin-R-V	-0.0194988745000001
N-Ras-M-V	-0.00540651950000015
NDRG1_pT346-R-V	0.0929263375
NF-kB-p65_pS536-R-C	-0.4594959285
NF2-R-C	0.5715428805
Notch1-R-V	-0.270839513
P-Cadherin-R-C	0.2002899815
p21-R-V	0.7708170405
p27-R-V	-0.0979596925
p27_pT157-R-C	0.113398343
p27_pT198-R-V	0.2260026625
p38_MAPK-R-V	-0.2580447785
p38_pT180_Y182-R-V	-0.2002832135
p53-R-E	-0.111549761
p62-LCK-ligand-M-C	0.0709237155
p70S6K-R-V	-0.0761951435
p70S6K_pT389-R-V	-0.156175222
p90RSK-R-C	-0.249787441
p90RSK_pT359_S363-R-C	-0.224943067
PAI-1-M-E	-0.3633653375
PARP_cleaved-M-E	0.0563309709999997
PARP1-R-V	0.0297762794999998
Paxillin-R-C	0.0789707995
PCNA-M-C	0.0901419625
PDCD4-R-C	0.8553299775
PDK1-R-V	-0.0829567835
PDK1_pS241-R-V	-0.320999231
PEA15-R-V	-0.0227597495
PEA15_pS116-R-V	-0.077421354
PI3K-p110-alpha-R-C	0.191770615
PI3K-p85-R-V	-0.296684878
PKC-alpha-M-V	-0.2140294675
PKC-alpha_pS657-R-C	-0.36815887
PKC-delta_pS664-R-V	0.18962871
PKC-pan_BetaII_pS660-R-V	0.054525953
PR-R-V	0.00458658549999996
PRAS40_pT246-R-V	0.109954078
PRDX1-R-V	0.419046329
PREX1-R-E	0.010636577
PTEN-R-V	-0.0597254535
Rab11-R-E	-0.028381587
Rab25-R-V	0.629051481
Rad50-M-V	0.0145042909999999
Rad51-R-V	-0.1119524535
Raptor-R-V	-0.1127088665
Rb-M-E	0.0274399419999999
Rb_pS807_S811-R-V	0.23780957
RBM15-R-V	-0.061048589
Rictor-R-C	0.1460193525
Rictor_pT1135-R-V	-0.0894512155
S6-R-E	0.197859922
S6_pS235_S236-R-V	-0.0730745825000001
S6_pS240_S244-R-V	-0.177176318
SCD-M-V	-0.0286359530000002
SETD2-R-E	-0.098913939
SF2-M-V	0.3738518475
Shc_pY317-R-E	0.2613529395
Smac-M-E	0.190439908
Smad1-R-V	-0.077053715
Smad3-R-V	0.244629436
Smad4-M-V	0.0108955690000001
Snail-M-E	0.221245568
Src-M-V	-0.330771889
Src_pY416-R-C	0.329325112
Src_pY527-R-V	-0.1765893655
STAT3_pY705-R-V	-0.0995576685
STAT5-alpha-R-V	-0.276250582
Stathmin-R-V	0.011412017
Syk-M-V	0.00863567399999976
TAZ-R-V	-0.107121479
TFRC-R-V	0.081794778
TIGAR-R-V	0.0144152699999999
Transglutaminase-M-V	-0.0411767665
TSC1-R-C	-0.2081577655
TTF1-R-V	-0.0695089799999999
Tuberin-R-E	-0.1634675185
Tuberin_pT1462-R-V	-0.1624148865
VEGFR2-R-V	-0.1862357805
EPPK1-M-E	-0.0188064735000002
XBP1-G-C	0.079749777
XRCC1-R-E	0.023233753
YAP-R-E	-0.0844582345
YAP_pS127-R-E	-0.2911659345
YB-1-R-V	0.12312579
YB-1_pS102-R-V	-0.075112241
A-Raf-R-V	-0.000879607000000004
ARID1A-R-C	0.2302142635
B-Raf_pS445-R-V	0.336324906
Bcl2A1-R-V	-0.1563999525
BRD4-R-V	0.3213109495
c-Abl-R-V	0.218690203
Caspase-3-R-C	0.0957604804999999
CD26-R-V	-0.0208506440000001
Chk1_pS296-R-V	-0.089178937
COG3-R-V	-0.054229673
DUSP4-R-V	-0.3991138055
ERCC5-R-C	0.1640418275
IGF1R_pY1135_Y1136-R-V	-0.0867886605000001
IRF-1-R-C	0.038872632
Jak2-R-V	0.094846896
p16_INK4a-R-V	0.064322218
SHP-2_pY542-R-C	-0.168916882
CDK1_pY15-R-C	0.1213983115
