Sample REF	DE37C80C-2695-401B-ADF1-F7FB05A71AED
GATA3-M-V	0.104163038
GSK3-alpha-beta-M-V	0.1903379475
GSK3-alpha-beta_pS21_S9-R-V	0.0974711765000001
GSK3_pS9-R-V	0.0584222435000001
HER2-M-V	-0.240621885
HER2_pY1248-R-C	-0.0129732425000001
HER3-R-V	-0.331282157
HER3_pY1289-R-C	-0.1155005905
Heregulin-R-V	-0.0983067395
HSP70-R-C	-1.5721040405
IGFBP2-R-V	-0.781194302
INPP4B-R-V	-0.0182721944999997
IRS1-R-V	-0.00649751149999997
JAB1-M-C	0.0568415629999999
JNK_pT183_pY185-R-V	-0.1244551605
JNK2-R-C	-0.1548785245
Ku80-R-C	0.3250367075
Lck-R-V	0.394354306
LKB1-M-E	-0.2465392655
MAPK_pT202_Y204-R-V	-0.3660185075
MEK1-R-V	0.086485584
MEK1_pS217_S221-R-V	-0.1142026975
MIG-6-M-V	-0.10602106
Mre11-R-C	-0.3290606755
MSH2-M-V	0.241645699
MSH6-R-C	-0.0731537239999995
mTOR-R-V	0.412054589
mTOR_pS2448-R-C	0.161529235
MYH11-R-V	-0.0937732014999999
Myosin-IIa_pS1943-R-V	0.4108330955
N-Cadherin-R-V	-0.141213856
N-Ras-M-V	0.0823942229999999
NDRG1_pT346-R-V	0.12085208
NF-kB-p65_pS536-R-C	-0.077112748
NF2-R-C	0.304076854
Notch1-R-V	-0.2378488655
P-Cadherin-R-C	-0.096324532
p21-R-V	0.338798326
p27-R-V	0.0952945480000001
p27_pT157-R-C	-0.0152304885000001
p27_pT198-R-V	-0.048379227
p38_MAPK-R-V	-0.060168152
p38_pT180_Y182-R-V	0.356142698
p53-R-E	-0.0583805274999998
p62-LCK-ligand-M-C	0.239318874
p70S6K-R-V	0.150279098
p70S6K_pT389-R-V	-0.3538457895
p90RSK-R-C	-0.1047915925
p90RSK_pT359_S363-R-C	-0.3473970195
PAI-1-M-E	-0.599204821
PARP_cleaved-M-E	-0.0498536565000003
PARP1-R-V	0.346668706
Paxillin-R-C	-0.0272383170000001
PCNA-M-C	-0.194354849
PDCD4-R-C	1.21436182
PDK1-R-V	-0.08338679
PDK1_pS241-R-V	-0.0186608925
PEA15-R-V	0.083470086
PEA15_pS116-R-V	-0.0497591815
PI3K-p110-alpha-R-C	0.0409613555
PI3K-p85-R-V	0.1663544645
PKC-alpha-M-V	0.200268842
PKC-alpha_pS657-R-C	0.0214291505000001
PKC-delta_pS664-R-V	0.2478963245
PKC-pan_BetaII_pS660-R-V	0.2943300225
PR-R-V	0.07286861
PRAS40_pT246-R-V	0.2300251835
PRDX1-R-V	-0.00541975850000001
PREX1-R-E	0.3566932365
PTEN-R-V	0.098543003
Rab11-R-E	-0.0771713774999999
Rab25-R-V	0.2347698045
Rad50-M-V	-0.0237278115
Rad51-R-V	-0.343479182
Raptor-R-V	0.333493558
Rb-M-E	-0.0746847425
Rb_pS807_S811-R-V	0.2019201765
RBM15-R-V	0.1856415705
Rictor-R-C	0.147397832
Rictor_pT1135-R-V	0.088481485
S6-R-E	0.3483553405
S6_pS235_S236-R-V	0.456000371
S6_pS240_S244-R-V	0.3180969465
SCD-M-V	0.1884060695
SETD2-R-E	-0.0392578025
SF2-M-V	0.266422463
Shc_pY317-R-E	0.187704212
Smac-M-E	0.2400634485
Smad1-R-V	0.0896851245
Smad3-R-V	-0.0266107705
Smad4-M-V	0.0583790275
Snail-M-E	-0.1161918405
Src-M-V	-0.3795035005
Src_pY416-R-C	-0.4633256505
Src_pY527-R-V	-0.185811503
STAT3_pY705-R-V	0.41699566
STAT5-alpha-R-V	0.3512073445
Stathmin-R-V	-0.2260158745
Syk-M-V	0.6320922665
TAZ-R-V	-0.2039688055
TFRC-R-V	-0.2585093005
TIGAR-R-V	-0.2504314645
Transglutaminase-M-V	-0.02257336
TSC1-R-C	0.00914266999999994
TTF1-R-V	-0.0311618024999999
Tuberin-R-E	0.130360479
Tuberin_pT1462-R-V	0.00793019400000008
VEGFR2-R-V	-0.0623543829999999
EPPK1-M-E	0.67578852
XBP1-G-C	0.1888488425
XRCC1-R-E	0.0814605945
YAP-R-E	-0.209024274
YAP_pS127-R-E	-0.657870196
YB-1-R-V	-0.3764387005
YB-1_pS102-R-V	-0.2191444625
A-Raf-R-V	0.0491846605000001
ARID1A-R-C	-0.386562666
B-Raf_pS445-R-V	0.1036974185
Bcl2A1-R-V	-0.467036343
BRD4-R-V	0.210454761
c-Abl-R-V	0.1224338725
Caspase-3-R-C	0.099206089
CD26-R-V	-0.1532726855
Chk1_pS296-R-V	0.0308703695
COG3-R-V	-0.00465301449999997
DUSP4-R-V	0.00246964799999996
ERCC5-R-C	0.230248225
IGF1R_pY1135_Y1136-R-V	-0.115306008
IRF-1-R-C	0.1552844485
Jak2-R-V	0.2816720385
p16_INK4a-R-V	0.0332541885000002
SHP-2_pY542-R-C	-0.1918639835
CDK1_pY15-R-C	-0.00246964799999996
