Sample REF	EEC942EB-4819-4493-98B9-6A55ED75E75E
Lck-R-V	-0.0797157835
LKB1-M-E	-0.0641941009999999
MAPK_pT202_Y204-R-V	0.661562459
MEK1-R-V	0.3300605835
MEK1_pS217_S221-R-V	-0.056612835
MIG-6-M-V	0.1301562785
Mre11-R-C	-0.0390538589999999
MSH2-M-V	-0.2613900535
MSH6-R-C	-0.2193353765
mTOR-R-V	-0.1043568155
mTOR_pS2448-R-C	0.2456900715
MYH11-R-V	2.314909186
Myosin-IIa_pS1943-R-V	0.21733025
N-Cadherin-R-V	-0.1874697985
N-Ras-M-V	-0.0572050025
NDRG1_pT346-R-V	0.8886680025
NF-kB-p65_pS536-R-C	-0.0367917695
NF2-R-C	0.1177198405
Notch1-R-V	-0.031906949
P-Cadherin-R-C	-0.2561744395
p21-R-V	0.0402296315
p27-R-V	0.0811864225000001
p27_pT157-R-C	-0.049221229
p27_pT198-R-V	-0.0581085815
p38_MAPK-R-V	0.1241186405
p38_pT180_Y182-R-V	0.2765900285
p53-R-E	-0.0677953129999999
p62-LCK-ligand-M-C	0.00294436650000007
p70S6K-R-V	-0.00884253049999995
p70S6K_pT389-R-V	-0.123207261
p90RSK-R-C	0.248169798
p90RSK_pT359_S363-R-C	-0.0414115879999999
PAI-1-M-E	1.3033686375
PARP_cleaved-M-E	-0.176335164
PARP1-R-V	0.1430304445
Paxillin-R-C	0.2280315495
PCNA-M-C	-0.0682761665
PDCD4-R-C	-0.4048168185
PDK1-R-V	0.0751192405
PDK1_pS241-R-V	0.0829317740000001
PEA15-R-V	0.2664691355
PEA15_pS116-R-V	0.266323106
PI3K-p110-alpha-R-C	-0.00266712299999994
PI3K-p85-R-V	0.194700142
PKC-alpha-M-V	0.1811077575
PKC-alpha_pS657-R-C	0.08814878
PKC-delta_pS664-R-V	0.031625314
PKC-pan_BetaII_pS660-R-V	0.111859323
PR-R-V	0.0751449995
PRAS40_pT246-R-V	-0.0651616899999999
PRDX1-R-V	-0.079323735
PREX1-R-E	-0.201008582
PTEN-R-V	-0.0110700555
Rab11-R-E	-0.161453244
Rab25-R-V	0.00829358399999991
Rad50-M-V	0.013264423
Rad51-R-V	-0.3062901385
Raptor-R-V	0.2775355575
Rb-M-E	-0.036588133
Rb_pS807_S811-R-V	-0.143110919
RBM15-R-V	-0.0208121279999999
Rictor-R-C	0.4758510355
Rictor_pT1135-R-V	0.0265790235
S6-R-E	-0.137595923
S6_pS235_S236-R-V	0.1537985445
S6_pS240_S244-R-V	0.039803934
SCD-M-V	-0.0818664800000002
SETD2-R-E	-0.2034708
SF2-M-V	-0.0795589135
Shc_pY317-R-E	0.0840919775000001
Smac-M-E	-0.32221463
Smad1-R-V	0.027067508
Smad3-R-V	-0.00916123199999996
Smad4-M-V	0.0126681860000001
Snail-M-E	-0.051290624
Src-M-V	-0.0712370099999999
Src_pY416-R-C	0.644243331
Src_pY527-R-V	0.2669316985
STAT3_pY705-R-V	-0.0430235034999999
STAT5-alpha-R-V	0.380542364
Stathmin-R-V	-0.184509425
Syk-M-V	0.700778778
TAZ-R-V	-0.026004979
TFRC-R-V	0.048677227
TIGAR-R-V	-0.152188374
Transglutaminase-M-V	-0.0846076354999999
TSC1-R-C	0.1885793235
TTF1-R-V	-0.282181255
Tuberin-R-E	-0.0292524454999999
Tuberin_pT1462-R-V	0.3574997725
VEGFR2-R-V	0.1852922835
EPPK1-M-E	0.6639836665
XBP1-G-C	0.887652263
XRCC1-R-E	-0.272899862
YAP-R-E	0.00438873650000005
YAP_pS127-R-E	0.1152149565
YB-1-R-V	0.170300726
YB-1_pS102-R-V	0.0385946720000001
A-Raf-R-V	-0.118729606
ARID1A-R-C	0.0160086515000001
B-Raf_pS445-R-V	-0.175346295
Bcl2A1-R-V	-0.1027344395
BRD4-R-V	-0.2321938205
c-Abl-R-V	-0.137375427
Caspase-3-R-C	-0.0537273395000001
CD26-R-V	0.121286207
Chk1_pS296-R-V	-0.0566119199999999
COG3-R-V	0.00691076500000004
DUSP4-R-V	0.5650155035
ERCC5-R-C	0.0856961245
IGF1R_pY1135_Y1136-R-V	0.0625986495
IRF-1-R-C	-0.00245058499999995
Jak2-R-V	0.056763472
p16_INK4a-R-V	-0.0531130609999998
SHP-2_pY542-R-C	0.184744986
CDK1_pY15-R-C	0.0400722785000001
