Sample REF	64A54D4B-253A-4DA8-8CA7-17D77080066E
Ku80-R-C	0.49583631925
Lck-R-V	0.68068014275
LKB1-M-E	-0.0615636327499999
MAPK_pT202_Y204-R-V	-0.39949434275
MEK1-R-V	0.0659314577500001
MEK1_pS217_S221-R-V	-0.08017856875
MIG-6-M-V	-0.0949989832499999
Mre11-R-C	-0.0334211347499999
MSH2-M-V	0.26747735875
MSH6-R-C	0.50720086675
mTOR-R-V	0.53810300275
mTOR_pS2448-R-C	-0.23052354525
MYH11-R-V	-0.86854535075
Myosin-IIa_pS1943-R-V	0.12829113125
N-Cadherin-R-V	-0.10667501525
N-Ras-M-V	0.01368294375
NDRG1_pT346-R-V	-0.18463402125
NF-kB-p65_pS536-R-C	0.32780146675
NF2-R-C	0.41877132875
Notch1-R-V	-0.22636438075
P-Cadherin-R-C	0.10651019875
p21-R-V	-0.10618386125
p27-R-V	0.21499228375
p27_pT157-R-C	-0.00447106374999995
p27_pT198-R-V	0.19494236575
p38_MAPK-R-V	0.30127467675
p38_pT180_Y182-R-V	0.62765263675
p53-R-E	-0.0856872087499998
p62-LCK-ligand-M-C	0.28631584275
p70S6K-R-V	0.29786766875
p70S6K_pT389-R-V	-0.19007269075
p90RSK-R-C	-0.0207561067499998
p90RSK_pT359_S363-R-C	-0.32103064275
PAI-1-M-E	-0.14666598725
PARP_cleaved-M-E	0.00118065224999986
PARP1-R-V	0.27142000775
Paxillin-R-C	0.18869828675
PCNA-M-C	-0.0805356472499999
PDCD4-R-C	0.92229272075
PDK1-R-V	-0.0453073962499999
PDK1_pS241-R-V	-0.00512573674999994
PEA15-R-V	0.15394236175
PEA15_pS116-R-V	0.12550851825
PI3K-p110-alpha-R-C	-0.0486145047499999
PI3K-p85-R-V	0.49739521125
PKC-alpha-M-V	0.0111689717500001
PKC-alpha_pS657-R-C	-0.0458006367499999
PKC-delta_pS664-R-V	0.17053851925
PKC-pan_BetaII_pS660-R-V	0.44932219825
PR-R-V	-0.00118065224999991
PRAS40_pT246-R-V	-0.12922889575
PRDX1-R-V	0.19179340325
PREX1-R-E	0.79534796925
PTEN-R-V	0.18091730975
Rab11-R-E	0.0902996832500002
Rab25-R-V	0.26082316925
Rad50-M-V	-0.02553418275
Rad51-R-V	0.16563334375
Raptor-R-V	0.78270465575
Rb-M-E	-0.27422211975
Rb_pS807_S811-R-V	-0.0666625047499999
RBM15-R-V	0.15019088425
Rictor-R-C	-0.14419197925
Rictor_pT1135-R-V	-0.13439690425
S6-R-E	0.39191884325
S6_pS235_S236-R-V	0.31735398975
S6_pS240_S244-R-V	0.13698319425
SCD-M-V	0.10076633025
SETD2-R-E	-0.0742870067499999
SF2-M-V	0.24527316875
Shc_pY317-R-E	-0.10542132125
Smac-M-E	0.33592213625
Smad1-R-V	0.10229216925
Smad3-R-V	0.28011571925
Smad4-M-V	0.0297704272500001
Snail-M-E	0.17004063525
Src-M-V	0.0248874972500001
Src_pY416-R-C	0.0778212912500003
Src_pY527-R-V	-0.49211074425
STAT3_pY705-R-V	0.32308571275
STAT5-alpha-R-V	0.73635151625
Stathmin-R-V	-0.10950929475
Syk-M-V	0.60497816825
TAZ-R-V	-0.13726415775
TFRC-R-V	0.50538667325
TIGAR-R-V	0.27245340325
Transglutaminase-M-V	-0.0241344042499999
TSC1-R-C	-0.0399624702499999
TTF1-R-V	0.0770308352500001
Tuberin-R-E	-0.0723910432499999
Tuberin_pT1462-R-V	-0.41961705025
VEGFR2-R-V	-0.0362568752499999
EPPK1-M-E	-1.17450943525
XBP1-G-C	0.16840148825
XRCC1-R-E	-0.23485013175
YAP-R-E	-0.27973475625
YAP_pS127-R-E	-0.47285457125
YB-1-R-V	0.21113059425
YB-1_pS102-R-V	-0.11710888675
A-Raf-R-V	0.0447194982500001
ARID1A-R-C	0.0982337887500002
B-Raf_pS445-R-V	-0.30195690475
Bcl2A1-R-V	-0.0913515112499999
BRD4-R-V	0.54216505075
c-Abl-R-V	-0.0806146627499999
Caspase-3-R-C	0.19870437875
CD26-R-V	-0.08731713975
Chk1_pS296-R-V	0.01254183425
COG3-R-V	-0.15311050775
DUSP4-R-V	-0.15039392625
ERCC5-R-C	0.02111068175
IGF1R_pY1135_Y1136-R-V	-0.10895402025
IRF-1-R-C	0.32702273525
Jak2-R-V	0.36861314425
p16_INK4a-R-V	-0.00284319174999981
SHP-2_pY542-R-C	-0.30245979175
CDK1_pY15-R-C	-0.21343128825
