Sample REF	75E62CC7-B129-45B2-8A57-8CD39A3D8FBE
Rab11-R-E	-0.11136413525
Rab25-R-V	-0.62168939825
Rad50-M-V	-0.21852645925
Rad51-R-V	-0.41723576275
Raptor-R-V	-0.16725614875
Rb-M-E	-0.11092591825
Rb_pS807_S811-R-V	-0.16239310225
RBM15-R-V	0.00984255775000004
Rictor-R-C	0.18466918225
Rictor_pT1135-R-V	-0.12101480675
S6-R-E	-0.10978802725
S6_pS235_S236-R-V	0.26642039025
S6_pS240_S244-R-V	0.29679737975
SCD-M-V	-0.20456149825
SETD2-R-E	-0.13251746425
SF2-M-V	-0.28541506675
Shc_pY317-R-E	0.0806579972500001
Smac-M-E	-0.18008793725
Smad1-R-V	-0.07436086925
Smad3-R-V	-0.04239269425
Smad4-M-V	-0.0390588832499999
Snail-M-E	-0.15540302725
Src-M-V	0.05379994575
Src_pY416-R-C	0.86563307375
Src_pY527-R-V	-0.16277995475
STAT3_pY705-R-V	0.41657725025
STAT5-alpha-R-V	0.75198890575
Stathmin-R-V	-0.31691326625
Syk-M-V	0.61311586575
TAZ-R-V	0.11207884975
TFRC-R-V	0.41906611875
TIGAR-R-V	-0.14093997725
Transglutaminase-M-V	0.03919883425
TSC1-R-C	0.24587177125
TTF1-R-V	-0.20436262525
Tuberin-R-E	-0.0411654207500001
Tuberin_pT1462-R-V	0.01085062325
VEGFR2-R-V	0.0868082732500001
EPPK1-M-E	0.73908141725
XBP1-G-C	0.01475241575
XRCC1-R-E	-0.16970599225
YAP-R-E	-0.05016162975
YAP_pS127-R-E	-0.12378926575
YB-1-R-V	0.34339445675
YB-1_pS102-R-V	-0.09954906525
A-Raf-R-V	0.00653913975000003
ARID1A-R-C	0.00147617625000002
B-Raf_pS445-R-V	-0.06775539925
Bcl2A1-R-V	-0.13281474075
BRD4-R-V	0.23657017725
c-Abl-R-V	-0.13999623225
Caspase-3-R-C	0.01320147225
CD26-R-V	-0.02612187525
Chk1_pS296-R-V	-0.00147617625000002
COG3-R-V	-0.23072451825
DUSP4-R-V	0.25795477125
ERCC5-R-C	0.0407976632499999
IGF1R_pY1135_Y1136-R-V	-0.11061613175
IRF-1-R-C	0.02091280375
Jak2-R-V	0.21955880275
p16_INK4a-R-V	0.0155364727500002
SHP-2_pY542-R-C	-0.0346797322500002
CDK1_pY15-R-C	-0.23820619375
