Sample REF	7001516C-7B9D-4306-A9B8-FE8778EB5F2E
Chk2_pT68-R-C	-0.1911189315
cIAP-R-V	0.0355744195
Claudin-7-R-V	-0.216176502
Collagen_VI-R-V	-0.0878275195
Cyclin_B1-R-V	-0.201605036
Cyclin_D1-R-V	-0.1157441085
Cyclin_E1-M-V	0.209927809
Cyclin_E2-R-C	0.134832944
DJ-1-R-E	0.1193146135
Dvl3-R-V	0.00424497549999997
E-Cadherin-R-V	0.508419639
eEF2-R-C	0.2042744855
eEF2K-R-V	0.276953765
EGFR-R-V	0.100689631
EGFR_pY1068-R-C	-0.0615057865000002
EGFR_pY1173-R-V	-0.0610699895
eIF4E-R-V	-0.03340549
eIF4G-R-C	0.0320506045
ER-alpha-R-V	-0.0310497894999999
ER-alpha_pS118-R-V	0.067444913
ERCC1-M-V	0.16691331
ERK2-R-E	0.1043213335
ETS-1-R-V	-0.1051032635
FASN-R-V	0.330583721
Fibronectin-R-V	-0.626180381
FoxM1-R-V	-0.033363574
FOXO3a-R-C	-0.0782917384999999
FOXO3a_pS318_S321-R-C	-0.1392749665
G6PD-M-V	-0.0168007729999999
GAB2-R-V	0.2504194035
GAPDH-M-C	0.5002973955
GATA3-M-V	-0.1822571525
GSK3-alpha-beta-M-V	0.06711685
GSK3-alpha-beta_pS21_S9-R-V	0.358832079
GSK3_pS9-R-V	0.300603271
HER2-M-V	-0.1984944395
HER2_pY1248-R-C	0.011334952
HER3-R-V	0.3515198715
HER3_pY1289-R-C	-0.119265615
Heregulin-R-V	-0.186177212
HSP70-R-C	-1.002637938
IGFBP2-R-V	-0.5987851965
INPP4B-R-V	-0.0847570749999997
IRS1-R-V	-0.029411026
JAB1-M-C	0.0693603024999998
JNK_pT183_pY185-R-V	0.03865303
JNK2-R-C	-0.160225013
Ku80-R-C	0.344747077
Lck-R-V	0.0873152755
LKB1-M-E	-0.253121945
MAPK_pT202_Y204-R-V	0.737601807
MEK1-R-V	-0.1747965985
MEK1_pS217_S221-R-V	0.010975537
MIG-6-M-V	-0.1410982345
Mre11-R-C	-0.256682579
MSH2-M-V	-0.1362751615
MSH6-R-C	-0.5146206525
mTOR-R-V	0.0539414225
mTOR_pS2448-R-C	0.1858476755
MYH11-R-V	0.434568826
Myosin-IIa_pS1943-R-V	0.431167203
N-Cadherin-R-V	-0.2064957315
N-Ras-M-V	-0.0290971155000002
NDRG1_pT346-R-V	0.2859116895
NF-kB-p65_pS536-R-C	-0.0678639015
NF2-R-C	0.4565340475
Notch1-R-V	-0.242350629
P-Cadherin-R-C	-0.0770854365
p21-R-V	0.8090648685
p27-R-V	0.0915687375
p27_pT157-R-C	-0.041439902
p27_pT198-R-V	0.1291148975
p38_MAPK-R-V	-0.1204742685
p38_pT180_Y182-R-V	-0.1268060825
p53-R-E	-0.0556176969999997
p62-LCK-ligand-M-C	0.0383197115
p70S6K-R-V	0.0732550375
p70S6K_pT389-R-V	-0.228534684
p90RSK-R-C	-0.116956916
p90RSK_pT359_S363-R-C	0.0891164160000001
PAI-1-M-E	-0.2442803255
PARP_cleaved-M-E	0.0559868049999999
PARP1-R-V	0.6017116555
Paxillin-R-C	-0.0442436285000001
PCNA-M-C	0.0600568855
PDCD4-R-C	0.9856482705
PDK1-R-V	-0.0231896965
PDK1_pS241-R-V	8.69840000000122e-05
PEA15-R-V	-0.0214024535
PEA15_pS116-R-V	-8.69840000000122e-05
PI3K-p110-alpha-R-C	0.087702585
PI3K-p85-R-V	-0.125998101
PKC-alpha-M-V	-0.0858210125
PKC-alpha_pS657-R-C	-0.0881220709999999
PKC-delta_pS664-R-V	-0.029310882
PKC-pan_BetaII_pS660-R-V	0.049823743
PR-R-V	-0.0653131635
PRAS40_pT246-R-V	0.191369089
PRDX1-R-V	0.372974386
PREX1-R-E	-0.137655129
PTEN-R-V	-0.0204405735
Rab11-R-E	-0.022888861
Rab25-R-V	0.124129085
Rad50-M-V	0.0737134669999999
Rad51-R-V	-0.1750807705
Raptor-R-V	0.0914877695
Rb-M-E	0.036788132
Rb_pS807_S811-R-V	0.696761051
RBM15-R-V	0.057754808
Rictor-R-C	0.0760261905
Rictor_pT1135-R-V	-0.1055922615
S6-R-E	0.414931702
S6_pS235_S236-R-V	0.8626935045
S6_pS240_S244-R-V	0.432973427
SCD-M-V	0.418167381
SETD2-R-E	-0.10716743
SF2-M-V	0.3748236255
Shc_pY317-R-E	0.1284580765
Smac-M-E	-0.19553471
Smad1-R-V	-0.004411528
Smad3-R-V	0.00784422900000004
Smad4-M-V	0.0617332290000001
Snail-M-E	0.44859092
Src-M-V	-0.44539141
Src_pY416-R-C	0.161108461
Src_pY527-R-V	-0.0846315455
STAT3_pY705-R-V	0.5899393145
STAT5-alpha-R-V	0.016662661
Stathmin-R-V	-0.115892754
Syk-M-V	-0.0471990000000002
TAZ-R-V	-0.197683342
TFRC-R-V	-0.387192117
TIGAR-R-V	-0.212416604
Transglutaminase-M-V	-0.0657278025
TSC1-R-C	-0.1236393475
TTF1-R-V	0.039222859
Tuberin-R-E	0.3887444585
Tuberin_pT1462-R-V	0.4045603015
VEGFR2-R-V	-0.3656260045
EPPK1-M-E	0.7061906755
XBP1-G-C	-0.130351692
XRCC1-R-E	0.156443839
YAP-R-E	-0.1623019465
YAP_pS127-R-E	-0.4181033435
YB-1-R-V	-0.293574649
YB-1_pS102-R-V	0.044864649
A-Raf-R-V	-0.011002964
ARID1A-R-C	-0.2161638175
B-Raf_pS445-R-V	0.152960884
Bcl2A1-R-V	-0.2245354185
BRD4-R-V	-0.3262016745
c-Abl-R-V	0.015385924
Caspase-3-R-C	0.0190377534999999
CD26-R-V	-0.108377595
Chk1_pS296-R-V	-0.0635181380000001
COG3-R-V	0.094059912
DUSP4-R-V	-0.2052760235
ERCC5-R-C	0.3675543715
IGF1R_pY1135_Y1136-R-V	-0.1013341335
IRF-1-R-C	0.198214701
Jak2-R-V	0.066677797
p16_INK4a-R-V	0.208782162
SHP-2_pY542-R-C	0.0619881649999998
CDK1_pY15-R-C	0.2460431115
