Sample REF	F0A6BFEA-91DF-4290-80FD-51B912712001
Syk-M-V	0.10567125575
TAZ-R-V	0.09282376975
TFRC-R-V	-0.76873838125
TIGAR-R-V	-0.32852185625
Transglutaminase-M-V	0.14033328625
TSC1-R-C	0.23898713925
TTF1-R-V	-0.12829111625
Tuberin-R-E	-0.13338743875
Tuberin_pT1462-R-V	-0.28932679775
VEGFR2-R-V	0.11369119825
EPPK1-M-E	-0.0872489537500001
XBP1-G-C	0.20710860975
XRCC1-R-E	-0.33549106925
YAP-R-E	0.34704029925
YAP_pS127-R-E	0.83738412225
YB-1-R-V	0.25460959775
YB-1_pS102-R-V	-0.07250834325
A-Raf-R-V	-0.0847407392499999
ARID1A-R-C	-0.26804036775
B-Raf_pS445-R-V	-0.08565614825
Bcl2A1-R-V	0.11217972025
BRD4-R-V	-0.56712058875
c-Abl-R-V	-0.06963568025
Caspase-3-R-C	-0.28548924675
CD26-R-V	0.31993586375
Chk1_pS296-R-V	-0.05464308825
COG3-R-V	0.03140536475
DUSP4-R-V	-0.18506905575
ERCC5-R-C	0.07107207025
IGF1R_pY1135_Y1136-R-V	-0.00915414874999998
IRF-1-R-C	0.12520124075
Jak2-R-V	-0.0849544572499999
p16_INK4a-R-V	-0.08667155325
SHP-2_pY542-R-C	0.00633583474999977
CDK1_pY15-R-C	-0.17130506875
