Sample REF	9D33C736-CE44-44B2-97EC-A15D376B221F
EGFR_pY1173-R-V	0.26716583
eIF4E-R-V	-0.0679168484999998
eIF4G-R-C	0.0455254050000001
ER-alpha-R-V	0.374708702
ER-alpha_pS118-R-V	-0.0335212954999998
ERCC1-M-V	0.1852277065
ERK2-R-E	-0.015722412
ETS-1-R-V	0.157120082
FASN-R-V	-0.3891480955
Fibronectin-R-V	0.3167976705
FoxM1-R-V	-0.1518074025
FOXO3a-R-C	0.0952846870000003
FOXO3a_pS318_S321-R-C	0.220698279
G6PD-M-V	-0.2884983165
GAB2-R-V	-0.503678019
GAPDH-M-C	-1.231634291
GATA3-M-V	-0.141062143
GSK3-alpha-beta-M-V	-0.6299067165
GSK3-alpha-beta_pS21_S9-R-V	0.0313696905000002
GSK3_pS9-R-V	0.0809497845000002
HER2-M-V	0.26569788
HER2_pY1248-R-C	0.4671221205
HER3-R-V	-0.156014113
HER3_pY1289-R-C	0.4007648795
Heregulin-R-V	0.0366670945000002
HSP70-R-C	2.0941010495
IGFBP2-R-V	0.122034963
INPP4B-R-V	-0.0510026494999997
IRS1-R-V	0.1971272375
JAB1-M-C	-0.154206425
JNK_pT183_pY185-R-V	0.3762019775
JNK2-R-C	-0.0657865264999998
Ku80-R-C	-0.9881551795
Lck-R-V	0.145265059
LKB1-M-E	0.4143381875
MAPK_pT202_Y204-R-V	0.4481331695
MEK1-R-V	0.0684169880000002
MEK1_pS217_S221-R-V	0.3045972385
MIG-6-M-V	0.126658719
Mre11-R-C	0.3723650595
MSH2-M-V	-0.730907003
MSH6-R-C	-0.991111028
mTOR-R-V	-0.394686006
mTOR_pS2448-R-C	0.0407126220000001
MYH11-R-V	-1.4200074135
Myosin-IIa_pS1943-R-V	-0.3701174385
N-Cadherin-R-V	0.332133847
N-Ras-M-V	0.128413426
NDRG1_pT346-R-V	-0.192442259
NF-kB-p65_pS536-R-C	0.121465772
NF2-R-C	-0.265052769
Notch1-R-V	0.3404001085
P-Cadherin-R-C	-0.122765003
p21-R-V	0.0284921960000001
p27-R-V	0.176639243
p27_pT157-R-C	-0.0193229894999999
p27_pT198-R-V	0.146268673
p38_MAPK-R-V	0.0346935180000001
p38_pT180_Y182-R-V	0.173218263
p53-R-E	0.4772230255
p62-LCK-ligand-M-C	-0.237413406
p70S6K-R-V	0.3052646
p70S6K_pT389-R-V	0.2484189705
p90RSK-R-C	-0.2547911255
p90RSK_pT359_S363-R-C	0.3697581795
PAI-1-M-E	-0.325465306
PARP_cleaved-M-E	-0.1825633055
PARP1-R-V	-1.125002024
Paxillin-R-C	-0.43011601
PCNA-M-C	-0.379916339
PDCD4-R-C	-0.757110576
PDK1-R-V	-0.0472992459999999
PDK1_pS241-R-V	-0.00604772749999982
PEA15-R-V	-0.0929307289999999
PEA15_pS116-R-V	0.0572585555000001
PI3K-p110-alpha-R-C	-0.00214438749999979
PI3K-p85-R-V	0.1415986515
PKC-alpha-M-V	0.0596483890000001
PKC-alpha_pS657-R-C	-0.0475688744999999
PKC-delta_pS664-R-V	-0.3066686645
PKC-pan_BetaII_pS660-R-V	0.0482428355000001
PR-R-V	0.154518437
PRAS40_pT246-R-V	0.2124708905
PRDX1-R-V	-0.7068249345
PREX1-R-E	-0.2626233825
PTEN-R-V	0.0516118870000001
Rab11-R-E	0.2472967895
Rab25-R-V	-1.5487892975
Rad50-M-V	-0.2056201835
Rad51-R-V	0.47368741
Raptor-R-V	-0.199574089
Rb-M-E	0.2537765255
Rb_pS807_S811-R-V	-0.4598872895
RBM15-R-V	-0.4493612755
Rictor-R-C	-0.813462954
Rictor_pT1135-R-V	0.24744147
S6-R-E	-1.1662795815
S6_pS235_S236-R-V	-0.418351952
S6_pS240_S244-R-V	0.0774592195
SCD-M-V	-0.00810217949999992
SETD2-R-E	0.2170013105
SF2-M-V	-0.276139993
Shc_pY317-R-E	-0.00191302300000007
Smac-M-E	-0.7154651815
Smad1-R-V	-0.1339613965
Smad3-R-V	-0.0296092564999998
Smad4-M-V	-0.2819355605
Snail-M-E	-0.2988390935
Src-M-V	0.1059474985
Src_pY416-R-C	0.5360834725
Src_pY527-R-V	0.208828883
STAT3_pY705-R-V	0.0200601970000001
STAT5-alpha-R-V	-0.1649671435
Stathmin-R-V	0.2637833395
Syk-M-V	-0.00277644650000008
TAZ-R-V	0.3397657075
TFRC-R-V	-0.4503455855
TIGAR-R-V	-0.1860052805
Transglutaminase-M-V	-0.0906849779999999
TSC1-R-C	0.00191302300000007
TTF1-R-V	0.1096302285
Tuberin-R-E	0.206593405
Tuberin_pT1462-R-V	0.211168799
VEGFR2-R-V	-0.137859843
EPPK1-M-E	-0.671540751
XBP1-G-C	0.2881457885
XRCC1-R-E	-0.2636948405
YAP-R-E	0.159440697
YAP_pS127-R-E	0.155778158
YB-1-R-V	0.3920763645
YB-1_pS102-R-V	0.2944122525
A-Raf-R-V	-0.1242788495
ARID1A-R-C	-0.320431049
B-Raf_pS445-R-V	-0.3520734405
Bcl2A1-R-V	0.540528208
BRD4-R-V	-0.578561043
c-Abl-R-V	0.0484452655000002
Caspase-3-R-C	-0.125060409
CD26-R-V	0.1510921165
Chk1_pS296-R-V	0.2025824755
COG3-R-V	0.1393738925
DUSP4-R-V	-0.139558064
ERCC5-R-C	-0.22513058
IGF1R_pY1135_Y1136-R-V	0.250850985
IRF-1-R-C	0.0949562755000001
Jak2-R-V	-0.1690201915
p16_INK4a-R-V	-0.0803481174999999
SHP-2_pY542-R-C	0.0870011024999998
CDK1_pY15-R-C	0.00759014600000019
