Sample REF	5D50BEA7-86DF-44E6-8740-22CFD2C2CC52
Rictor_pT1135-R-V	-0.13908996725
S6-R-E	0.0703212662499998
S6_pS235_S236-R-V	0.10933426375
S6_pS240_S244-R-V	0.12281920325
SCD-M-V	0.19561392825
SETD2-R-E	-0.11391735475
SF2-M-V	0.68846153275
Shc_pY317-R-E	-0.0691538972500002
Smac-M-E	0.91383660325
Smad1-R-V	-0.19861692975
Smad3-R-V	0.0483216132499999
Smad4-M-V	0.03021160425
Snail-M-E	0.39263414525
Src-M-V	0.19680363125
Src_pY416-R-C	0.30272821325
Src_pY527-R-V	-0.24702160225
STAT3_pY705-R-V	0.0242820757499999
STAT5-alpha-R-V	0.59578509325
Stathmin-R-V	-0.06026477275
Syk-M-V	0.56813349125
TAZ-R-V	-0.10853571175
TFRC-R-V	0.66435167625
TIGAR-R-V	-0.11973131175
Transglutaminase-M-V	-0.13436730325
TSC1-R-C	-0.30599489225
TTF1-R-V	0.0904729392499999
Tuberin-R-E	-0.24582621625
Tuberin_pT1462-R-V	-0.18742301125
VEGFR2-R-V	-0.09301768725
EPPK1-M-E	-0.90892349025
XBP1-G-C	-0.25492078475
XRCC1-R-E	-0.0285867467500001
YAP-R-E	-0.33268040125
YAP_pS127-R-E	-0.70697844925
YB-1-R-V	-0.24951703375
YB-1_pS102-R-V	-0.23925067775
A-Raf-R-V	-0.0179065077500001
ARID1A-R-C	0.00765036374999989
B-Raf_pS445-R-V	0.16490833625
Bcl2A1-R-V	-0.12657707825
BRD4-R-V	0.29792976575
c-Abl-R-V	0.0108559142499999
Caspase-3-R-C	-0.0188128332500002
CD26-R-V	-0.13102476775
Chk1_pS296-R-V	-0.0855988977500001
COG3-R-V	0.19986374425
DUSP4-R-V	-0.13430769225
ERCC5-R-C	0.28028735575
IGF1R_pY1135_Y1136-R-V	-0.0841647632500001
IRF-1-R-C	0.28685011925
Jak2-R-V	0.12836792825
p16_INK4a-R-V	-0.12982823475
SHP-2_pY542-R-C	-0.15183198075
CDK1_pY15-R-C	-0.10070761925
