Sample REF	50ECCFB3-BF52-497D-B3A2-5CA79C004442
Smad3-R-V	0.05417120675
Smad4-M-V	0.20194184975
Snail-M-E	-0.27707527825
Src-M-V	0.19015916575
Src_pY416-R-C	0.12095578175
Src_pY527-R-V	-0.37033549275
STAT3_pY705-R-V	-0.31841531375
STAT5-alpha-R-V	-0.37775670925
Stathmin-R-V	0.58005449975
Syk-M-V	0.10677984975
TAZ-R-V	0.59035932175
TFRC-R-V	-0.05554840225
TIGAR-R-V	-0.05761763325
Transglutaminase-M-V	0.16645938425
TSC1-R-C	0.0352013142499999
TTF1-R-V	0.32381284175
Tuberin-R-E	-0.36224436675
Tuberin_pT1462-R-V	-0.10846021375
VEGFR2-R-V	-0.28333175175
EPPK1-M-E	-0.71718539175
XBP1-G-C	-0.0280897172499999
XRCC1-R-E	-0.27597278625
YAP-R-E	0.51084029825
YAP_pS127-R-E	0.13014485825
YB-1-R-V	0.45661724475
YB-1_pS102-R-V	0.30224371375
A-Raf-R-V	-0.24046695125
ARID1A-R-C	-0.20255217175
B-Raf_pS445-R-V	-0.61943041825
Bcl2A1-R-V	0.96017339225
BRD4-R-V	-0.48535781575
c-Abl-R-V	0.05280876075
Caspase-3-R-C	-0.00162706475000007
CD26-R-V	0.35791564575
Chk1_pS296-R-V	0.40948671075
COG3-R-V	-0.26165929125
DUSP4-R-V	0.19194197725
ERCC5-R-C	-0.15094833975
IGF1R_pY1135_Y1136-R-V	0.30793997925
IRF-1-R-C	0.23888821375
Jak2-R-V	-0.38642383125
p16_INK4a-R-V	1.62106177775
SHP-2_pY542-R-C	0.25216923475
CDK1_pY15-R-C	0.21440328325
