Sample REF	9509378B-1D46-4CA4-9FAB-A2B8B2A1D9BF
PEA15_pS116-R-V	-0.19829035525
PI3K-p110-alpha-R-C	-0.00324139224999997
PI3K-p85-R-V	-0.0263950702499999
PKC-alpha-M-V	0.32963269725
PKC-alpha_pS657-R-C	0.22006762875
PKC-delta_pS664-R-V	0.14289342175
PKC-pan_BetaII_pS660-R-V	0.28629388675
PR-R-V	-0.0929390047500001
PRAS40_pT246-R-V	0.02735753675
PRDX1-R-V	0.03745455175
PREX1-R-E	0.19996756875
PTEN-R-V	-0.07440098875
Rab11-R-E	-0.14153797625
Rab25-R-V	-0.11752255325
Rad50-M-V	0.11245308475
Rad51-R-V	-0.20717603975
Raptor-R-V	-0.28493789175
Rb-M-E	-0.22196319225
Rb_pS807_S811-R-V	0.39008121575
RBM15-R-V	0.35430611375
Rictor-R-C	-0.49978341575
Rictor_pT1135-R-V	-0.13950230475
S6-R-E	0.21552957175
S6_pS235_S236-R-V	0.39671492025
S6_pS240_S244-R-V	0.49501118975
SCD-M-V	-0.0238947362500003
SETD2-R-E	-0.08710562825
SF2-M-V	-0.13048244275
Shc_pY317-R-E	-0.0304569547500001
Smac-M-E	-0.12072037825
Smad1-R-V	-0.0235934102499999
Smad3-R-V	0.0721176147500001
Smad4-M-V	-0.03308776825
Snail-M-E	-0.0500608532500001
Src-M-V	-0.13707651325
Src_pY416-R-C	0.31457917275
Src_pY527-R-V	-0.50954754975
STAT3_pY705-R-V	0.22564808925
STAT5-alpha-R-V	0.47674938275
Stathmin-R-V	-0.03689891125
Syk-M-V	0.49012069575
TAZ-R-V	-0.10555638225
TFRC-R-V	0.65603873075
TIGAR-R-V	0.66000653575
Transglutaminase-M-V	-0.14470877075
TSC1-R-C	0.17879947725
TTF1-R-V	-0.18396171825
Tuberin-R-E	0.17759316025
Tuberin_pT1462-R-V	-0.13174403175
VEGFR2-R-V	0.08860117425
EPPK1-M-E	0.94229551325
XBP1-G-C	-0.16250133425
XRCC1-R-E	-0.01441428925
YAP-R-E	-0.33495831875
YAP_pS127-R-E	-0.83941298975
YB-1-R-V	0.09242278675
YB-1_pS102-R-V	0.11850952975
A-Raf-R-V	0.08757085875
ARID1A-R-C	0.12156903925
B-Raf_pS445-R-V	0.14925370775
Bcl2A1-R-V	-0.00679785074999995
BRD4-R-V	0.15134089025
c-Abl-R-V	-0.09041663725
Caspase-3-R-C	0.45763036625
CD26-R-V	0.11550490975
Chk1_pS296-R-V	-0.04129273125
COG3-R-V	0.09013454175
DUSP4-R-V	0.43053252025
ERCC5-R-C	-0.0217619737500001
IGF1R_pY1135_Y1136-R-V	-0.0225894157500001
IRF-1-R-C	0.16182274875
Jak2-R-V	0.22277084975
p16_INK4a-R-V	-0.25344510325
SHP-2_pY542-R-C	-0.0777456592500002
CDK1_pY15-R-C	0.04896485025
