Sample REF	92D85337-88B8-4335-9A6E-344E6A6D232D
Chk2_pT68-R-C	0.20924695575
cIAP-R-V	0.11661758775
Claudin-7-R-V	1.22000567325
Collagen_VI-R-V	0.43051246875
Cyclin_B1-R-V	1.40936795725
Cyclin_D1-R-V	-0.62574197025
Cyclin_E1-M-V	0.23459464725
Cyclin_E2-R-C	-0.13363931775
DJ-1-R-E	0.15840453875
Dvl3-R-V	-0.0671061002500001
E-Cadherin-R-V	1.44951379525
eEF2-R-C	0.10227554175
eEF2K-R-V	-0.17816827875
EGFR-R-V	-0.02000436875
EGFR_pY1068-R-C	-0.28731140725
EGFR_pY1173-R-V	-0.10131418225
eIF4E-R-V	0.19565106625
eIF4G-R-C	0.86890200075
ER-alpha-R-V	-0.29489651725
ER-alpha_pS118-R-V	-0.11812320375
ERCC1-M-V	0.20638554025
ERK2-R-E	-0.09655437325
ETS-1-R-V	-0.10630507825
FASN-R-V	0.92504334225
Fibronectin-R-V	0.03744381425
FoxM1-R-V	0.87360183725
FOXO3a-R-C	0.0802322757499998
FOXO3a_pS318_S321-R-C	-0.23143996425
G6PD-M-V	-0.11701857275
GAB2-R-V	-0.55316929225
GAPDH-M-C	0.65705580575
GATA3-M-V	-0.42264168925
GSK3-alpha-beta-M-V	-0.14071923175
GSK3-alpha-beta_pS21_S9-R-V	-0.20609617275
GSK3_pS9-R-V	-0.17976240375
HER2-M-V	0.68223703275
HER2_pY1248-R-C	0.0290412102499999
HER3-R-V	0.36984557875
HER3_pY1289-R-C	-0.0781784147500001
Heregulin-R-V	-0.000204427750000069
HSP70-R-C	-0.53652309475
IGFBP2-R-V	0.20287780675
INPP4B-R-V	-0.20842424375
IRS1-R-V	-0.04860169375
JAB1-M-C	0.15812759675
JNK_pT183_pY185-R-V	0.25471530325
JNK2-R-C	0.39848121625
Ku80-R-C	0.18135191025
Lck-R-V	0.26628784475
LKB1-M-E	-0.0682871027500001
MAPK_pT202_Y204-R-V	-0.24547888675
MEK1-R-V	0.49520782675
MEK1_pS217_S221-R-V	-0.00488167475000012
MIG-6-M-V	0.23831200175
Mre11-R-C	-0.0256428367500001
MSH2-M-V	0.58849794375
MSH6-R-C	1.00994353475
mTOR-R-V	-7.20382500000172e-05
mTOR_pS2448-R-C	-0.16066338525
MYH11-R-V	-1.45648013275
Myosin-IIa_pS1943-R-V	-0.33329943575
N-Cadherin-R-V	-0.23330705725
N-Ras-M-V	-0.0161591722500001
NDRG1_pT346-R-V	-0.44054941225
NF-kB-p65_pS536-R-C	0.33512862475
NF2-R-C	-0.0480630642500002
Notch1-R-V	0.45919945225
P-Cadherin-R-C	0.0853241047499999
p21-R-V	-1.87693093625
p27-R-V	-0.36697244625
p27_pT157-R-C	0.21706563925
p27_pT198-R-V	0.0972517027499999
p38_MAPK-R-V	-0.22749375625
p38_pT180_Y182-R-V	0.43727873775
p53-R-E	7.20382500001282e-05
p62-LCK-ligand-M-C	-0.33361977125
p70S6K-R-V	0.11985480475
p70S6K_pT389-R-V	-0.13138208375
p90RSK-R-C	0.28279412625
p90RSK_pT359_S363-R-C	-0.29788303775
PAI-1-M-E	0.67887832075
PARP_cleaved-M-E	0.0107860182499999
PARP1-R-V	0.14559929875
Paxillin-R-C	0.80750343575
PCNA-M-C	0.30334254775
PDCD4-R-C	-0.95795658025
PDK1-R-V	0.31436055275
PDK1_pS241-R-V	0.28181508125
PEA15-R-V	0.12694855875
PEA15_pS116-R-V	0.0621510462499999
PI3K-p110-alpha-R-C	-0.04827873375
PI3K-p85-R-V	-0.63381008375
PKC-alpha-M-V	-0.26645038525
PKC-alpha_pS657-R-C	-0.0932209027500002
PKC-delta_pS664-R-V	0.0576907712499999
PKC-pan_BetaII_pS660-R-V	-0.68916918375
PR-R-V	-0.0674764632500001
PRAS40_pT246-R-V	0.28407478925
PRDX1-R-V	0.23504148925
PREX1-R-E	-0.81572017775
PTEN-R-V	-0.21571536525
Rab11-R-E	0.00886175425000002
Rab25-R-V	0.01140958225
Rad50-M-V	-0.0392095477500001
Rad51-R-V	-0.34284411825
Raptor-R-V	-0.25181157625
Rb-M-E	-0.29577483275
Rb_pS807_S811-R-V	-0.11147302475
RBM15-R-V	0.38981926025
Rictor-R-C	0.13644825075
Rictor_pT1135-R-V	-0.00912913325000009
S6-R-E	-0.12845752375
S6_pS235_S236-R-V	0.0022229857499998
S6_pS240_S244-R-V	-0.0037966597500001
SCD-M-V	-0.0799974087500004
SETD2-R-E	-0.0516846987500001
SF2-M-V	-0.41181988625
Shc_pY317-R-E	0.32799318975
Smac-M-E	-0.10179885775
Smad1-R-V	-0.0469003287500001
Smad3-R-V	0.00279695024999993
Smad4-M-V	0.22653966525
Snail-M-E	0.0895888642499998
Src-M-V	-0.74529769475
Src_pY416-R-C	0.64960079225
Src_pY527-R-V	-0.37140458225
STAT3_pY705-R-V	-0.56503086425
STAT5-alpha-R-V	-0.84404715875
Stathmin-R-V	-0.00812423174999999
Syk-M-V	-0.66299372675
TAZ-R-V	0.17595043825
TFRC-R-V	0.38435873325
TIGAR-R-V	0.00704237524999995
Transglutaminase-M-V	-0.0566210862500001
TSC1-R-C	0.19835379875
TTF1-R-V	0.03627036525
Tuberin-R-E	0.19772263775
Tuberin_pT1462-R-V	0.03103813275
VEGFR2-R-V	0.03203579075
EPPK1-M-E	1.66473804875
XBP1-G-C	-0.47168202175
XRCC1-R-E	0.29880175425
YAP-R-E	0.18445372775
YAP_pS127-R-E	-0.68509740825
YB-1-R-V	0.27568751325
YB-1_pS102-R-V	0.0720688672499999
A-Raf-R-V	-0.04288821875
ARID1A-R-C	0.49136564775
B-Raf_pS445-R-V	0.07750477125
Bcl2A1-R-V	-0.16180903825
BRD4-R-V	0.0360694727499999
c-Abl-R-V	0.0503475092499999
Caspase-3-R-C	0.18048982875
CD26-R-V	0.0529669032499998
Chk1_pS296-R-V	-0.0932792467500001
COG3-R-V	0.22023594025
DUSP4-R-V	0.10587317575
ERCC5-R-C	-0.41213871125
IGF1R_pY1135_Y1136-R-V	0.0840721607499999
IRF-1-R-C	-0.19023999975
Jak2-R-V	-0.30060060175
p16_INK4a-R-V	-0.37886794175
SHP-2_pY542-R-C	0.0394673682499997
CDK1_pY15-R-C	0.0980423937499999
