Sample REF	F7B402D0-EA57-4EF4-B685-BD9B1E763BB1
JNK_pT183_pY185-R-V	0.01853410325
JNK2-R-C	-0.20631663475
Ku80-R-C	0.15936610425
Lck-R-V	0.18023625975
LKB1-M-E	-0.10950757975
MAPK_pT202_Y204-R-V	-0.35896683375
MEK1-R-V	-0.20321430625
MEK1_pS217_S221-R-V	-0.18130086075
MIG-6-M-V	-0.0513933092499999
Mre11-R-C	0.0480087322500001
MSH2-M-V	0.16647931875
MSH6-R-C	0.229556163750001
mTOR-R-V	0.30412168575
mTOR_pS2448-R-C	-0.26918490125
MYH11-R-V	1.32914541925
Myosin-IIa_pS1943-R-V	-0.0140187697499999
N-Cadherin-R-V	-0.0539046782499999
N-Ras-M-V	0.03140477275
NDRG1_pT346-R-V	-0.42678094725
NF-kB-p65_pS536-R-C	-0.13243486225
NF2-R-C	0.50820288775
Notch1-R-V	-0.0444022747499999
P-Cadherin-R-C	-0.20815610425
p21-R-V	0.45353017275
p27-R-V	0.0920750677500001
p27_pT157-R-C	0.0225011352500001
p27_pT198-R-V	0.17517632575
p38_MAPK-R-V	-0.15344522925
p38_pT180_Y182-R-V	-0.20451729225
p53-R-E	-0.0559989487499999
p62-LCK-ligand-M-C	-0.0105186712499999
p70S6K-R-V	-0.0658306802499999
p70S6K_pT389-R-V	-0.0998075527499998
p90RSK-R-C	-0.16954174975
p90RSK_pT359_S363-R-C	-0.20527811975
PAI-1-M-E	0.0372851127500001
PARP_cleaved-M-E	0.0689302562499998
PARP1-R-V	0.32140565475
Paxillin-R-C	-0.0351018332499999
PCNA-M-C	-0.0914706102499999
PDCD4-R-C	1.24840279975
PDK1-R-V	-0.06180727125
PDK1_pS241-R-V	-0.13731243475
PEA15-R-V	-0.0688197082499999
PEA15_pS116-R-V	0.31128703325
PI3K-p110-alpha-R-C	0.0707931022500001
PI3K-p85-R-V	0.13939218625
PKC-alpha-M-V	-0.30845763925
PKC-alpha_pS657-R-C	-0.24452145675
PKC-delta_pS664-R-V	0.24551830225
PKC-pan_BetaII_pS660-R-V	-0.19013037475
PR-R-V	-0.0304967412499999
PRAS40_pT246-R-V	0.0592538702500001
PRDX1-R-V	0.26718589825
PREX1-R-E	0.58648730225
PTEN-R-V	-0.0704515572499999
Rab11-R-E	0.0167432752500001
Rab25-R-V	-0.22804937675
Rad50-M-V	-0.03658854775
Rad51-R-V	0.0705554527500001
Raptor-R-V	0.32008047975
Rb-M-E	-0.0618607307499999
Rb_pS807_S811-R-V	-0.31654710375
RBM15-R-V	-0.0139036297499999
Rictor-R-C	0.31841658575
Rictor_pT1135-R-V	-0.17789601625
S6-R-E	0.42648111425
S6_pS235_S236-R-V	0.15208362175
S6_pS240_S244-R-V	0.13986551025
SCD-M-V	0.16801723425
SETD2-R-E	0.0171543662500001
SF2-M-V	0.20430871775
Shc_pY317-R-E	0.0272503687500001
Smac-M-E	0.06649827925
Smad1-R-V	0.0515917302500001
Smad3-R-V	0.16809012925
Smad4-M-V	0.0110661472500002
Snail-M-E	0.27302999725
Src-M-V	-0.22067882175
Src_pY416-R-C	-0.25814183575
Src_pY527-R-V	-0.62850820425
STAT3_pY705-R-V	-0.18944509625
STAT5-alpha-R-V	0.15474704525
Stathmin-R-V	0.00343536025000013
Syk-M-V	0.23886826025
TAZ-R-V	-0.0662301507499999
TFRC-R-V	-0.26977757475
TIGAR-R-V	0.25670858225
Transglutaminase-M-V	-0.0688252152499999
TSC1-R-C	-0.08166177325
TTF1-R-V	-0.0463221537499999
Tuberin-R-E	0.11170613675
Tuberin_pT1462-R-V	-0.14820583725
VEGFR2-R-V	-0.16138915325
EPPK1-M-E	1.00751597775
XBP1-G-C	0.11037317125
XRCC1-R-E	0.10610599025
YAP-R-E	-0.12625990125
YAP_pS127-R-E	-0.53263977025
YB-1-R-V	0.0335286682500001
YB-1_pS102-R-V	-0.23716033675
A-Raf-R-V	-0.0243438347499999
ARID1A-R-C	-0.0471848692499999
B-Raf_pS445-R-V	-0.0058187597499999
Bcl2A1-R-V	-0.22599736925
BRD4-R-V	0.30054202775
c-Abl-R-V	0.0652240852500001
Caspase-3-R-C	0.12862390175
CD26-R-V	-0.13041893075
Chk1_pS296-R-V	0.0392209742500002
COG3-R-V	0.0070381522500001
DUSP4-R-V	-0.000397927250000096
ERCC5-R-C	0.10194073875
IGF1R_pY1135_Y1136-R-V	-0.10780766725
IRF-1-R-C	0.000397927250000069
Jak2-R-V	0.20384876625
p16_INK4a-R-V	0.14295990525
SHP-2_pY542-R-C	-0.35432554075
CDK1_pY15-R-C	-0.11833798825
