Sample REF	54215F42-2021-486D-B804-7786E4B4DB3F
Cyclin_E2-R-C	-0.0647079725000001
DJ-1-R-E	-0.0484280510000001
Dvl3-R-V	0.260294909
E-Cadherin-R-V	-0.3583858785
eEF2-R-C	-0.303061288
eEF2K-R-V	0.0836844644999999
EGFR-R-V	0.0296171364999999
EGFR_pY1068-R-C	0.17700781
EGFR_pY1173-R-V	0.0813809099999999
eIF4E-R-V	-0.1591345665
eIF4G-R-C	-0.138586396
ER-alpha-R-V	0.0339100249999999
ER-alpha_pS118-R-V	-0.1461599545
ERCC1-M-V	-0.0392071645000001
ERK2-R-E	0.107154232
ETS-1-R-V	0.0767175079999999
FASN-R-V	-0.3987180995
Fibronectin-R-V	0.9037760655
FoxM1-R-V	0.0597469514999999
FOXO3a-R-C	0.0585940769999999
FOXO3a_pS318_S321-R-C	0.01029788
G6PD-M-V	-0.2469935645
GAB2-R-V	-0.183174062
GAPDH-M-C	-0.731713232
GATA3-M-V	0.209785147
GSK3-alpha-beta-M-V	-0.1140418875
GSK3-alpha-beta_pS21_S9-R-V	-0.1844048315
GSK3_pS9-R-V	0.1420651495
HER2-M-V	0.453513653
HER2_pY1248-R-C	0.1958077725
HER3-R-V	0.294877852
HER3_pY1289-R-C	0.0908990204999999
Heregulin-R-V	-0.0742313455000001
HSP70-R-C	1.4644598885
IGFBP2-R-V	0.137690251
INPP4B-R-V	-0.0846508224999998
IRS1-R-V	0.3290927475
JAB1-M-C	-0.177556945
JNK_pT183_pY185-R-V	0.0358235725
JNK2-R-C	0.2522905345
Ku80-R-C	-0.4978970675
Lck-R-V	-0.224868963
LKB1-M-E	0.2011584975
MAPK_pT202_Y204-R-V	0.7403818705
MEK1-R-V	-0.0309590790000001
MEK1_pS217_S221-R-V	0.2087699695
MIG-6-M-V	-0.0734614920000001
Mre11-R-C	0.2163456595
MSH2-M-V	-0.611461688
MSH6-R-C	-0.751173737
mTOR-R-V	-0.406746894
mTOR_pS2448-R-C	-0.104693225
MYH11-R-V	2.2531239385
Myosin-IIa_pS1943-R-V	0.0493957254999999
N-Cadherin-R-V	0.0165921599999999
N-Ras-M-V	-0.0710964250000002
NDRG1_pT346-R-V	-0.299799044
NF-kB-p65_pS536-R-C	0.146640263
NF2-R-C	-0.108501872
Notch1-R-V	-0.1736280495
P-Cadherin-R-C	0.0214785089999999
p21-R-V	0.0622247969999999
p27-R-V	0.00148165799999997
p27_pT157-R-C	-0.0362214225
p27_pT198-R-V	0.0234946079999999
p38_MAPK-R-V	0.138631127
p38_pT180_Y182-R-V	0.533485076
p53-R-E	0.0688786845
p62-LCK-ligand-M-C	-0.243417009
p70S6K-R-V	0.0912971879999999
p70S6K_pT389-R-V	0.00462248250000002
p90RSK-R-C	-0.2299343835
p90RSK_pT359_S363-R-C	0.0286567735
PAI-1-M-E	0.333714385
PARP_cleaved-M-E	-0.3213751615
PARP1-R-V	-1.089353207
Paxillin-R-C	0.0623850449999998
PCNA-M-C	-0.110355213
PDCD4-R-C	-0.851121211
PDK1-R-V	-0.00397758400000009
PDK1_pS241-R-V	0.0143265905
PEA15-R-V	0.0800013529999999
PEA15_pS116-R-V	0.2789911345
PI3K-p110-alpha-R-C	0.0588827855
PI3K-p85-R-V	-0.1213332995
PKC-alpha-M-V	0.249285884
PKC-alpha_pS657-R-C	0.2991418485
PKC-delta_pS664-R-V	-0.1043678285
PKC-pan_BetaII_pS660-R-V	-0.0419956435000001
PR-R-V	0.166509269
PRAS40_pT246-R-V	-0.0221366925000001
PRDX1-R-V	-0.9897810705
PREX1-R-E	-0.6771517805
PTEN-R-V	0.185702548
Rab11-R-E	0.0953741305
Rab25-R-V	-0.1242249845
Rad50-M-V	-0.0515856395000001
Rad51-R-V	0.0246384029999999
Raptor-R-V	0.010217096
Rb-M-E	0.2721219125
Rb_pS807_S811-R-V	-0.5105893145
RBM15-R-V	-0.3029082675
Rictor-R-C	0.650208229
Rictor_pT1135-R-V	0.439209682
S6-R-E	-0.3467635045
S6_pS235_S236-R-V	-0.417180389
S6_pS240_S244-R-V	-0.2771080465
SCD-M-V	-0.1843418275
SETD2-R-E	0.0414902774999999
SF2-M-V	-0.115634802
Shc_pY317-R-E	0.0233893089999999
Smac-M-E	-0.4687432995
Smad1-R-V	-0.0399551405000001
Smad3-R-V	-0.0715349475000001
Smad4-M-V	-0.0326621025000001
Snail-M-E	-0.2334648405
Src-M-V	-0.2080123835
Src_pY416-R-C	0.1735814495
Src_pY527-R-V	0.48166436
STAT3_pY705-R-V	0.0882237789999999
STAT5-alpha-R-V	-0.1143211785
Stathmin-R-V	0.0509712915
Syk-M-V	-0.1221328145
TAZ-R-V	0.2915322945
TFRC-R-V	-0.6457028915
TIGAR-R-V	-0.2817240025
Transglutaminase-M-V	0.210503492
TSC1-R-C	0.188779428
TTF1-R-V	-0.0579011995
Tuberin-R-E	-0.110034987
Tuberin_pT1462-R-V	0.187433567
VEGFR2-R-V	-0.00148165799999994
EPPK1-M-E	-0.558798123
XBP1-G-C	0.3795926335
XRCC1-R-E	-0.1166206445
YAP-R-E	0.133956332
YAP_pS127-R-E	0.178227704
YB-1-R-V	0.2898540315
YB-1_pS102-R-V	0.2295104715
A-Raf-R-V	-0.1151349325
ARID1A-R-C	-0.029960778
B-Raf_pS445-R-V	-0.1400323085
Bcl2A1-R-V	0.237756599
BRD4-R-V	0.138352536
c-Abl-R-V	-0.0613683815000001
Caspase-3-R-C	-0.254251817
CD26-R-V	-0.0312422385000001
Chk1_pS296-R-V	0.0691554134999999
COG3-R-V	0.0422397144999999
DUSP4-R-V	-0.22953057
ERCC5-R-C	-0.0104804490000001
IGF1R_pY1135_Y1136-R-V	0.184141055
IRF-1-R-C	0.0772254055
Jak2-R-V	-0.2269919815
p16_INK4a-R-V	0.5575329965
SHP-2_pY542-R-C	0.4331183185
CDK1_pY15-R-C	-0.030219315
