Sample REF	9D9CB948-72AC-41BE-9016-807AC2411930
N-Cadherin-R-V	-0.0910598675000001
N-Ras-M-V	0.0725645374999999
NDRG1_pT346-R-V	-0.1525287045
NF-kB-p65_pS536-R-C	0.0991393775
NF2-R-C	0.0830408874999998
Notch1-R-V	-0.252980552
P-Cadherin-R-C	0.4035445545
p21-R-V	0.1991475185
p27-R-V	-0.1202072705
p27_pT157-R-C	0.125303258
p27_pT198-R-V	0.1970822135
p38_MAPK-R-V	-0.2117223875
p38_pT180_Y182-R-V	-0.1252413605
p53-R-E	-0.099364229
p62-LCK-ligand-M-C	-0.0788997435
p70S6K-R-V	0.4468407215
p70S6K_pT389-R-V	-0.108626316
p90RSK-R-C	-0.053878674
p90RSK_pT359_S363-R-C	-0.09631134
PAI-1-M-E	-0.6476835745
PARP_cleaved-M-E	0.480309644
PARP1-R-V	0.8012240045
Paxillin-R-C	0.1420306275
PCNA-M-C	-0.00518347050000006
PDCD4-R-C	0.9810023345
PDK1-R-V	-0.0802261565000001
PDK1_pS241-R-V	-0.297784533
PEA15-R-V	-0.2878690545
PEA15_pS116-R-V	0.219977105
PI3K-p110-alpha-R-C	0.197350861
PI3K-p85-R-V	-0.0474449069999999
PKC-alpha-M-V	-0.4812464205
PKC-alpha_pS657-R-C	-0.648596271
PKC-delta_pS664-R-V	0.358233273
PKC-pan_BetaII_pS660-R-V	-0.279753983
PR-R-V	-0.0436186395000001
PRAS40_pT246-R-V	0.129961951
PRDX1-R-V	-0.0621922340000001
PREX1-R-E	0.966748822
PTEN-R-V	-0.1617848385
Rab11-R-E	-0.045038238
Rab25-R-V	0.422769906
Rad50-M-V	0.077688699
Rad51-R-V	-0.1676946915
Raptor-R-V	0.6741830385
Rb-M-E	-0.221976076
Rb_pS807_S811-R-V	0.302206664
RBM15-R-V	0.154493375
Rictor-R-C	-0.2302201325
Rictor_pT1135-R-V	-0.1460941135
S6-R-E	0.259893582
S6_pS235_S236-R-V	-0.2186190975
S6_pS240_S244-R-V	-0.0590515780000001
SCD-M-V	0.225704873
SETD2-R-E	-0.0742133150000001
SF2-M-V	0.4026078925
Shc_pY317-R-E	0.3216134375
Smac-M-E	0.0474942289999999
Smad1-R-V	0.190483485
Smad3-R-V	0.283956516
Smad4-M-V	0.039735868
Snail-M-E	0.493990083
Src-M-V	-0.37409758
Src_pY416-R-C	0.365806863
Src_pY527-R-V	-0.4842353445
STAT3_pY705-R-V	-0.4505053815
STAT5-alpha-R-V	0.269008417
Stathmin-R-V	0.109236181
Syk-M-V	-0.207529222
TAZ-R-V	-0.109247493
TFRC-R-V	-0.338184724
TIGAR-R-V	-0.28928715
Transglutaminase-M-V	-0.0926508695000001
TSC1-R-C	-0.0125824235000002
TTF1-R-V	-0.029319541
Tuberin-R-E	-0.4201740925
Tuberin_pT1462-R-V	-0.4127727385
VEGFR2-R-V	-0.2689922815
EPPK1-M-E	0.6583100905
XBP1-G-C	-0.302955665
XRCC1-R-E	0.311135671
YAP-R-E	0.00117367549999997
YAP_pS127-R-E	0.2173224415
YB-1-R-V	-0.01118536
YB-1_pS102-R-V	0.0327180579999999
A-Raf-R-V	0.106193481
ARID1A-R-C	0.5141969965
B-Raf_pS445-R-V	-0.162573834
Bcl2A1-R-V	-0.1684696845
BRD4-R-V	0.6424194315
c-Abl-R-V	0.051117534
Caspase-3-R-C	0.1625017235
CD26-R-V	-0.0303387070000001
Chk1_pS296-R-V	-0.0414550890000001
COG3-R-V	-0.0988073480000001
DUSP4-R-V	-0.1633818645
ERCC5-R-C	-0.1456382065
IGF1R_pY1135_Y1136-R-V	-0.00940891550000011
IRF-1-R-C	-0.107310727
Jak2-R-V	0.0287313989999999
p16_INK4a-R-V	-0.282356246
SHP-2_pY542-R-C	-0.303802275
CDK1_pY15-R-C	0.2724939215
