Sample REF	04ED8F9C-13F4-44D4-BFA3-8B72524C0E46
HER3_pY1289-R-C	0.0768831927499999
Heregulin-R-V	0.24434571275
HSP70-R-C	-0.16077355625
IGFBP2-R-V	-0.85673099175
INPP4B-R-V	0.16975117675
IRS1-R-V	-0.07447093525
JAB1-M-C	0.12079268525
JNK_pT183_pY185-R-V	-0.19314200525
JNK2-R-C	-0.31429842925
Ku80-R-C	0.75356063075
Lck-R-V	0.02142267925
LKB1-M-E	-0.07726506625
MAPK_pT202_Y204-R-V	0.10998514775
MEK1-R-V	-0.16894087875
MEK1_pS217_S221-R-V	0.04223366675
MIG-6-M-V	-0.01028141175
Mre11-R-C	-0.17119100125
MSH2-M-V	0.47032928325
MSH6-R-C	0.46926047625
mTOR-R-V	0.13245340325
mTOR_pS2448-R-C	0.02854077125
MYH11-R-V	-1.89659523125
Myosin-IIa_pS1943-R-V	-0.34947829225
N-Cadherin-R-V	-0.11288333275
N-Ras-M-V	0.0832114802499999
NDRG1_pT346-R-V	-0.0473037287499999
NF-kB-p65_pS536-R-C	-0.24704339875
NF2-R-C	0.21533875625
Notch1-R-V	0.12618905675
P-Cadherin-R-C	0.20380935925
p21-R-V	-0.17041096875
p27-R-V	-0.22805899775
p27_pT157-R-C	-0.07265927825
p27_pT198-R-V	0.05034642325
p38_MAPK-R-V	-0.0927390857500001
p38_pT180_Y182-R-V	-0.53608632475
p53-R-E	0.0454328117500003
p62-LCK-ligand-M-C	0.11026811925
p70S6K-R-V	0.0649038442499999
p70S6K_pT389-R-V	-0.23445398725
p90RSK-R-C	0.00749256174999996
p90RSK_pT359_S363-R-C	-0.0756287302499999
PAI-1-M-E	-0.22738597475
PARP_cleaved-M-E	0.22896523575
PARP1-R-V	1.08814301825
Paxillin-R-C	-0.0830363677500001
PCNA-M-C	0.04409197925
PDCD4-R-C	1.36530265725
PDK1-R-V	-0.13372277475
PDK1_pS241-R-V	-0.11593112125
PEA15-R-V	-0.0699992737500001
PEA15_pS116-R-V	-0.21834927025
PI3K-p110-alpha-R-C	0.03903705075
PI3K-p85-R-V	0.29782042875
PKC-alpha-M-V	-0.16461454475
PKC-alpha_pS657-R-C	-0.36602961625
PKC-delta_pS664-R-V	0.21949274375
PKC-pan_BetaII_pS660-R-V	0.00784133974999995
PR-R-V	-0.0701387697500001
PRAS40_pT246-R-V	0.18253810175
PRDX1-R-V	0.00137071174999992
PREX1-R-E	0.84795383075
PTEN-R-V	-0.11673058675
Rab11-R-E	-0.02184847625
Rab25-R-V	-0.68468668325
Rad50-M-V	0.23518546675
Rad51-R-V	-0.23815747775
Raptor-R-V	0.14604907025
Rb-M-E	-0.19173273725
Rb_pS807_S811-R-V	0.43707649875
RBM15-R-V	0.06236781175
Rictor-R-C	-0.57710127675
Rictor_pT1135-R-V	-0.32649707775
S6-R-E	-0.03536151925
S6_pS235_S236-R-V	-0.60485409675
S6_pS240_S244-R-V	-0.37468013025
SCD-M-V	0.13101069375
SETD2-R-E	-0.18340324225
SF2-M-V	0.14137081525
Shc_pY317-R-E	0.0669480692499998
Smac-M-E	0.44401707875
Smad1-R-V	0.17819004275
Smad3-R-V	0.21622972075
Smad4-M-V	-0.0248685662500001
Snail-M-E	0.16348535775
Src-M-V	0.19443597175
Src_pY416-R-C	-0.16262769725
Src_pY527-R-V	-0.49163393375
STAT3_pY705-R-V	-0.11891831675
STAT5-alpha-R-V	0.24843062675
Stathmin-R-V	0.000261022750000006
Syk-M-V	0.35512071875
TAZ-R-V	-0.12362887025
TFRC-R-V	0.30196225375
TIGAR-R-V	0.23776269875
Transglutaminase-M-V	-0.06273763475
TSC1-R-C	-0.0583121367500001
TTF1-R-V	-0.02757495625
Tuberin-R-E	0.24354121925
Tuberin_pT1462-R-V	0.00524991525000001
VEGFR2-R-V	-0.11403768875
EPPK1-M-E	-1.06400407875
XBP1-G-C	-0.10901751825
XRCC1-R-E	0.0925445907499999
YAP-R-E	-0.11474321875
YAP_pS127-R-E	-0.58833361775
YB-1-R-V	-0.07848911525
YB-1_pS102-R-V	0.02061907775
A-Raf-R-V	-0.09894605525
ARID1A-R-C	0.31202330425
B-Raf_pS445-R-V	-0.30411229625
Bcl2A1-R-V	-0.12226704675
BRD4-R-V	0.34361497725
c-Abl-R-V	0.37096971575
Caspase-3-R-C	0.38201439125
CD26-R-V	-0.0933164002500002
Chk1_pS296-R-V	0.0204666687499999
COG3-R-V	-0.17938524725
DUSP4-R-V	-0.00957630275000038
ERCC5-R-C	-0.0739630327500001
IGF1R_pY1135_Y1136-R-V	-0.000261022750000006
IRF-1-R-C	0.07005830975
Jak2-R-V	0.23912349975
p16_INK4a-R-V	-0.20301335525
SHP-2_pY542-R-C	-0.28396129325
CDK1_pY15-R-C	0.23848223425
