Sample REF	7D681E96-5C9D-48A4-A45E-0964DE0BB487
JNK_pT183_pY185-R-V	-0.1400533885
JNK2-R-C	-0.2865183555
Ku80-R-C	0.7292967805
Lck-R-V	-0.389584596
LKB1-M-E	-0.1154305495
MAPK_pT202_Y204-R-V	-0.1619443545
MEK1-R-V	0.181435113
MEK1_pS217_S221-R-V	-0.1834142925
MIG-6-M-V	0.043050742
Mre11-R-C	-0.0873628325
MSH2-M-V	0.63374774
MSH6-R-C	0.600310206
mTOR-R-V	0.433202028
mTOR_pS2448-R-C	0.11852348
MYH11-R-V	-2.2291957825
Myosin-IIa_pS1943-R-V	-0.1551039275
N-Cadherin-R-V	-0.0384291380000001
N-Ras-M-V	0.0688226289999999
NDRG1_pT346-R-V	0.351772607
NF-kB-p65_pS536-R-C	-0.157349747
NF2-R-C	0.275291832
Notch1-R-V	-0.1896151495
P-Cadherin-R-C	0.333826472
p21-R-V	0.435002026
p27-R-V	-0.00361550500000002
p27_pT157-R-C	0.1831221305
p27_pT198-R-V	0.036166428
p38_MAPK-R-V	-0.239233596
p38_pT180_Y182-R-V	-0.529293882
p53-R-E	0.0512897285000001
p62-LCK-ligand-M-C	-0.209787474
p70S6K-R-V	0.349726361
p70S6K_pT389-R-V	-0.00437085549999999
p90RSK-R-C	0.1493336155
p90RSK_pT359_S363-R-C	-0.0858102585
PAI-1-M-E	-0.283784466
PARP_cleaved-M-E	0.1353829715
PARP1-R-V	0.580739875
Paxillin-R-C	-0.195911596
PCNA-M-C	-0.0902009520000001
PDCD4-R-C	0.192044476
PDK1-R-V	-0.13716285
PDK1_pS241-R-V	-0.2812185995
PEA15-R-V	-0.099968862
PEA15_pS116-R-V	-0.0421689185000001
PI3K-p110-alpha-R-C	-0.0263191055000001
PI3K-p85-R-V	-0.1711521675
PKC-alpha-M-V	-0.306990472
PKC-alpha_pS657-R-C	-0.4725616165
PKC-delta_pS664-R-V	-0.1349855555
PKC-pan_BetaII_pS660-R-V	0.0528270125
PR-R-V	-0.047424955
PRAS40_pT246-R-V	0.3645573165
PRDX1-R-V	0.3536251685
PREX1-R-E	0.2427982575
PTEN-R-V	0.00113286499999998
Rab11-R-E	-0.0402948815
Rab25-R-V	0.4973044435
Rad50-M-V	0.0762649734999999
Rad51-R-V	-0.0436329
Raptor-R-V	0.382096236
Rb-M-E	-0.1297263965
Rb_pS807_S811-R-V	0.3475342715
RBM15-R-V	0.1724502555
Rictor-R-C	-0.237136542
Rictor_pT1135-R-V	-0.299189493
S6-R-E	0.2930750985
S6_pS235_S236-R-V	-0.0920276110000002
S6_pS240_S244-R-V	-0.1487655865
SCD-M-V	0.2011395615
SETD2-R-E	-0.0202390085
SF2-M-V	0.32841406
Shc_pY317-R-E	-0.212797075
Smac-M-E	0.6166855655
Smad1-R-V	0.0471038544999999
Smad3-R-V	0.3620401915
Smad4-M-V	0.00492191050000007
Snail-M-E	0.4523797725
Src-M-V	-0.2665034765
Src_pY416-R-C	0.1685041455
Src_pY527-R-V	-0.103898117
STAT3_pY705-R-V	-0.30270928
STAT5-alpha-R-V	-0.00533336850000005
Stathmin-R-V	-0.0334358765
Syk-M-V	-0.00938753850000035
TAZ-R-V	-0.1949491615
TFRC-R-V	0.1098062765
TIGAR-R-V	0.4174803735
Transglutaminase-M-V	-0.127312673
TSC1-R-C	0.077380528
TTF1-R-V	0.0976659825
Tuberin-R-E	-0.0676353420000002
Tuberin_pT1462-R-V	-0.135245842
VEGFR2-R-V	0.0224950689999999
EPPK1-M-E	-0.825744583
XBP1-G-C	-0.0240446425
XRCC1-R-E	0.0218086594999999
YAP-R-E	-0.273733761
YAP_pS127-R-E	-1.032810765
YB-1-R-V	-0.2636258865
YB-1_pS102-R-V	-0.0479131305
A-Raf-R-V	0.0420305014999999
ARID1A-R-C	0.201479143
B-Raf_pS445-R-V	0.2003223695
Bcl2A1-R-V	-0.191781239
BRD4-R-V	0.126624798
c-Abl-R-V	0.0600045645
Caspase-3-R-C	0.20650194
CD26-R-V	0.0114905234999998
Chk1_pS296-R-V	-0.0431245955
COG3-R-V	-0.0264713165000001
DUSP4-R-V	-0.0238338060000002
ERCC5-R-C	0.218777422
IGF1R_pY1135_Y1136-R-V	-0.041012999
IRF-1-R-C	0.1478499815
Jak2-R-V	0.0890505934999999
p16_INK4a-R-V	0.1152813675
SHP-2_pY542-R-C	-0.0434128645000002
CDK1_pY15-R-C	0.283207299
