Sample REF	C4A54988-D9A2-43C6-AE96-EA2CFFFDD877
p70S6K_pT389-R-V	0.0904763340000001
p90RSK-R-C	0.074398007
p90RSK_pT359_S363-R-C	0.241127036
PAI-1-M-E	1.6307944765
PARP_cleaved-M-E	-0.362621244
PARP1-R-V	-0.5766945285
Paxillin-R-C	0.1394585305
PCNA-M-C	0.1787433525
PDCD4-R-C	-1.0670696415
PDK1-R-V	0.1167419595
PDK1_pS241-R-V	0.143908188
PEA15-R-V	0.0322487935
PEA15_pS116-R-V	0.125880432
PI3K-p110-alpha-R-C	0.012924301
PI3K-p85-R-V	-0.0550119889999999
PKC-alpha-M-V	0.1819126825
PKC-alpha_pS657-R-C	0.162429779
PKC-delta_pS664-R-V	-0.103132982
PKC-pan_BetaII_pS660-R-V	0.074587722
PR-R-V	-0.0255157145
PRAS40_pT246-R-V	-0.012443147
PRDX1-R-V	-0.50030642
PREX1-R-E	-0.375673032
PTEN-R-V	-0.1844613155
Rab11-R-E	0.070580621
Rab25-R-V	-0.396738532
Rad50-M-V	-0.21361303
Rad51-R-V	0.3562913045
Raptor-R-V	-0.0916226324999999
Rb-M-E	-0.046156713
Rb_pS807_S811-R-V	0.045990221
RBM15-R-V	-0.218176113
Rictor-R-C	-0.3987410335
Rictor_pT1135-R-V	0.0629797234999999
S6-R-E	-0.199511846
S6_pS235_S236-R-V	1.1369805185
S6_pS240_S244-R-V	1.112836614
SCD-M-V	-0.246964396
SETD2-R-E	0.206622394
SF2-M-V	-0.2576208065
Shc_pY317-R-E	-0.0750443555000001
Smac-M-E	-0.177046316
Smad1-R-V	-0.045204232
Smad3-R-V	0.00237014999999999
Smad4-M-V	-0.059024998
Snail-M-E	-0.170114193
Src-M-V	0.263043492
Src_pY416-R-C	0.617799685
Src_pY527-R-V	0.0955965945
STAT3_pY705-R-V	-0.2400034055
STAT5-alpha-R-V	-0.231389589
Stathmin-R-V	0.041982229
Syk-M-V	0.140158336
TAZ-R-V	0.194114847
TFRC-R-V	0.303368593
TIGAR-R-V	0.091517275
Transglutaminase-M-V	0.1035774745
TSC1-R-C	0.1117549685
TTF1-R-V	-0.0224813219999999
Tuberin-R-E	0.1853961545
Tuberin_pT1462-R-V	-0.0487469694999999
VEGFR2-R-V	0.2415073495
EPPK1-M-E	0.7306460945
XBP1-G-C	-0.00589589599999982
XRCC1-R-E	-0.153585191
YAP-R-E	0.2548886175
YAP_pS127-R-E	0.8991647145
YB-1-R-V	0.00235756400000001
YB-1_pS102-R-V	0.100791334
A-Raf-R-V	-0.070165344
ARID1A-R-C	-0.3294586805
B-Raf_pS445-R-V	-0.139761817
Bcl2A1-R-V	0.3436920425
BRD4-R-V	-0.3084688465
c-Abl-R-V	0.037791343
Caspase-3-R-C	-0.0780899775
CD26-R-V	0.148720845
Chk1_pS296-R-V	0.075815528
COG3-R-V	-0.019190663
DUSP4-R-V	0.5505359425
ERCC5-R-C	0.0191575805
IGF1R_pY1135_Y1136-R-V	0.0663838755000001
IRF-1-R-C	-0.018544365
Jak2-R-V	-0.039705527
p16_INK4a-R-V	0.222847718
SHP-2_pY542-R-C	0.216113781
CDK1_pY15-R-C	0.3997093195
