Sample REF	8437C43A-BFF4-4593-97D4-574B4A2C4138
HER2_pY1248-R-C	0.1715481465
HER3-R-V	-0.005959047
HER3_pY1289-R-C	0.0496690224999999
Heregulin-R-V	-0.2086763335
HSP70-R-C	0.5543508675
IGFBP2-R-V	-0.332547377
INPP4B-R-V	-0.0124400634999998
IRS1-R-V	0.0681566645
JAB1-M-C	-0.0781727290000002
JNK_pT183_pY185-R-V	0.0624845335
JNK2-R-C	0.2311454665
Ku80-R-C	-0.4077189935
Lck-R-V	0.440839184
LKB1-M-E	-0.0699962135
MAPK_pT202_Y204-R-V	-0.0954000385000001
MEK1-R-V	0.286160862
MEK1_pS217_S221-R-V	0.0215303864999999
MIG-6-M-V	0.111779512
Mre11-R-C	0.0690508055
MSH2-M-V	-0.631181708
MSH6-R-C	-1.015109462
mTOR-R-V	-0.280629623
mTOR_pS2448-R-C	0.0164502700000001
MYH11-R-V	-0.2327709625
Myosin-IIa_pS1943-R-V	0.7475175555
N-Cadherin-R-V	0.134699985
N-Ras-M-V	0.087568664
NDRG1_pT346-R-V	0.222505998
NF-kB-p65_pS536-R-C	0.710401931
NF2-R-C	-0.172966922
Notch1-R-V	0.2217562935
P-Cadherin-R-C	-0.329761694
p21-R-V	-0.07063995
p27-R-V	0.319812862
p27_pT157-R-C	-0.0982213005
p27_pT198-R-V	0.07578953
p38_MAPK-R-V	0.333892087
p38_pT180_Y182-R-V	0.088350179
p53-R-E	-0.0518142574999999
p62-LCK-ligand-M-C	0.191759831
p70S6K-R-V	-0.01858374
p70S6K_pT389-R-V	-0.1080751325
p90RSK-R-C	0.0152977255000001
p90RSK_pT359_S363-R-C	0.1611654005
PAI-1-M-E	1.050207868
PARP_cleaved-M-E	-0.2018093325
PARP1-R-V	-0.5752187
Paxillin-R-C	0.17812569
PCNA-M-C	-0.213168999
PDCD4-R-C	-0.316807383
PDK1-R-V	0.059836243
PDK1_pS241-R-V	0.3174055245
PEA15-R-V	0.0199094320000001
PEA15_pS116-R-V	-0.0717443635
PI3K-p110-alpha-R-C	-0.00201912849999997
PI3K-p85-R-V	0.3120761795
PKC-alpha-M-V	0.284635876
PKC-alpha_pS657-R-C	0.2962150355
PKC-delta_pS664-R-V	0.0805836765
PKC-pan_BetaII_pS660-R-V	0.1340758955
PR-R-V	0.010770496
PRAS40_pT246-R-V	-0.0382435565
PRDX1-R-V	-0.3238384905
PREX1-R-E	-0.0821705285
PTEN-R-V	-0.618549924
Rab11-R-E	-0.0962184225
Rab25-R-V	0.1190905715
Rad50-M-V	-0.0268801165000001
Rad51-R-V	0.279118836
Raptor-R-V	-0.280227858
Rb-M-E	-0.0384578175
Rb_pS807_S811-R-V	-0.1609995655
RBM15-R-V	-0.2329723225
Rictor-R-C	-0.072161007
Rictor_pT1135-R-V	0.0930787869999999
S6-R-E	0.0872321494999998
S6_pS235_S236-R-V	0.847337958
S6_pS240_S244-R-V	0.8500627375
SCD-M-V	0.0240068934999997
SETD2-R-E	0.1553867315
SF2-M-V	-0.127573733
Shc_pY317-R-E	-0.0173785170000001
Smac-M-E	-0.2383337695
Smad1-R-V	0.1074515335
Smad3-R-V	-0.1588226875
Smad4-M-V	0.0225602875000001
Snail-M-E	-0.2714829555
Src-M-V	0.000498929499999967
Src_pY416-R-C	0.7620072725
Src_pY527-R-V	0.23903311
STAT3_pY705-R-V	0.198607512
STAT5-alpha-R-V	0.5478532635
Stathmin-R-V	-0.0679518075
Syk-M-V	0.6074994215
TAZ-R-V	0.0647116675
TFRC-R-V	0.5007328955
TIGAR-R-V	-0.0463742735
Transglutaminase-M-V	0.139962013
TSC1-R-C	0.111092745
TTF1-R-V	-0.1422071025
Tuberin-R-E	0.0181959549999998
Tuberin_pT1462-R-V	0.30560584
VEGFR2-R-V	-0.118071935
EPPK1-M-E	-0.401623006
XBP1-G-C	-0.0242686375
XRCC1-R-E	-0.2392337125
YAP-R-E	-0.034898843
YAP_pS127-R-E	0.0569887700000001
YB-1-R-V	0.0292429035
YB-1_pS102-R-V	-0.000498929499999967
A-Raf-R-V	0.000865248500000027
ARID1A-R-C	-0.033083703
B-Raf_pS445-R-V	0.1878862855
Bcl2A1-R-V	0.245432228
BRD4-R-V	-0.037981809
c-Abl-R-V	-0.1563694395
Caspase-3-R-C	-0.185010665
CD26-R-V	-0.00840244050000011
Chk1_pS296-R-V	-0.0271968014999999
COG3-R-V	0.0805622805
DUSP4-R-V	0.0462973809999997
ERCC5-R-C	0.0377805569999999
IGF1R_pY1135_Y1136-R-V	0.073682805
IRF-1-R-C	0.0412135265
Jak2-R-V	-0.0274821625
p16_INK4a-R-V	0.0627376675000001
SHP-2_pY542-R-C	0.3372483365
CDK1_pY15-R-C	-0.056246893
